ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.181884762999994	42.4	5.0	44.4	28.4	0.78125	0	0	51	5	50	34	37	5	41	25	0	0	1.8949861526489258	5	1.8949861526489258	5	0.0	
0.4003905514998318	40.8	5.0	42.2	26.2	0.78125	1	0	51	5	44	28	37	5	40	24	0	0	1.3433868885040283	10	3.238373041152954	9	10.0	
1.1077877249991743	37.0	5.0	41.0	25.0	3.222654989997118	2	1	55	5.0	44.0	28.0	19	5.0	38.0	22.0	0	0	1.294947862625122	15	4.533320903778076	12	20.0	
1.6162102969985352	49.6	5.0	39.6	23.6	3.222654989997118	3	1	59	5	41	25	42	5	38	22	0	0	1.6623337268829346	20	6.195654630661011	15	25.0	
1.9482414314982708	48.6	5.0	39.2	23.2	3.222654989997118	4	1	59	5	41	25	39	5	38	22	0	0	2.4157280921936035	25	8.611382722854614	18	28.0	
2.226561617997983	43.2	5.0	39.0	23.0	3.222654989997118	5	1	52	5	40	24	33	5	38	22	0	0	3.044250011444092	30	11.655632734298706	21	30.0	
2.1826163474980786	43.4	5.0	38.8	22.8	3.222654989997118	6	1	46	5	40	24	33	5	38	22	0	0	2.6703031063079834	35	14.32593584060669	23	34.28571428571429	
1.2011714129989433	46.0	5.0	39.6	23.6	3.222654989997118	7	1	61	5	41	25	31	5	38	22	0	0	2.221463203430176	40	16.547399044036865	27	32.5	
2.6953117439982703	46.0	5.0	38.8	22.8	3.90625	8	1	66	5	40	24	36	5	38	22	0	0	3.165632724761963	45	19.713031768798828	30	33.33333333333334	
3.2910150579987034	37.8	5.0	39.0	23.0	5.859372479994236	9	1	48	5	40	24	33	5	37	21	0	0	3.812258720397949	50	23.525290489196777	34	32.0	
6.132810231994812	33.6	5.0	37.4	21.4	12.109369959988472	10	1	37	5	39	23	32	5	36	20	0	0	4.323269844055176	55	27.848560333251953	37	32.727272727272734	
6.953122101993371	32.8	5.0	37.6	21.6	16.21093077998463	11	1	41	5	39	23	25	5	36	20	0	0	4.040437459945679	60	31.888997793197632	41	31.66666666666667	
9.687495967990778	36.8	5.0	36.8	20.8	16.21093077998463	12	1	44	5	38	22	32	5	36	20	0	0	7.035054683685303	65	38.924052476882935	44	32.30769230769231	
9.628902973992506	39.8	5.0	37.2	21.2	16.21093077998463	13	1	53	5	39	23	28	5	36	20	0	0	6.11773943901062	70	45.041791915893555	48	31.42857142857143	
12.255856854994235	39.4	5.0	36.6	20.6	30.078125	14	1	52	5	38	22	28	5	36	20	0	0	5.813941478729248	75	50.8557333946228	51	32.0	
22.119137684993277	42.4	5.0	36.0	20.0	30.078125	15	2	61	5.0	36.0	20.0	22	5.0	36.0	20.0	0	0	7.835007190704346	80	58.69074058532715	52	35.0	
27.0703125	46.0	5.0	36.2	20.2	30.078125	16	2	55	5	37	21	37	5	36	20	0	0	10.460119247436523	85	69.15085983276367	53	37.64705882352941	
26.5234375	46.0	5.0	36.2	20.2	30.078125	17	2	58	5	37	21	34	5	36	20	0	0	9.780671119689941	90	78.93153095245361	54	40.0	
30.1953125	48.2	5.0	36.0	20.0	30.6640625	18	2	53	5	36	20	42	5	36	20	0	0	12.864413738250732	95	91.79594469070435	55	42.10526315789473	
19.78046875	50.0	4.8	36.2	20.2	30.6640625	19	2	59	5	38	22	41	4	35	19	0	0	6.699917554855347	100	98.49586224555969	58	42.00000000000001	
17.7734375	55.6	5.0	37.0	21.0	31.25	20	2	74	5	38	22	40	5	36	20	0	0	7.640229940414429	105	106.13609218597412	61	41.9047619047619	
23.3984375	54.6	5.0	36.4	20.4	31.25	21	2	69	5	37	21	45	5	36	20	0	0	8.519883394241333	110	114.65597558021545	62	43.63636363636364	
20.815625	47.2	4.8	36.2	20.2	31.25	22	2	60	5	38	22	41	4	35	19	0	0	7.680796146392822	115	122.33677172660828	64	44.34782608695652	
13.515625	48.0	5.0	37.8	21.8	31.25	23	2	69	5	41	25	36	5	36	20	0	0	3.8961751461029053	120	126.23294687271118	68	43.333333333333336	
18.749998655996926	46.6	5.0	36.6	20.6	31.25	24	2	56	5	38	22	40	5	36	20	0	0	9.375126123428345	125	135.60807299613953	71	43.2	
25.0	42.0	5.0	36.4	20.4	31.25	25	2	45	5	37	21	40	5	36	20	0	0	8.668036460876465	130	144.276109457016	71	45.38461538461539	
15.146484375	42.6	5.0	37.2	21.2	31.25	26	2	52	5	38	22	30	5	36	20	0	0	6.267985820770264	135	150.54409527778625	75	44.44444444444444	
20.1904296875	43.4	5.0	37.0	21.0	31.25	27	3	54	5.0	39.0	23.0	24	5.0	36.0	20.0	0	0	4.70715069770813	140	155.25124597549438	78	44.285714285714285	
27.343748991997693	44.2	5.0	36.0	20.0	31.25	28	3	45	5	36	20	43	5	36	20	0	0	10.755822896957397	145	166.00706887245178	80	44.827586206896555	
18.359374495998846	45.0	5.0	36.8	20.8	31.25	29	3	52	5	38	22	38	5	36	20	0	0	6.481902122497559	150	172.48897099494934	84	43.99999999999999	
22.3828125	45.0	5.0	36.6	20.6	31.25	30	3	53	5	37	21	37	5	36	20	0	0	7.756708145141602	155	180.24567914009094	88	43.225806451612904	
21.11328125	45.0	5.0	36.8	20.8	31.25	31	3	53	5	38	22	41	5	36	20	0	0	7.359999179840088	160	187.60567831993103	90	43.75	
23.0078125	45.0	5.0	36.6	20.6	31.25	32	3	51	5	38	22	39	5	36	20	0	0	8.812756299972534	165	196.41843461990356	93	43.63636363636364	
21.69921875	46.2	5.0	36.6	20.6	31.25	33	3	51	5	37	21	45	5	36	20	0	0	8.093231201171875	170	204.51166582107544	94	44.705882352941174	
19.0234375	45.0	5.0	37.0	21.0	31.25	34	3	55	5	38	22	35	5	36	20	0	0	7.094093561172485	175	211.60575938224792	96	45.14285714285714	
21.1328125	45.0	5.0	37.0	21.0	31.25	35	3	57	5	39	23	23	5	36	20	0	0	8.130516052246094	180	219.73627543449402	97	46.111111111111114	
26.533203125	45.0	5.0	36.4	20.4	31.25	36	3	50	5	38	22	40	5	36	20	0	0	10.090423107147217	185	229.82669854164124	98	47.027027027027025	
31.25	45.0	5.0	36.0	20.0	31.25	37	3	49	5	36	20	41	5	36	20	0	0	11.738224267959595	190	241.56492280960083	98	48.421052631578945	
19.86328125	46.6	5.0	36.8	20.8	31.25	38	3	64	5	38	22	30	5	36	20	0	0	7.736069440841675	195	249.3009922504425	99	49.23076923076923	
24.140625	45.8	5.0	36.6	20.6	48.828125	39	3	59	5	37	21	31	5	36	20	0	0	9.314730644226074	200	258.6157228946686	101	49.5	
14.9609375	37.4	5.0	37.2	21.2	48.828125	40	3	51	5	39	23	29	5	36	20	0	0	4.323235750198364	205	262.93895864486694	104	49.26829268292683	
27.34374932799846	36.6	5.0	36.8	20.8	48.828125	41	3	45	5	38	22	31	5	36	20	0	0	8.935868740081787	210	271.87482738494873	106	49.523809523809526	
25.91796875	39.4	5.0	36.8	20.8	48.828125	42	3	45	5	38	22	31	5	36	20	0	0	8.931860208511353	215	280.8066875934601	108	49.76744186046511	
39.55078125	33.8	5.0	36.5	20.5	48.828125	43	4	53	5.0	38.0	22.0	23	5.0	36.0	20.0	0	0	10.099265098571777	220	290.90595269203186	109	50.45454545454545	
23.2421875	31.0	5.0	37.0	21.0	48.828125	44	5	46	5.0	38.0	22.0	16	5.0	36.0	20.0	0	0	5.783631086349487	225	296.68958377838135	112	50.22222222222222	
38.0859375	32.4	5.0	36.5	20.5	48.828125	45	6	46	5.0	38.0	22.0	23	5.0	36.0	20.0	0	0	9.293274879455566	230	305.9828586578369	113	50.869565217391305	
28.37890625	31.0	5.0	37.2	21.2	48.828125	46	6	31	5	40	24	31	5	36	20	0	0	9.982823848724365	235	315.9656825065613	115	51.06382978723404	
33.69140625	31.0	5.0	36.4	20.4	48.828125	47	6	34	5	38	22	28	5	36	20	0	0	11.810694217681885	240	327.77637672424316	117	51.25	
25.38125	31.0	4.6	35.6	19.6	48.828125	48	6	33	5	36	20	29	4	35	19	0	0	6.949198961257935	245	334.7255756855011	118	51.83673469387755	
23.08125	31.0	4.8	36.6	20.6	48.828125	49	6	39	5	39	23	23	4	35	19	0	0	7.031449794769287	250	341.7570254802704	119	52.400000000000006	
32.421875	31.0	5.0	37.2	21.2	48.828125	50	6	36	5	40	24	26	5	36	20	0	0	10.945699214935303	255	352.7027246952057	121	52.54901960784314	
