# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
8.468314032279088133e-02,9.028769313587195477e-02,4.189999999999999858e+01,1.011599393699567306e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.406666666666666998e+01,6.073622386096197978e-01,2.806666666666666643e+01,6.073622386096200199e-01,2.507787716662828736e-01,2.852968935694862318e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.732050807568877193e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.083333333333333570e+01,1.067187372905474607e+00,2.483333333333333215e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.398126045862833511e+00,5.554850023626733968e-01,2.398126045862833511e+00,5.554850023626733968e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.368083992079895117e-01,1.484623493439327091e-01,3.866666666666666430e+01,2.544711291198975101e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.219166666666666998e+01,1.150875270778241255e+00,2.619166666666666643e+01,1.150875270778240589e+00,2.618779008325253232e-01,2.872519903922752804e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.150000000000000000e+01,7.932002689527196004e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.433333333333333570e+01,2.211083193570266836e+00,2.833333333333333215e+01,2.211083193570266836e+00,2.700000000000000000e+01,9.983319421247959013e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.164965809277260345e-01,2.400000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.608671148618062263e+00,5.529270159916824801e-01,4.006797194480895996e+00,8.858470265083560058e-01,8.000000000000000000e+00,8.164965809277260345e-01,2.000000000000000000e+01,8.164965809277260789e+00
2.879883467494296911e-01,3.877633164264473464e-01,4.063333333333333286e+01,6.588289273821813730e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.085833333333332718e+01,8.927563435164647121e-01,2.485833333333333428e+01,8.927563435164658223e-01,7.294324974987972388e-01,1.135840353080616261e+00,1.166666666666666741e+00,3.726779962499648935e-01,5.416666666666666430e+01,3.975620147292187490e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.283333333333333570e+01,1.343709624716424855e+00,2.683333333333333215e+01,1.343709624716424855e+00,2.866666666666666785e+01,1.285387965643922747e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.916666666666666430e+01,1.462494064565353691e+00,2.316666666666666785e+01,1.462494064565353913e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.033772349357604980e+00,1.145513487795378316e+00,6.040569543838500977e+00,1.904611933746365171e+00,1.050000000000000000e+01,1.500000000000000000e+00,3.000000000000000000e+01,9.999999999999996447e+00
5.860860114783197350e-01,6.201374598187793241e-01,4.226666666666666572e+01,7.853378607679343482e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.011666666666666714e+01,7.447967657168104161e-01,2.411666666666666359e+01,7.447967657168104161e-01,1.612470679998243339e+00,1.639406582741443019e+00,1.333333333333333259e+00,4.714045207910316782e-01,5.566666666666666430e+01,1.057775443508161928e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+01,1.258305739211791563e+00,2.550000000000000000e+01,1.258305739211791563e+00,3.150000000000000000e+01,8.636164272021076727e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,9.428090415820632453e-01,2.266666666666666785e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.330569346745809067e+00,1.732008565971387304e+00,9.371138890584310488e+00,3.572261608506836161e+00,1.383333333333333393e+01,1.067187372905474829e+00,3.083333333333333215e+01,5.335936864527373480e+00
9.189526533597014435e-01,8.927677141983879627e-01,4.033333333333333570e+01,8.958918585533760748e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.956111111111111001e+01,1.046717384947160934e+00,2.356111111111111356e+01,1.046717384947158047e+00,1.612470679998243339e+00,1.639406582741443019e+00,2.000000000000000000e+00,1.000000000000000000e+00,5.350000000000000000e+01,1.201041214946431346e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,1.490711984999859574e+00,2.466666666666666785e+01,1.490711984999860018e+00,2.800000000000000000e+01,1.027942929673951689e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.883333333333333570e+01,1.067187372905474607e+00,2.283333333333333215e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.319683114687602021e+00,2.815254162320387277e+00,1.369082200527191162e+01,6.215784509055059637e+00,1.616666666666666785e+01,1.343709624716425077e+00,3.533333333333333570e+01,5.374838498865696756e+00
1.169336347331656922e+00,1.349002698783366094e+00,3.866666666666666430e+01,7.719815772125365960e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.956666666666666998e+01,1.416176385749867705e+00,2.356666666666666643e+01,1.416176385749866595e+00,1.615394209997461417e+00,1.636552516851447203e+00,2.166666666666666519e+00,1.213351648213419676e+00,4.683333333333333570e+01,1.127558818372189720e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.016666666666666430e+01,1.771690968789108256e+00,2.416666666666666785e+01,1.771690968789108256e+00,3.283333333333333570e+01,8.610394235392993423e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.883333333333333570e+01,1.343709624716424855e+00,2.283333333333333215e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.598996758460998535e+00,3.933935999523721527e+00,1.928981876373291016e+01,1.009375207697563859e+01,1.883333333333333215e+01,1.674979270186815139e+00,3.722222222222222854e+01,5.583264233956050759e+00
1.354465779942200632e+00,1.799212511325453789e+00,3.580000000000000426e+01,8.116649555081210110e+00,4.966666666666666785e+00,7.453559924999306197e-02,3.927777777777777146e+01,1.264569413859572222e+00,2.327777777777778212e+01,1.264569413859569780e+00,2.558638303328104158e+00,3.392442254610515739e+00,2.833333333333333481e+00,2.034425935955617160e+00,4.366666666666666430e+01,8.956685895029602662e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.083333333333333570e+01,1.067187372905474607e+00,2.483333333333333215e+01,1.067187372905474829e+00,2.683333333333333215e+01,7.009913614937696380e+00,4.833333333333333037e+00,3.726779962499649490e-01,3.783333333333333570e+01,1.771690968789108256e+00,2.183333333333333215e+01,1.771690968789108256e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.289278904596964814e+00,4.589056560271567164e+00,2.457909766832987586e+01,1.402130533344618257e+01,2.166666666666666785e+01,1.598610507770906519e+00,3.809523809523810201e+01,4.567458593631161357e+00
1.382486025851547895e+00,1.910714391105728049e+00,3.700000000000000000e+01,5.928462420110855113e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.944166666666666998e+01,1.212578748874572065e+00,2.344166666666666643e+01,1.212578748874572065e+00,2.588711893328877078e+00,3.370733217374933144e+00,3.166666666666666519e+00,2.266911751455907176e+00,5.100000000000000000e+01,7.549834435270749822e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.166666666666666430e+01,2.285218200133681599e+00,2.566666666666666785e+01,2.285218200133681599e+00,2.483333333333333215e+01,1.082307206336948013e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.783333333333333570e+01,1.343709624716424855e+00,2.183333333333333215e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.225608269373576142e+00,4.753912569158400991e+00,3.080470593770344934e+01,1.794747763286883568e+01,2.433333333333333215e+01,1.598610507770906519e+00,3.916666666666666430e+01,3.996526269427265632e+00
2.457323391384761191e+00,3.363560915642707538e+00,4.053333333333333854e+01,6.586518216950608462e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.846666666666666856e+01,1.407914138796190873e+00,2.246666666666666501e+01,1.407914138796191539e+00,3.110689776662640238e+00,3.457041982418619153e+00,3.500000000000000000e+00,2.753785273643051035e+00,5.033333333333333570e+01,9.122621455602672569e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.966666666666666430e+01,1.699673171197594979e+00,2.366666666666666785e+01,1.699673171197594979e+00,3.316666666666666430e+01,8.801830617673928714e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.766666666666666430e+01,1.247219128924647036e+00,2.166666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.150796262423197369e+01,1.126332408863019197e+01,4.231266856193542480e+01,2.850483929493988100e+01,2.666666666666666785e+01,2.054804667656325634e+00,4.074074074074074048e+01,4.566232594791833854e+00
1.909043792330733735e+00,1.842338007255598153e+00,4.056666666666666998e+01,4.084795656523781737e+00,4.966666666666666785e+00,7.453559924999306197e-02,3.846666666666666146e+01,1.056198634516989365e+00,2.246666666666666856e+01,1.056198634516990253e+00,4.261392573328183886e+00,4.222178583498035209e+00,3.500000000000000000e+00,2.753785273643051035e+00,4.883333333333333570e+01,6.962199524735140699e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.033333333333333570e+01,9.428090415820632453e-01,2.433333333333333215e+01,9.428090415820633563e-01,3.300000000000000000e+01,2.886751345948129099e+00,4.833333333333333037e+00,3.726779962499650045e-01,3.700000000000000000e+01,1.154700538379251462e+00,2.100000000000000000e+01,1.154700538379251462e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.632219910621643066e+00,4.725348562190927026e+00,4.994488847255706787e+01,3.314519500017622988e+01,3.016666666666666785e+01,2.114762923408253226e+00,3.966666666666666430e+01,4.229525846816507340e+00
