# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.553032825936397132e-01,1.957591832407230004e-01,4.200000000000000000e+01,1.080740486888503105e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.412000000000000455e+01,6.523802572120033227e-01,2.811999999999999744e+01,6.523802572120037668e-01,8.473201979996041189e-01,6.544525373068807994e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.720000000000000284e+01,1.833030277982335754e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.095445115010332149e+00,2.500000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.245773553848266602e+00,3.237421058045691358e-01,2.245773553848266602e+00,3.237421058045691358e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.017128175246447830e-01,4.243182317014229099e-01,3.851999999999999602e+01,2.448182999695896811e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.201999999999999602e+01,1.168160947814983253e+00,2.601999999999999957e+01,1.168160947814983253e+00,1.343535190998971229e+00,8.921803282103625277e-01,4.000000000000000222e-01,4.898979485566356540e-01,4.879999999999999716e+01,9.368030742904295494e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,2.097617696340303262e+00,2.800000000000000000e+01,2.097617696340303262e+00,2.900000000000000000e+01,9.777525249264252594e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.944271909999158554e-01,2.400000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.664315509796142623e+00,6.390421138054277472e-01,3.910089063644409002e+00,7.706160277795741642e-01,8.400000000000000355e+00,7.999999999999999334e-01,1.600000000000000000e+01,8.000000000000000000e+00
8.637001687493031099e-01,5.870350322939581478e-01,3.783999999999999631e+01,1.616910634512618961e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.107000000000000739e+01,1.019607767722470637e+00,2.507000000000000028e+01,1.019607767722471081e+00,1.836012155998413720e+00,1.228136473014265206e+00,8.000000000000000444e-01,4.000000000000000777e-01,5.100000000000000000e+01,4.335896677735759930e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.279999999999999716e+01,1.166190378969059971e+00,2.680000000000000071e+01,1.166190378969060193e+00,2.660000000000000142e+01,7.255342858886821844e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.960000000000000142e+01,1.496662954709576443e+00,2.360000000000000142e+01,1.496662954709576443e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.927642297744750932e+00,8.366808352585145547e-01,5.837731361389160156e+00,1.535005845927245760e+00,1.140000000000000036e+01,1.356465996625053627e+00,2.400000000000000000e+01,9.043106644167025365e+00
1.101973680499250374e+00,8.327020659461191743e-01,3.832000000000000739e+01,3.395526468752672500e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.070000000000000284e+01,1.186591757935306468e+00,2.469999999999999929e+01,1.186591757935306468e+00,2.619627675999018912e+00,2.020028494890686144e+00,1.000000000000000000e+00,6.324555320336758824e-01,4.879999999999999716e+01,4.118252056394799965e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.239999999999999858e+01,1.854723699099140699e+00,2.639999999999999858e+01,1.854723699099140699e+00,2.639999999999999858e+01,6.151422599691879434e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.264911064067351765e+00,2.300000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.541075515747070135e+00,1.317513201267192846e+00,8.378806877136231179e+00,2.609080495040986047e+00,1.480000000000000071e+01,1.326649916142159880e+00,2.600000000000000000e+01,6.633249580710799620e+00
2.234854639532335874e+00,2.176499687760564683e+00,3.832000000000000028e+01,4.631371287210733101e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.005333333333332746e+01,1.670342612892471656e+00,2.405333333333333101e+01,1.670342612892469214e+00,3.992460651998352095e+00,3.687174691342652633e+00,1.399999999999999911e+00,1.019803902718557032e+00,4.760000000000000142e+01,3.382306905057552715e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.160000000000000142e+01,2.576819745345024781e+00,2.560000000000000142e+01,2.576819745345024781e+00,2.780000000000000071e+01,4.261455150532503566e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.879999999999999716e+01,1.326649916142159880e+00,2.280000000000000071e+01,1.326649916142159880e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.319090032577514560e+00,2.403058014641632045e+00,1.169789690971374441e+01,4.711565817559971947e+00,1.780000000000000071e+01,1.939071942966531514e+00,2.880000000000000071e+01,7.756287771866126945e+00
2.366988159799068292e+00,2.101592190368463342e+00,3.971999999999999886e+01,6.196256934634004843e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.970999999999999375e+01,1.385784976105600030e+00,2.371000000000000085e+01,1.385784976105601141e+00,4.168242755999004956e+00,3.523952916131507518e+00,1.600000000000000089e+00,1.356465996625053627e+00,4.920000000000000284e+01,1.135605565326271105e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,2.097617696340303262e+00,2.500000000000000000e+01,2.097617696340303262e+00,3.160000000000000142e+01,5.607138307550473932e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.879999999999999716e+01,1.326649916142159880e+00,2.280000000000000071e+01,1.326649916142159880e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.077297449111938477e+00,2.109271115403148933e+00,1.477519435882568288e+01,6.773953735876376392e+00,2.039999999999999858e+01,2.416609194718914555e+00,3.200000000000000000e+01,8.055363982396380962e+00
2.969315084749354128e+00,2.855788967994766114e+00,4.072000000000000597e+01,4.814311996536993377e+00,4.959999999999999964e+00,8.000000000000007105e-02,3.948999999999999488e+01,1.840217378463750775e+00,2.348999999999999844e+01,1.840217378463750775e+00,5.652617755999004956e+00,5.557961986375015151e+00,2.000000000000000000e+00,1.264911064067351765e+00,5.139999999999999858e+01,3.929376540877700386e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.079999999999999716e+01,1.720465053408525291e+00,2.480000000000000071e+01,1.720465053408525291e+00,2.960000000000000142e+01,6.086049621881175931e+00,4.799999999999999822e+00,3.999999999999999667e-01,3.839999999999999858e+01,1.959591794226542616e+00,2.239999999999999858e+01,1.959591794226542616e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.651291275024413974e+00,1.119004175946515023e+00,1.742648563385009908e+01,7.245488776559121824e+00,2.339999999999999858e+01,2.244994432064364887e+00,3.314285714285714590e+01,6.414269805898188181e+00
3.498733017699403369e+00,4.066924000734617017e+00,4.487999999999999545e+01,5.820790324345996858e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.945000000000000284e+01,1.862793601019716139e+00,2.344999999999999574e+01,1.862793601019716139e+00,5.652617755999004956e+00,5.557961986375015151e+00,2.200000000000000178e+00,9.797958971132711969e-01,6.039999999999999858e+01,7.391887445030531190e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.079999999999999716e+01,2.638181191654583646e+00,2.480000000000000071e+01,2.638181191654583646e+00,3.220000000000000284e+01,1.006777035892257466e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.839999999999999858e+01,1.624807680927192077e+00,2.239999999999999858e+01,1.624807680927192077e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.921844959259033203e+00,2.245669406758765252e+00,2.134833059310913228e+01,9.162684975541672827e+00,2.639999999999999858e+01,1.854723699099140699e+00,3.400000000000000000e+01,4.636809247747851970e+00
4.712401655999132188e+00,5.334614905362179194e+00,4.428000000000000114e+01,1.079896291316902257e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.914000000000000057e+01,1.905360858210327857e+00,2.314000000000000057e+01,1.905360858210328523e+00,5.687407287998617278e+00,5.530281801242410644e+00,2.399999999999999911e+00,1.019803902718557032e+00,5.460000000000000142e+01,1.551257554373225389e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.060000000000000142e+01,2.576819745345024781e+00,2.460000000000000142e+01,2.576819745345024781e+00,3.360000000000000142e+01,1.005186549850325051e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.820000000000000284e+01,1.720465053408525291e+00,2.219999999999999929e+01,1.720465053408525291e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.687567758560180486e+00,3.082315895075980361e+00,2.603589835166931010e+01,1.212262895021425635e+01,2.900000000000000000e+01,2.607680962081059484e+00,3.555555555555555713e+01,5.794846582402351842e+00
4.533904304599114532e+00,4.664757909316401552e+00,4.503999999999999915e+01,1.078843825583666138e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.898999999999999488e+01,1.794547296674009917e+00,2.299000000000000199e+01,1.794547296674010584e+00,7.273405727998389025e+00,7.520203307347856025e+00,2.600000000000000089e+00,1.019803902718557032e+00,5.779999999999999716e+01,7.520638270785266144e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.020000000000000284e+01,2.227105745132008874e+00,2.419999999999999929e+01,2.227105745132008430e+00,3.460000000000000142e+01,1.132431013351365223e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,1.673320053068151125e+00,2.200000000000000000e+01,1.673320053068151125e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.657925558090210139e+00,1.914336042655444325e+00,2.969382390975952291e+01,1.358868338437064871e+01,3.239999999999999858e+01,2.870540018881464928e+00,3.520000000000000284e+01,5.741080037762932520e+00
