# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.046947040749550750e-01,1.237936506434882539e-01,4.200000000000000000e+01,1.080740486888503105e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.412000000000000455e+01,6.523802572120033227e-01,2.811999999999999744e+01,6.523802572120037668e-01,8.602141219998700183e-01,4.404666934095822772e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.720000000000000284e+01,1.833030277982335754e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.095445115010332149e+00,2.500000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.027512121200561346e+00,2.751468806410413692e-01,2.027512121200561346e+00,2.751468806410413692e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.084623663998451226e-01,2.461505085953477889e-01,3.923999999999999488e+01,2.185040045399627484e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.264999999999999858e+01,7.758865896508331250e-01,2.664999999999999858e+01,7.758865896508326809e-01,1.211547319999501271e+00,7.612229932711656044e-01,4.000000000000000222e-01,4.898979485566356540e-01,4.879999999999999716e+01,9.042123644365853252e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.479999999999999716e+01,1.326649916142159880e+00,2.880000000000000071e+01,1.326649916142160102e+00,2.960000000000000142e+01,9.350935782048768630e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.039999999999999858e+01,1.019803902718556810e+00,2.439999999999999858e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.403401851654052734e+00,4.644155223991982551e-01,3.430913972854614080e+00,6.257567195767799184e-01,8.199999999999999289e+00,7.483314773547882215e-01,1.800000000000000000e+01,7.483314773547882659e+00
6.406400295497729491e-01,4.877308133244751542e-01,3.835999999999999943e+01,1.222456543194889722e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.148000000000000398e+01,4.864154602806118333e-01,2.548000000000000043e+01,4.864154602806118333e-01,1.292113783999583987e+00,7.726996490706066201e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.260000000000000142e+01,7.337574531137656564e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.279999999999999716e+01,1.166190378969059971e+00,2.680000000000000071e+01,1.166190378969060193e+00,2.400000000000000000e+01,6.841052550594827864e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.020000000000000284e+01,1.166190378969059971e+00,2.419999999999999929e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.309929752349853427e+00,3.661330456887438300e-01,4.740843725204467951e+00,9.379903039483328264e-01,1.119999999999999929e+01,7.483314773547882215e-01,2.533333333333333570e+01,4.988876515698591696e+00
7.420574893997110566e-01,4.837279582855650295e-01,4.288000000000000256e+01,5.024101909794426390e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.193999999999999773e+01,8.563877626402658372e-01,2.593999999999999773e+01,8.563877626402648380e-01,1.292113783999583987e+00,7.726996490706066201e-01,1.399999999999999911e+00,4.898979485566355985e-01,5.639999999999999858e+01,5.953150426454887345e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.360000000000000142e+01,4.898979485566355985e-01,2.760000000000000142e+01,4.898979485566355985e-01,2.900000000000000000e+01,7.797435475847170672e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.095445115010332149e+00,2.500000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832889270782470659e+00,1.138269899552373010e+00,6.573732995986938832e+00,2.002289233784363631e+00,1.419999999999999929e+01,1.326649916142160102e+00,2.900000000000000000e+01,6.633249580710799620e+00
9.669681073996170273e-01,8.065612309713802164e-01,3.987999999999999545e+01,4.279439215598229040e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.178999999999999915e+01,1.488757871515714148e+00,2.578999999999999915e+01,1.488757871515713704e+00,2.097167063999205716e+00,1.724090438094330269e+00,1.600000000000000089e+00,4.898979485566355985e-01,4.860000000000000142e+01,7.002856560004638631e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,1.414213562373095145e+00,2.700000000000000000e+01,1.414213562373095145e+00,3.119999999999999929e+01,3.969886648255841699e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.079999999999999716e+01,1.720465053408525291e+00,2.480000000000000071e+01,1.720465053408525291e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.618166923522949219e+00,2.350496159604154478e+00,9.191899919509888051e+00,4.318822344481563213e+00,1.780000000000000071e+01,1.720465053408525291e+00,2.880000000000000071e+01,6.881860213634101164e+00
2.919493019998575356e+00,4.158320087285284572e+00,4.316000000000000369e+01,3.567408022640527587e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.132000000000000739e+01,1.887220177933670584e+00,2.532000000000000028e+01,1.887220177933672360e+00,6.954800471997371503e+00,1.117305799336782535e+01,1.600000000000000089e+00,4.898979485566355985e-01,4.920000000000000284e+01,6.881860213634101164e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,1.264911064067351765e+00,2.700000000000000000e+01,1.264911064067351765e+00,3.739999999999999858e+01,1.854723699099140699e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,2.097617696340303262e+00,2.400000000000000000e+01,2.097617696340303262e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.394280862808227717e+00,9.459121598814505205e+00,1.558618078231811488e+01,1.368568006314057328e+01,2.139999999999999858e+01,1.959591794226542394e+00,2.866666666666666785e+01,6.531972647421808276e+00
3.422736580298692211e+00,4.368212869550992750e+00,4.124000000000000199e+01,3.378520386204588277e+00,4.959999999999999964e+00,8.000000000000007105e-02,4.092999999999999261e+01,2.560390595202223896e+00,2.492999999999999972e+01,2.560390595202223896e+00,7.892300471997371503e+00,1.087392691432886060e+01,1.800000000000000044e+00,7.483314773547883325e-01,5.420000000000000284e+01,1.128538878373270826e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,2.449489742783177881e+00,2.600000000000000000e+01,2.449489742783177881e+00,2.800000000000000000e+01,6.324555320336759046e+00,4.799999999999999822e+00,3.999999999999999667e-01,3.979999999999999716e+01,2.785677655436823663e+00,2.380000000000000071e+01,2.785677655436823663e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.020667266845703303e+00,5.545266873058468882e+00,2.060684804916381907e+01,1.918868277245682918e+01,2.500000000000000000e+01,2.190890230020664298e+00,2.857142857142856585e+01,6.259686371487615197e+00
4.937184838397895348e+00,6.213303101983118637e+00,3.776000000000000512e+01,2.740510901273703226e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.061999999999999744e+01,2.480443508729839763e+00,2.461999999999999744e+01,2.480443508729839763e+00,9.102017239997328701e+00,1.096004143856890956e+01,2.200000000000000178e+00,7.483314773547882215e-01,5.220000000000000284e+01,7.782030583337488316e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.179999999999999716e+01,2.785677655436823663e+00,2.580000000000000071e+01,2.785677655436823663e+00,2.319999999999999929e+01,6.584831053261731348e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.939999999999999858e+01,2.154065922853801940e+00,2.339999999999999858e+01,2.154065922853801940e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.128107023239135032e+00,1.114515139556728229e+01,2.873495507240295410e+01,3.029549494183137526e+01,2.839999999999999858e+01,2.727636339397171206e+00,2.900000000000000000e+01,6.819090848492927570e+00
5.353217581998745089e+00,5.063599965370667810e+00,3.839999999999999147e+01,4.354308211415448326e+00,4.959999999999999964e+00,8.000000000000007105e-02,4.027999999999999403e+01,2.584879107424562061e+00,2.427999999999999758e+01,2.584879107424561617e+00,1.097701723999733048e+01,1.057218963531953015e+01,2.399999999999999911e+00,1.019803902718557032e+00,5.000000000000000000e+01,1.044988038209050529e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.179999999999999716e+01,2.785677655436823663e+00,2.580000000000000071e+01,2.785677655436823663e+00,2.860000000000000142e+01,7.116178749862878128e+00,4.799999999999999822e+00,3.999999999999999667e-01,3.900000000000000000e+01,2.683281572999747677e+00,2.300000000000000000e+01,2.683281572999747677e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.981863069534301580e+00,4.894896470283722323e+00,3.371681814193725302e+01,3.508890338286910549e+01,3.119999999999999929e+01,3.815756805667782636e+00,3.066666666666666430e+01,8.479459568150625515e+00
5.076926043198886518e+00,4.096332420182046796e+00,3.871999999999999886e+01,3.565613551690648197e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.010999999999999943e+01,2.296606191753387982e+00,2.410999999999999943e+01,2.296606191753387982e+00,1.097701723999733048e+01,1.057218963531953015e+01,2.799999999999999822e+00,7.483314773547882215e-01,5.239999999999999858e+01,7.605261336732617394e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,2.607680962081059484e+00,2.500000000000000000e+01,2.607680962081059484e+00,2.619999999999999929e+01,5.741080037762929855e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.920000000000000284e+01,2.399999999999999911e+00,2.319999999999999929e+01,2.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.073524093627929776e+00,2.095487219032103443e+00,3.679034223556518413e+01,3.570601575358345769e+01,3.420000000000000284e+01,3.370459909270543175e+00,3.160000000000000142e+01,6.740919818541083686e+00
7.668219675198008289e+00,7.294594370248177029e+00,3.776000000000000512e+01,5.433820019102584276e+00,4.959999999999999964e+00,8.000000000000007105e-02,3.986666666666666003e+01,2.494081884069654365e+00,2.386666666666666714e+01,2.494081884069657029e+00,1.835738645599463226e+01,1.510577116437549172e+01,3.200000000000000178e+00,1.469693845669906906e+00,4.779999999999999716e+01,7.222188034107114518e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.160000000000000142e+01,2.939387691339813369e+00,2.560000000000000142e+01,2.939387691339813369e+00,2.939999999999999858e+01,6.651315659326355600e+00,4.799999999999999822e+00,3.999999999999999667e-01,3.820000000000000284e+01,2.785677655436823663e+00,2.219999999999999929e+01,2.785677655436823663e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.978676557540893555e+00,2.712808145017069350e+00,4.076901879310607768e+01,3.752719960061263293e+01,3.760000000000000142e+01,3.929376540877700386e+00,3.163636363636363669e+01,7.144320983414003123e+00
1.142278987399659584e+01,9.285782885304033840e+00,3.764000000000000057e+01,2.719999999999999307e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.949666666666666970e+01,2.932810559476656476e+00,2.349666666666666615e+01,2.932810559476655143e+00,1.835860715999463366e+01,1.510630765142878573e+01,4.000000000000000000e+00,1.788854381999831711e+00,5.260000000000000142e+01,5.986651818838306660e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.060000000000000142e+01,3.200000000000000178e+00,2.460000000000000142e+01,3.200000000000000178e+00,2.280000000000000071e+01,5.635601121442148198e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.839999999999999858e+01,2.576819745345024781e+00,2.239999999999999858e+01,2.576819745345024781e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.257881927490234197e+00,8.635938488397197688e+00,4.802690072059631632e+01,4.612018022955356855e+01,4.020000000000000284e+01,3.655133376499413167e+00,3.300000000000000000e+01,6.091888960832353206e+00
