# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.609037993373765296e-01,1.657908415099302313e-01,4.200000000000000000e+01,1.080740486888503105e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.412000000000000455e+01,6.523802572120033227e-01,2.811999999999999744e+01,6.523802572120037668e-01,5.615231119996859643e-01,7.136257724913264155e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.720000000000000284e+01,1.833030277982335754e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.095445115010332149e+00,2.500000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.133683013916015447e+00,2.415129971268629439e-01,2.133683013916015447e+00,2.415129971268629439e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.538572484498404336e-01,4.388560693083219388e-01,3.920000000000000284e+01,2.961080883731479485e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.199000000000000199e+01,1.307057764599560246e+00,2.598999999999999844e+01,1.307057764599560246e+00,8.740232169998112255e-01,7.810056462050408710e-01,4.000000000000000222e-01,4.898979485566356540e-01,4.979999999999999716e+01,8.255906976220117599e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.379999999999999716e+01,2.481934729198171485e+00,2.780000000000000071e+01,2.481934729198171041e+00,2.900000000000000000e+01,9.777525249264252594e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.020000000000000284e+01,1.166190378969059971e+00,2.419999999999999929e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369719266891479492e+00,2.211385703250192125e-01,3.503402280807494940e+00,4.018648562392052037e-01,8.199999999999999289e+00,7.483314773547882215e-01,1.800000000000000000e+01,7.483314773547882659e+00
1.189574788349647472e+00,1.473889406291561954e+00,3.960000000000000142e+01,1.600000000000000977e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.189000000000000057e+01,1.637192719260625262e+00,2.589000000000000412e+01,1.637192719260625706e+00,4.008787511998653130e+00,5.905302500583565539e+00,8.000000000000000444e-01,7.483314773547883325e-01,5.200000000000000000e+01,5.291502622129181432e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.360000000000000142e+01,2.059126028197399982e+00,2.760000000000000142e+01,2.059126028197399982e+00,2.719999999999999929e+01,8.084553172563094137e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.979999999999999716e+01,1.469693845669906684e+00,2.380000000000000071e+01,1.469693845669906684e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.141527271270752042e+00,1.631941162108802246e+00,5.644929552078247426e+00,1.948960772068912384e+00,1.140000000000000036e+01,1.356465996625053627e+00,2.400000000000000000e+01,9.043106644167025365e+00
1.791259116899447390e+00,1.603260365884168870e+00,3.844000000000000483e+01,5.248085365159373517e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.071000000000000085e+01,1.317725312802330517e+00,2.471000000000000085e+01,1.317725312802330739e+00,5.136716831998367816e+00,5.606640382367329423e+00,1.199999999999999956e+00,9.797958971132711969e-01,5.060000000000000142e+01,4.317406628984580941e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.788854381999831711e+00,2.600000000000000000e+01,1.788854381999831711e+00,2.439999999999999858e+01,6.343500610861481981e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.414213562373095145e+00,2.300000000000000000e+01,1.414213562373095145e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.343682479858398615e+00,1.225131202414771137e+00,7.988612031936645153e+00,3.138887600514533638e+00,1.419999999999999929e+01,1.469693845669906906e+00,2.900000000000000000e+01,7.348469228349534532e+00
2.749591629132072779e+00,3.236931180525519203e+00,3.987999999999999545e+01,7.988591865904781208e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.006666666666666288e+01,1.688128483788414291e+00,2.406666666666666643e+01,1.688128483788418288e+00,5.136716831998367816e+00,5.606640382367329423e+00,1.600000000000000089e+00,1.200000000000000178e+00,4.839999999999999858e+01,8.957678270623476990e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.120000000000000284e+01,2.039607805437114063e+00,2.519999999999999929e+01,2.039607805437113619e+00,3.160000000000000142e+01,8.593020423576334110e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.414213562373095145e+00,2.300000000000000000e+01,1.414213562373095145e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.158301210403442472e+00,1.595993969600739248e+00,1.114691324234008718e+01,4.283349137688640340e+00,1.660000000000000142e+01,1.356465996625053627e+00,3.360000000000000142e+01,5.425863986500214509e+00
3.362547449998842808e+00,3.269626158340920075e+00,4.104000000000000625e+01,7.241436321614657778e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.967000000000000171e+01,1.237578280352396920e+00,2.366999999999999815e+01,1.237578280352398918e+00,6.132809951997877818e+00,5.268967253154901442e+00,1.800000000000000044e+00,1.166190378969059971e+00,5.179999999999999716e+01,9.217374897442329740e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.160000000000000142e+01,1.199999999999999956e+00,2.560000000000000142e+01,1.199999999999999956e+00,2.980000000000000071e+01,5.912698199637793195e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.839999999999999858e+01,1.496662954709576443e+00,2.239999999999999858e+01,1.496662954709576443e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.035812425613403143e+00,3.761839956811259711e+00,1.618272566795349121e+01,7.938820970041209790e+00,1.939999999999999858e+01,1.356465996625053627e+00,3.533333333333333570e+01,4.521553322083511794e+00
3.762693686398637993e+00,3.688481253897807566e+00,4.600000000000000000e+01,7.647221717722064049e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.939999999999999858e+01,1.379855064852827162e+00,2.339999999999999858e+01,1.379855064852827384e+00,6.669919375997918287e+00,4.774939850205699443e+00,1.800000000000000044e+00,1.166190378969059971e+00,6.260000000000000142e+01,1.224091499847948405e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.079999999999999716e+01,1.720465053408525291e+00,2.480000000000000071e+01,1.720465053408525291e+00,3.279999999999999716e+01,6.241794613730893282e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,8.944271909999158554e-01,2.200000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.735783243179321644e+00,4.025973461298008260e+00,2.191850891113281108e+01,1.192471192860881501e+01,2.280000000000000071e+01,2.135415650406262245e+00,3.485714285714286120e+01,6.101187572589323871e+00
3.345212845598372731e+00,2.560440294722572396e+00,4.523999999999999488e+01,7.146915418556455180e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.932000000000000028e+01,1.690443728729235540e+00,2.332000000000000028e+01,1.690443728729235096e+00,7.089840095997020697e+00,4.434754067009389011e+00,1.800000000000000044e+00,1.166190378969059971e+00,5.779999999999999716e+01,1.121427661510094964e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.060000000000000142e+01,1.854723699099140921e+00,2.460000000000000142e+01,1.854723699099140921e+00,3.700000000000000000e+01,8.074651695274539520e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.779999999999999716e+01,1.166190378969059971e+00,2.180000000000000071e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.093288421630859375e+00,5.859188983217254787e+00,2.801179733276367045e+01,1.625470099159793591e+01,2.619999999999999929e+01,2.712931993250107254e+00,3.450000000000000000e+01,6.782329983125266359e+00
4.091062605998488699e+00,2.850209150866843899e+00,4.939999999999999858e+01,9.568280932330530675e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.907999999999999829e+01,1.387659900696132320e+00,2.308000000000000185e+01,1.387659900696132320e+00,8.339840095997020697e+00,4.880311813282401268e+00,2.200000000000000178e+00,1.599999999999999867e+00,6.640000000000000568e+01,9.562426470305537052e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.060000000000000142e+01,1.356465996625053627e+00,2.460000000000000142e+01,1.356465996625053627e+00,3.119999999999999929e+01,1.416192077368038404e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.739999999999999858e+01,1.019803902718556810e+00,2.139999999999999858e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.828632974624634144e+00,3.607845190336508967e+00,3.284043030738830282e+01,1.953025283182455851e+01,2.980000000000000071e+01,2.925747767665558552e+00,3.377777777777777857e+01,6.501661705923461376e+00
4.903318560398541415e+00,3.937930249486853995e+00,5.320000000000000284e+01,1.057014664042084107e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.876000000000000512e+01,8.890444308357151604e-01,2.275999999999999801e+01,8.890444308357151604e-01,8.339840095997020697e+00,4.880311813282401268e+00,2.200000000000000178e+00,1.599999999999999867e+00,6.400000000000000000e+01,1.391402170474086830e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.944271909999158554e-01,2.400000000000000000e+01,8.944271909999158554e-01,4.479999999999999716e+01,1.117855088998569535e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.720000000000000284e+01,1.166190378969059971e+00,2.119999999999999929e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.040677547454833984e+00,3.488205413631972007e+00,3.888110785484313681e+01,2.266674927778768733e+01,3.239999999999999858e+01,3.006659275674581799e+00,3.520000000000000284e+01,6.013318551349160934e+00
