# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.282893866410893036e-01,4.204043481553250694e-01,4.215555555555555856e+01,9.032178414622917817e-01,5.000000000000000000e+00,0.000000000000000000e+00,4.426666666666667993e+01,5.734883511361752451e-01,2.826666666666666572e+01,5.734883511361753561e-01,8.470037557404108686e-01,1.720751164212240392e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.414213562373095145e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.088888888888888573e+01,8.748897637790902237e-01,2.488888888888888928e+01,8.748897637790901127e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.350450356801351059e+00,2.538211270632576566e-01,2.350450356801351059e+00,2.538211270632576566e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.728716220669599624e-01,1.140473508644625822e+00,3.875555555555555998e+01,2.377258510278458914e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.240555555555555145e+01,1.282671787161566490e+00,2.640555555555555500e+01,1.282671787161566934e+00,9.627444446292638958e-01,1.690980136852460625e+00,4.444444444444444198e-01,4.969039949999533023e-01,5.100000000000000000e+01,9.201449161228174134e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.422222222222222143e+01,1.987615979999812987e+00,2.822222222222222143e+01,1.987615979999812987e+00,2.722222222222222143e+01,9.210836344916758733e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.088888888888888573e+01,1.448711645600588405e+00,2.488888888888888928e+01,1.448711645600588405e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.426081313027276032e+00,2.623261205499123894e-01,3.776531669828626647e+00,3.632011480610297105e-01,8.333333333333333925e+00,6.666666666666667407e-01,1.666666666666666785e+01,6.666666666666666963e+00
7.199997925738003124e-01,1.510683566413074441e+00,4.053333333333333144e+01,4.802776974487433570e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.186666666666666714e+01,1.240071682515885287e+00,2.586666666666666359e+01,1.240071682515885287e+00,1.697878524628840147e+00,3.435838803029620081e+00,6.666666666666666297e-01,6.666666666666666297e-01,5.422222222222222143e+01,1.063304887579577240e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.333333333333333570e+01,1.154700538379251462e+00,2.733333333333333215e+01,1.154700538379251684e+00,2.877777777777777857e+01,6.425258797689315848e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.044444444444444287e+01,1.640535895581488601e+00,2.444444444444444287e+01,1.640535895581488601e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.833808686998155357e+00,4.977847309198732417e-01,5.610340356826782227e+00,7.239281689684970988e-01,1.166666666666666607e+01,1.154700538379251462e+00,2.222222222222222143e+01,7.698003589195011820e+00
8.038664952033403033e-01,1.504752020378366417e+00,4.082222222222222285e+01,7.068832651982106974e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.158888888888888857e+01,1.368855519073786331e+00,2.558888888888888857e+01,1.368855519073786775e+00,1.720936049073126917e+00,3.427023090961827112e+00,8.888888888888888395e-01,8.748897637790901127e-01,5.477777777777777857e+01,1.154486685143158908e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.288888888888888573e+01,1.523478800089120622e+00,2.688888888888888928e+01,1.523478800089120844e+00,2.855555555555555713e+01,8.642416214502247840e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.033333333333333570e+01,1.885618083164126935e+00,2.433333333333333215e+01,1.885618083164126713e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.289198213153415207e+00,9.114303864358347385e-01,7.899538569980197877e+00,1.589759934740420544e+00,1.466666666666666607e+01,9.428090415820633563e-01,2.666666666666666785e+01,4.714045207910317004e+00
1.150946899591604344e+00,2.525174148800552132e+00,4.095555555555555571e+01,7.900929778071989595e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.102592592592592524e+01,1.830403570003328984e+00,2.502592592592592524e+01,1.830403570003330094e+00,1.940662333517367166e+00,3.385832593660268230e+00,1.444444444444444420e+00,9.558139185602919641e-01,5.322222222222222143e+01,1.051747516995487253e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.255555555555555713e+01,2.114033065604494332e+00,2.655555555555555713e+01,2.114033065604494332e+00,2.777777777777777857e+01,9.306840707276410996e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.977777777777777857e+01,1.547598697464902084e+00,2.377777777777777857e+01,1.547598697464902084e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.898186127344767105e+00,1.513169028286430073e+00,1.079772469732496454e+01,2.981250642017497121e+00,1.766666666666666785e+01,1.563471919941143318e+00,2.933333333333333215e+01,6.253887679764573271e+00
1.292387284850923024e+00,2.771881541590524023e+00,4.331111111111111001e+01,9.947466952216132086e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.102222222222221859e+01,1.891370918306951365e+00,2.502222222222222570e+01,1.891370918306952253e+00,1.953546728331565729e+00,3.379232606892196511e+00,1.777777777777777679e+00,1.133115447465063319e+00,5.644444444444444287e+01,1.577699528576064303e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.355555555555555713e+01,2.006163342807532501e+00,2.755555555555555713e+01,2.006163342807532501e+00,3.211111111111111427e+01,7.978365809340552062e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.944444444444444287e+01,1.706921277304134899e+00,2.344444444444444287e+01,1.706921277304134899e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.412785424126519196e+00,1.998341397789865193e+00,1.421051012145148462e+01,4.533463411426480683e+00,2.100000000000000000e+01,2.054804667656325634e+00,3.000000000000000000e+01,6.849348892187753002e+00
1.552597415887739141e+00,3.085872259084436742e+00,4.477777777777777146e+01,9.324493167969301055e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.045555555555554861e+01,2.015005437605627669e+00,2.445555555555555216e+01,2.015005437605627669e+00,2.203112630553700768e+00,3.388943131205198966e+00,2.000000000000000000e+00,1.247219128924647036e+00,5.811111111111111427e+01,1.249394915277386353e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.177777777777777857e+01,2.298684540619688743e+00,2.577777777777777857e+01,2.298684540619688743e+00,3.333333333333333570e+01,1.114550233153365966e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.944444444444444287e+01,1.949992086087138032e+00,2.344444444444444287e+01,1.949992086087138032e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.789498488108316909e+00,1.884800240156308648e+00,1.800000860955979931e+01,6.289996799533030369e+00,2.422222222222222143e+01,2.779999111821511715e+00,3.079365079365078373e+01,7.942854605204325402e+00
1.775714429665198546e+00,2.712351051456356021e+00,4.504444444444445139e+01,1.012138672000049944e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.034999999999999432e+01,1.820866704499688238e+00,2.434999999999999787e+01,1.820866704499688460e+00,2.973510512774745873e+00,3.291131774917746888e+00,2.111111111111111160e+00,1.369869778437550423e+00,5.733333333333333570e+01,1.486980534879697302e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.244444444444444287e+01,2.266230894930126638e+00,2.644444444444444287e+01,2.266230894930126638e+00,3.544444444444444287e+01,9.214856496273480246e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.855555555555555713e+01,1.706921277304135121e+00,2.255555555555555713e+01,1.706921277304135121e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.763016647762722044e+00,3.075243748528067478e+00,2.276302525732252491e+01,8.320238129009879913e+00,2.700000000000000000e+01,3.265986323710904138e+00,3.250000000000000000e+01,8.164965809277259012e+00
2.017150190053535130e+00,2.978629436747578740e+00,4.480000000000000426e+01,1.016530045465127330e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.964444444444444571e+01,1.800685740434035287e+00,2.364444444444444571e+01,1.800685740434035731e+00,3.007334104441369949e+00,3.262884497498716563e+00,2.111111111111111160e+00,1.369869778437550423e+00,5.544444444444444287e+01,1.357375827028929116e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.111111111111111427e+01,2.182986967154277647e+00,2.511111111111111072e+01,2.182986967154277647e+00,3.477777777777777857e+01,9.908220804270202464e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.822222222222222143e+01,1.314684396244359066e+00,2.222222222222222143e+01,1.314684396244359066e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.522982862260606751e+00,4.670889360558895476e+00,2.828600811958312988e+01,1.212416541129600311e+01,2.977777777777777857e+01,3.880944265905106771e+00,3.382716049382716506e+01,8.624320590900238059e+00
2.220479076443027999e+00,2.927706482801147647e+00,4.217777777777777715e+01,9.396663447767897637e+00,4.977777777777777857e+00,6.285393610547093668e-02,3.922777777777778141e+01,1.101542128894030581e+00,2.322777777777777786e+01,1.101542128894031691e+00,3.009368517774635432e+00,3.261267161932580372e+00,2.555555555555555358e+00,1.571348402636772335e+00,5.511111111111111427e+01,1.334536494188520805e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,1.414213562373095145e+00,2.466666666666666785e+01,1.414213562373095145e+00,3.088888888888888928e+01,1.035422022864154989e+01,4.888888888888889284e+00,3.142696805273544891e-01,3.811111111111111427e+01,1.369869778437550201e+00,2.211111111111111072e+01,1.369869778437550201e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.554689645767211914e+00,1.447361774083279151e+00,3.184069776535034180e+01,1.342673744607162689e+01,3.211111111111111427e+01,4.039924213932854613e+00,3.577777777777777857e+01,8.079848427865707450e+00
