# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.515291013748268634e-01,1.049213859419912964e-01,4.189999999999999858e+01,1.011599393699567306e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.406666666666666998e+01,6.073622386096197978e-01,2.806666666666666643e+01,6.073622386096200199e-01,4.791255033329231416e-01,3.236921839881571339e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.732050807568877193e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.083333333333333570e+01,1.067187372905474607e+00,2.483333333333333215e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.374611099561055649e+00,4.814657364660528405e-01,2.374611099561055649e+00,4.814657364660528405e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.334232119423422014e-01,2.902136904561531394e-01,3.973333333333333428e+01,3.195135191019136567e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.229166666666666430e+01,1.331170120190837691e+00,2.629166666666666785e+01,1.331170120190837469e+00,6.418858266661157108e-01,5.215369157206848350e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.250000000000000000e+01,8.057087976847880029e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.516666666666666430e+01,2.910708199428830412e+00,2.916666666666666785e+01,2.910708199428830412e+00,2.700000000000000000e+01,9.983319421247959013e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.016666666666666430e+01,6.871842709362767643e-01,2.416666666666666785e+01,6.871842709362767643e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.654416282971699959e+00,6.093437752250689954e-01,4.029027382532755830e+00,7.282404413845636748e-01,8.166666666666666075e+00,8.975274678557507713e-01,1.833333333333333215e+01,8.975274678557505936e+00
5.759105468535644645e-01,5.185509005809685323e-01,3.790000000000000568e+01,1.193035344544885579e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.135833333333333428e+01,1.216010096814806873e+00,2.535833333333333428e+01,1.216010096814806873e+00,1.299029916665230600e+00,1.307652979199385168e+00,1.000000000000000000e+00,5.773502691896257311e-01,5.000000000000000000e+01,6.531972647421808276e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,1.527525231651946758e+00,2.700000000000000000e+01,1.527525231651946758e+00,2.633333333333333215e+01,8.844332774281067344e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.966666666666666430e+01,1.490711984999859574e+00,2.366666666666666785e+01,1.490711984999860018e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.247336705525716294e+00,1.638346703709082641e+00,6.276364088058471680e+00,2.245357822905480472e+00,1.100000000000000000e+01,1.290994448735805600e+00,2.666666666666666785e+01,8.606629658238706071e+00
7.320142818327305401e-01,7.828060041003199743e-01,3.516666666666667140e+01,1.702612371882951336e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.077499999999999858e+01,1.158932698649926429e+00,2.477500000000000213e+01,1.158932698649925985e+00,1.689656316666462432e+00,2.123627242172526852e+00,1.500000000000000000e+00,5.000000000000000000e-01,4.816666666666666430e+01,6.743309441381303060e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.414213562373095145e+00,2.600000000000000000e+01,1.414213562373095145e+00,2.350000000000000000e+01,2.872281323269014308e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.950000000000000000e+01,1.384437310486345885e+00,2.350000000000000000e+01,1.384437310486345885e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.467318177223205566e+00,1.499142512767967395e+00,8.743682265281677246e+00,3.620269427119962913e+00,1.400000000000000000e+01,1.414213562373095145e+00,3.000000000000000000e+01,7.071067811865475505e+00
1.112136316749501974e+00,1.007871370765412777e+00,3.593333333333333712e+01,2.448582356294261242e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.051944444444444571e+01,1.759640553221941239e+00,2.451944444444444571e+01,1.759640553221938131e+00,2.595010873332796564e+00,2.286379720450157915e+00,2.166666666666666519e+00,8.975274678557506602e-01,4.733333333333333570e+01,3.726779962499649823e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.166666666666666430e+01,2.285218200133681599e+00,2.566666666666666785e+01,2.285218200133681599e+00,2.316666666666666785e+01,6.465721580423608117e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.933333333333333570e+01,1.699673171197594979e+00,2.333333333333333215e+01,1.699673171197594979e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.176420251528421890e+00,6.293899451755456953e-01,1.092010251681009869e+01,4.132750487017789354e+00,1.733333333333333215e+01,1.972026594366538710e+00,3.066666666666666785e+01,7.888106377466154839e+00
1.738738465666102906e+00,1.911510456821225334e+00,3.900000000000000000e+01,6.151422599691879434e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.033333333333333570e+01,1.498795812940804995e+00,2.433333333333333215e+01,1.498795812940805217e+00,2.620441786665806294e+00,2.260452198464619755e+00,2.666666666666666519e+00,9.428090415820633563e-01,5.100000000000000000e+01,8.445906306213284864e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,2.581988897471611200e+00,2.600000000000000000e+01,2.581988897471611200e+00,2.716666666666666785e+01,5.520165053893064666e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.883333333333333570e+01,6.871842709362767643e-01,2.283333333333333215e+01,6.871842709362767643e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.175682624181111802e+00,1.301273609282851407e+00,1.409578514099121094e+01,5.313110978509209659e+00,1.966666666666666785e+01,1.972026594366538710e+00,3.444444444444444287e+01,6.573421981221797772e+00
1.890876993082724278e+00,2.298005059935720684e+00,3.673333333333334139e+01,6.473192583433789338e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.039722222222221859e+01,1.832333481562327337e+00,2.439722222222222214e+01,1.832333481562327782e+00,3.735350599999105459e+00,4.201347951646495105e+00,3.500000000000000000e+00,1.258305739211791563e+00,4.766666666666666430e+01,7.226494462892933512e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,2.581988897471611200e+00,2.600000000000000000e+01,2.581988897471611200e+00,2.500000000000000000e+01,8.124038404635960831e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.850000000000000000e+01,1.258305739211791563e+00,2.250000000000000000e+01,1.258305739211791563e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.523203531901041519e+00,1.038341264477028902e+00,1.661898867289225379e+01,5.803175603294555174e+00,2.266666666666666785e+01,2.054804667656325634e+00,3.523809523809523370e+01,5.870870479018076793e+00
2.386371642998845299e+00,2.458588746650018919e+00,3.923333333333333428e+01,8.162039505472199252e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.917499999999999716e+01,1.133486509256580010e+00,2.317500000000000071e+01,1.133486509256580232e+00,4.402667666664859425e+00,4.182072229580218625e+00,3.833333333333333481e+00,1.213351648213419898e+00,5.016666666666666430e+01,9.940098367498963583e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.016666666666666430e+01,1.213351648213419676e+00,2.416666666666666785e+01,1.213351648213419898e+00,2.983333333333333215e+01,8.820745748266160646e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.783333333333333570e+01,1.067187372905474607e+00,2.183333333333333215e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.150874098141987822e+00,3.725468303998380470e+00,2.176986277103424072e+01,8.625334027903447165e+00,2.566666666666666785e+01,2.054804667656325634e+00,3.583333333333333570e+01,5.137011669140811421e+00
3.349099436998825841e+00,4.182221992029133695e+00,4.026666666666667282e+01,7.971337542860810643e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.877499999999999858e+01,1.448490593687097761e+00,2.277500000000000213e+01,1.448490593687097316e+00,4.724118039997034835e+00,3.904159310475876055e+00,4.166666666666666963e+00,1.343709624716425077e+00,5.016666666666666430e+01,8.193832368854570447e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.983333333333333570e+01,2.114762923408253226e+00,2.383333333333333215e+01,2.114762923408253226e+00,3.116666666666666785e+01,1.022116540430797471e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000000e+01,9.574271077563381027e-01,2.150000000000000000e+01,9.574271077563381027e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.897468487421671846e+00,3.301615355095682158e+00,2.666733125845591346e+01,1.140479349066469794e+01,2.766666666666666785e+01,2.494438257849294072e+00,3.851851851851852615e+01,5.543196128553986135e+00
3.245269937831470219e+00,2.758272980806220964e+00,4.273333333333332718e+01,9.944289260117530560e+00,4.966666666666666785e+00,7.453559924999306197e-02,3.849166666666666714e+01,1.256455552558686684e+00,2.249166666666667069e+01,1.256455552558686906e+00,5.765784706663700909e+00,4.883310205225185996e+00,4.500000000000000000e+00,1.607275126832159229e+00,5.166666666666666430e+01,9.893881386437218595e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,1.247219128924647036e+00,2.466666666666666785e+01,1.247219128924647036e+00,3.433333333333333570e+01,1.177096238867305011e+01,4.833333333333333037e+00,3.726779962499650045e-01,3.716666666666666430e+01,1.213351648213419676e+00,2.116666666666666785e+01,1.213351648213419898e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.059477965037028291e+00,2.175272384177468155e+00,3.172680922349293908e+01,1.312707736020137261e+01,3.100000000000000000e+01,2.645751311064590716e+00,3.800000000000000000e+01,5.291502622129179656e+00
