ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.1953125	42.8	5.0	44.6	28.6	0.390625	0	0	51	5	50	34	39	5	42	26	0	0	1.7898974418640137	5	1.7898974418640137	5	0.0	
0.13671875	39.8	5.0	43.2	27.2	0.390625	1	0	40	5	44	28	39	5	41	25	0	0	1.3135266304016113	10	3.103424072265625	7	30.0	
0.22786458333333334	40.0	5.0	43.666666666666664	27.666666666666668	0.390625	2	2	61	5.0	44.0	28.0	19	5.0	43.0	27.0	0	0	0.6202988624572754	15	3.7237229347229004	9	40.0	
0.2001953125	40.0	5.0	43.6	27.6	0.390625	3	2	45	5	45	29	35	5	42	26	0	0	1.1263923645019531	20	4.8501152992248535	11	44.99999999999999	
0.25390625	38.0	5.0	42.8	26.8	0.390625	4	2	42	5	44	28	33	5	41	25	0	0	1.0798773765563965	25	5.92999267578125	14	43.99999999999999	
0.703125	38.0	5.0	40.8	24.8	1.5625	5	2	45	5	43	27	27	5	39	23	0	0	1.1150615215301514	30	7.045054197311401	18	40.0	
0.9375	37.8	5.0	40.6	24.6	1.5625	6	2	45	5	41	25	27	5	39	23	0	0	1.127403736114502	35	8.172457933425903	21	40.0	
0.9765625	40.6	5.0	40.4	24.4	1.5625	7	2	60	5	43	27	26	5	39	23	0	0	1.1977076530456543	40	9.370165586471558	23	42.50000000000001	
1.3671875	37.2	5.0	40.75	24.75	1.5625	8	3	74	5.0	42.0	26.0	13	5.0	39.0	23.0	0	0	0.934349536895752	45	10.30451512336731	24	46.666666666666664	
2.1484375	37.8	5.0	40.25	24.25	4.6875	9	4	56	5.0	42.0	26.0	16	5.0	39.0	23.0	0	0	1.045724868774414	50	11.350239992141724	26	48.0	
2.9296875	37.8	5.0	40.25	24.25	4.6875	10	5	52	5.0	42.0	26.0	20	5.0	39.0	23.0	0	0	0.8960447311401367	55	12.24628472328186	27	50.90909090909091	
2.890625	41.4	5.0	40.0	24.0	4.6875	11	5	53	5	41	25	27	5	39	23	0	0	1.1539292335510254	60	13.400213956832886	29	51.666666666666664	
3.515625	48.2	5.0	39.5	23.5	4.6875	12	6	75	5.0	40.0	24.0	23	5.0	39.0	23.0	0	0	0.846304178237915	65	14.2465181350708	31	52.30769230769231	
3.984375	57.0	5.0	39.4	23.4	4.6875	13	6	75	5	41	25	45	5	39	23	0	0	1.126532793045044	70	15.373050928115845	33	52.85714285714286	
3.28125	51.0	5.0	39.8	23.8	4.6875	14	6	65	5	41	25	38	5	39	23	0	0	1.1556527614593506	75	16.528703689575195	36	52.0	
4.375	51.0	5.0	39.2	23.2	6.25	15	6	68	5	40	24	42	5	39	23	0	0	1.1487884521484375	80	17.677492141723633	38	52.5	
4.1015625	47.2	5.0	40.0	24.0	6.25	16	6	59	5	42	26	38	5	39	23	0	0	1.2573904991149902	85	18.934882640838623	41	51.76470588235294	
3.984375	50.6	5.0	39.8	23.8	6.25	17	6	67	5	41	25	42	5	39	23	0	0	1.1330511569976807	90	20.067933797836304	43	52.22222222222222	
5.6640625	44.0	5.0	39.8	23.8	12.5	18	6	58	5	43	27	36	5	38	22	0	0	1.143507719039917	95	21.21144151687622	46	51.578947368421055	
5.15625	42.0	5.0	40.4	24.4	12.5	19	6	46	5	44	28	38	5	38	22	0	0	1.1305172443389893	100	22.34195876121521	49	51.0	
8.359375	42.0	5.0	38.8	22.8	12.5	20	6	43	5	41	25	41	5	38	22	0	0	1.1082448959350586	105	23.45020365715027	51	51.42857142857143	
7.1875	42.0	5.0	39.0	23.0	12.5	21	6	46	5	40	24	38	5	38	22	0	0	1.1839182376861572	110	24.634121894836426	54	50.90909090909091	
9.375	40.4	5.0	38.5	22.5	12.5	22	7	53	5.0	39.0	23.0	25	5.0	38.0	22.0	0	0	1.0103740692138672	115	25.644495964050293	55	52.17391304347826	
9.375	42.0	5.0	38.5	22.5	12.5	23	8	60	5.0	39.0	23.0	24	5.0	38.0	22.0	0	0	0.9052126407623291	120	26.549708604812622	57	52.5	
8.671875	49.2	5.0	38.8	22.8	12.5	24	8	60	5	41	25	37	5	38	22	0	0	1.195312261581421	125	27.745020866394043	60	52.0	
6.875	50.2	5.0	38.4	22.4	12.5	25	8	73	5	39	23	34	5	37	21	0	0	1.1451976299285889	130	28.890218496322632	63	51.53846153846154	
6.40625	37.2	5.0	39.2	23.2	12.5	26	8	42	5	41	25	34	5	38	22	0	0	1.1601898670196533	135	30.050408363342285	65	51.851851851851855	
9.375	42.0	5.0	38.6	22.6	12.5	27	8	45	5	40	24	39	5	38	22	0	0	1.1295464038848877	140	31.179954767227173	67	52.14285714285714	
6.640625	42.0	5.0	39.8	23.8	12.5	28	8	55	5	43	27	29	5	38	22	0	0	1.160189151763916	145	32.34014391899109	70	51.724137931034484	
9.765625	45.4	5.0	38.75	22.75	12.5	29	9	59	5.0	41.0	25.0	22	5.0	38.0	22.0	0	0	0.8517274856567383	150	33.19187140464783	71	52.666666666666664	
11.875	50.0	5.0	38.2	22.2	18.75	30	9	62	5	40	24	42	5	37	21	0	0	1.1781532764434814	155	34.37002468109131	73	52.903225806451616	
12.34375	44.0	5.0	38.2	22.2	18.75	31	9	59	5	40	24	32	5	37	21	0	0	1.1246662139892578	160	35.494690895080566	75	53.125	
14.0625	55.6	5.0	37.6	21.6	18.75	32	9	60	5	39	23	42	5	37	21	0	0	1.1405112743377686	165	36.635202169418335	77	53.333333333333336	
9.6875	55.8	5.0	38.0	22.0	18.75	33	9	64	5	39	23	42	5	37	21	0	0	1.163184642791748	170	37.79838681221008	81	52.352941176470594	
9.6875	55.6	5.0	38.0	22.0	18.75	34	9	64	5	39	23	42	5	37	21	0	0	1.1559233665466309	175	38.954310178756714	84	52.0	
6.5625	54.0	5.0	38.4	22.4	18.75	35	9	71	5	39	23	39	5	37	21	0	0	1.1724541187286377	180	40.12676429748535	88	51.111111111111114	
12.5	41.4	5.0	37.8	21.8	18.75	36	9	42	5	39	23	39	5	37	21	0	0	1.2235090732574463	185	41.3502733707428	90	51.35135135135135	
9.6875	42.0	5.0	38.2	22.2	18.75	37	9	51	5	40	24	33	5	37	21	0	0	1.359546422958374	190	42.70981979370117	93	51.05263157894736	
13.125	43.8	5.0	37.4	21.4	18.75	38	9	48	5	38	22	41	5	37	21	0	0	1.1984105110168457	195	43.90823030471802	97	50.256410256410255	
12.5	45.0	5.0	37.8	21.8	18.75	39	9	56	5	39	23	34	5	37	21	0	0	1.137131690979004	200	45.04536199569702	99	50.5	
15.9375	47.6	5.0	38.2	22.2	37.5	40	9	63	5	42	26	35	5	36	20	0	0	1.1196198463439941	205	46.164981842041016	102	50.24390243902439	
30.0	58.0	5.0	36.4	20.4	37.5	41	9	62	5	37	21	48	5	36	20	0	0	1.1305696964263916	210	47.29555153846741	104	50.476190476190474	
24.375	62.0	5.0	36.8	20.8	37.5	42	9	70	5	38	22	54	5	36	20	0	0	1.148378610610962	215	48.44393014907837	107	50.23255813953488	
31.875	68.4	5.0	36.4	20.4	37.5	43	9	81	5	38	22	59	5	36	20	0	0	1.1660399436950684	220	49.60997009277344	110	50.0	
32.5	61.2	5.0	36.2	20.2	37.5	44	9	67	5	37	21	55	5	36	20	0	0	1.1301062107086182	225	50.740076303482056	111	50.666666666666664	
25.0	61.0	5.0	36.6	20.6	37.5	45	9	65	5	37	21	56	5	36	20	0	0	1.1250596046447754	230	51.86513590812683	114	50.43478260869565	
16.875	60.8	5.0	37.0	21.0	37.5	46	9	81	5	38	22	37	5	36	20	0	0	1.1249909400939941	235	52.990126848220825	117	50.212765957446805	
28.125	62.0	5.0	36.6	20.6	37.5	47	9	70	5	38	22	54	5	36	20	0	0	1.1333427429199219	240	54.12346959114075	117	51.25	
30.0	66.4	5.0	36.4	20.4	37.5	48	9	82	5	37	21	56	5	36	20	0	0	1.2598037719726562	245	55.3832733631134	118	51.83673469387755	
26.25	74.0	5.0	36.6	20.6	37.5	49	9	100	5	37	21	57	5	36	20	0	0	1.2067484855651855	250	56.59002184867859	122	51.2	
28.125	62.0	5.0	36.6	20.6	37.5	50	9	63	5	38	22	61	5	36	20	0	0	1.2453198432922363	255	57.835341691970825	124	51.372549019607845	
