# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.890999333124208981e-01,2.620290144675292976e-01,4.189999999999999858e+01,1.011599393699567306e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.406666666666666998e+01,6.073622386096197978e-01,2.806666666666666643e+01,6.073622386096200199e-01,1.039949857708143410e+00,1.078483539991838880e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.732050807568877193e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.083333333333333570e+01,1.067187372905474607e+00,2.483333333333333215e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.295059124628702651e+00,4.620873014818955848e-01,2.295059124628702651e+00,4.620873014818955848e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.756133011613285833e-01,6.323846456075629119e-01,3.856666666666666288e+01,2.671869923646900347e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.230833333333333002e+01,1.205341122762441541e+00,2.630833333333333357e+01,1.205341122762441097e+00,1.303100376666486593e+00,9.926409885818436862e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.966666666666666430e+01,8.556998435328956987e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.450000000000000000e+01,2.217355782608345205e+00,2.850000000000000000e+01,2.217355782608345205e+00,2.700000000000000000e+01,9.983319421247959013e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.016666666666666430e+01,1.067187372905474829e+00,2.416666666666666785e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673643986384073967e+00,5.392848766908716618e-01,3.968703111012776841e+00,8.629670483451131746e-01,8.000000000000000000e+00,8.164965809277260345e-01,2.000000000000000000e+01,8.164965809277260789e+00
7.434504944721411768e-01,9.368652766522019837e-01,4.060000000000000142e+01,2.075250988836450095e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.184444444444444144e+01,1.434839862876259087e+00,2.584444444444444500e+01,1.434839862876260641e+00,1.823933709999820074e+00,2.059000982371638422e+00,1.000000000000000000e+00,5.773502691896257311e-01,5.650000000000000000e+01,5.315072906367324990e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,1.154700538379251462e+00,2.700000000000000000e+01,1.154700538379251462e+00,2.716666666666666785e+01,6.618576550554926108e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,1.892969448600091198e+00,2.450000000000000000e+01,1.892969448600091198e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.612652103106180901e+00,6.519415171192690650e-01,5.581355214118957520e+00,1.360126016177532593e+00,1.116666666666666607e+01,1.572330188676100526e+00,2.555555555555555358e+01,1.048220125784067314e+01
9.811950387081217473e-01,1.217472873046595128e+00,4.103333333333333144e+01,2.926697038566778097e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.165000000000000568e+01,1.566045976336582601e+00,2.564999999999999503e+01,1.566045976336583045e+00,2.018228478332541709e+00,2.104837844789964940e+00,1.166666666666666741e+00,6.871842709362767643e-01,5.150000000000000000e+01,6.370504951205464117e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.333333333333333570e+01,1.885618083164126713e+00,2.733333333333333215e+01,1.885618083164126713e+00,3.150000000000000000e+01,6.291528696058958481e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.016666666666666430e+01,1.771690968789108256e+00,2.416666666666666785e+01,1.771690968789108256e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.565518577893575181e+00,1.377270830256537959e+00,8.146873792012533144e+00,2.648191324131030200e+00,1.366666666666666607e+01,1.374368541872553529e+00,3.166666666666666785e+01,6.871842709362764090e+00
1.454569058013373883e+00,1.818346738320038680e+00,4.036666666666666714e+01,4.876360209099496856e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.072777777777778141e+01,1.771839039034562413e+00,2.472777777777777786e+01,1.771839039034560193e+00,2.361042559999165125e+00,2.058831085307565978e+00,1.666666666666666741e+00,9.428090415820633563e-01,5.233333333333333570e+01,7.845734863959878957e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.183333333333333570e+01,2.114762923408253226e+00,2.583333333333333215e+01,2.114762923408253226e+00,2.650000000000000000e+01,7.365459931328117271e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.933333333333333570e+01,1.490711984999859574e+00,2.333333333333333215e+01,1.490711984999860018e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.306294798851013184e+00,6.599072101021331571e-01,1.045316859086354633e+01,3.188990882140624983e+00,1.650000000000000000e+01,1.892969448600091198e+00,3.400000000000000000e+01,7.571877794400363904e+00
1.606995758596543977e+00,2.073103658081654643e+00,4.033333333333333570e+01,6.327365609442492378e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.055833333333333002e+01,1.510633605110414779e+00,2.455833333333333712e+01,1.510633605110415445e+00,2.556355059999165125e+00,1.913067155573820122e+00,2.000000000000000000e+00,1.290994448735805600e+00,5.333333333333333570e+01,1.091889290277280011e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.250000000000000000e+01,2.217355782608345205e+00,2.650000000000000000e+01,2.217355782608345205e+00,2.816666666666666785e+01,3.890872509976250893e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.916666666666666430e+01,1.343709624716424855e+00,2.316666666666666785e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.144343177477518569e+00,2.317578481168705462e+00,1.359751176834106445e+01,4.895230040625311752e+00,1.983333333333333215e+01,2.266911751455907176e+00,3.388888888888888573e+01,7.556372504853024807e+00
2.280487206832188196e+00,3.141618063078926326e+00,4.003333333333333144e+01,7.541367397377098492e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.048611111111110716e+01,1.650712995969237484e+00,2.448611111111111072e+01,1.650712995969234820e+00,4.737343593331186931e+00,6.695736300329620860e+00,2.833333333333333481e+00,2.034425935955617160e+00,5.700000000000000000e+01,1.398809017223819140e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.183333333333333570e+01,1.950783318453271020e+00,2.583333333333333215e+01,1.950783318453271020e+00,2.466666666666666785e+01,6.699917080747259668e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.883333333333333570e+01,1.572330188676100526e+00,2.283333333333333215e+01,1.572330188676100748e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.127003391583760727e+00,1.997345166569954200e+00,1.672451515992482385e+01,6.775735127549000758e+00,2.250000000000000000e+01,3.041381265149109669e+00,3.571428571428571530e+01,8.689660757568891114e+00
2.564513737623546952e+00,4.130435380465883988e+00,4.350000000000000000e+01,6.495896140384840756e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.024166666666666714e+01,1.990480818518202133e+00,2.424166666666666359e+01,1.990480818518201245e+00,4.737343593331186931e+00,6.695736300329620860e+00,3.000000000000000000e+00,2.236067977499789805e+00,6.716666666666667140e+01,1.496013220381275666e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.216666666666666430e+01,2.544056253745624829e+00,2.616666666666666785e+01,2.544056253745624829e+00,2.750000000000000000e+01,5.220153254455275338e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.732050807568877193e+00,2.300000000000000000e+01,1.732050807568877193e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.332759340604146026e+00,4.637461565766680671e+00,2.205727450052897254e+01,1.122718553397704966e+01,2.550000000000000000e+01,4.031128874149274566e+00,3.625000000000000000e+01,1.007782218537318641e+01
4.143725820602011112e+00,6.946630045281931842e+00,4.253333333333333854e+01,7.990549974118732024e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.024166666666666714e+01,2.187162672403577535e+00,2.424166666666666359e+01,2.187162672403576646e+00,4.737343593331186931e+00,6.695736300329620860e+00,3.333333333333333481e+00,2.134374745810949658e+00,5.650000000000000000e+01,1.347528602046477353e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.183333333333333570e+01,3.077697552103231260e+00,2.583333333333333215e+01,3.077697552103231260e+00,2.983333333333333215e+01,9.334821309960299018e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.732050807568877193e+00,2.300000000000000000e+01,1.732050807568877193e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.295883735020955108e+00,9.122177970639217648e+00,2.935315823554992676e+01,2.011083292313742277e+01,2.733333333333333215e+01,4.384315479321968745e+00,3.925925925925925952e+01,9.742923287382152964e+00
2.776817430637624096e+00,3.149867949855624349e+00,3.966666666666666430e+01,1.499629583893599793e+00,4.966666666666666785e+00,7.453559924999306197e-02,4.004166666666667140e+01,2.035193820963714373e+00,2.404166666666666785e+01,2.035193820963715261e+00,5.651853546664388439e+00,6.335367515508753655e+00,3.500000000000000000e+00,2.140872096444188077e+00,5.400000000000000000e+01,5.859465277082315460e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.250000000000000000e+01,2.872281323269014308e+00,2.650000000000000000e+01,2.872281323269014308e+00,2.900000000000000000e+01,7.164728420068225745e+00,4.833333333333333037e+00,3.726779962499650045e-01,3.850000000000000000e+01,1.802775637731994562e+00,2.250000000000000000e+01,1.802775637731994562e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.421397566795349121e+00,3.374081267610347989e+00,3.377455580234527588e+01,2.334885084576995951e+01,3.033333333333333215e+01,4.784233364802441102e+00,3.933333333333333570e+01,9.568466729604882204e+00
