ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.18554686799998946	42.4	5.0	44.4	28.4	0.78125	0	0	51	5	50	34	37	5	41	25	0	0	1.9917726516723633	5	1.9917726516723633	5	0.0	
0.41015612399981005	40.8	5.0	42.2	26.2	0.78125	1	0	51	5	44	28	37	5	40	24	0	0	1.3991031646728516	10	3.390875816345215	9	10.0	
1.086425142499037	37.0	5.0	41.0	25.0	3.1249977599966225	2	1	55	5.0	44.0	28.0	19	5.0	38.0	22.0	0	0	1.467893362045288	15	4.858769178390503	12	20.0	
1.5624988799983115	49.6	5.0	39.6	23.6	3.1249977599966225	3	1	59	5	41	25	42	5	38	22	0	0	1.9528985023498535	20	6.8116676807403564	15	25.0	
1.7968737119980578	48.6	5.0	39.2	23.2	3.1249977599966225	4	1	59	5	41	25	39	5	38	22	0	0	2.27610445022583	25	9.087772130966187	18	28.0	
2.0312485439978047	43.2	5.0	39.0	23.0	3.1249977599966225	5	1	52	5	40	24	33	5	38	22	0	0	2.5643434524536133	30	11.6521155834198	21	30.0	
2.0312485439978047	43.4	5.0	38.8	22.8	3.1249977599966225	6	1	46	5	40	24	33	5	38	22	0	0	2.619980812072754	35	14.272096395492554	23	34.28571428571429	
1.1718741599987335	46.0	5.0	39.6	23.6	3.1249977599966225	7	1	61	5	41	25	31	5	38	22	0	0	1.838226318359375	40	16.11032271385193	27	32.5	
2.499998655997974	46.0	5.0	38.8	22.8	3.125	8	1	66	5	40	24	36	5	38	22	0	0	2.6678457260131836	45	18.778168439865112	30	33.33333333333334	
3.28124899199848	37.8	5.0	39.0	23.0	6.249995519993245	9	1	48	5	40	24	33	5	37	21	0	0	3.0152995586395264	50	21.79346799850464	34	32.0	
