# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.565664379248430382e-01,8.968913034211338509e-02,4.200000000000000000e+01,1.080740486888503105e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.412000000000000455e+01,6.523802572120033227e-01,2.811999999999999744e+01,6.523802572120037668e-01,4.418941199996430091e-01,2.988501693262152759e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.720000000000000284e+01,1.833030277982335754e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.095445115010332149e+00,2.500000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.384455204010009766e+00,5.675353709018976511e-01,2.384455204010009766e+00,5.675353709018976511e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.757564186496297420e-01,1.615792845478191408e-01,3.907999999999999829e+01,2.636967955815920917e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.223000000000000398e+01,1.286701208517346817e+00,2.623000000000000043e+01,1.286701208517346373e+00,6.152333039991114694e-01,2.234388148716281441e-01,4.000000000000000222e-01,4.898979485566356540e-01,5.060000000000000142e+01,8.163332652783420684e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.379999999999999716e+01,2.039607805437113619e+00,2.780000000000000071e+01,2.039607805437114063e+00,2.900000000000000000e+01,9.777525249264252594e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.020000000000000284e+01,1.166190378969059971e+00,2.419999999999999929e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.703676271438598677e+00,7.290916621775060946e-01,4.088131475448608221e+00,1.263627586249358226e+00,8.000000000000000000e+00,8.944271909999158554e-01,2.000000000000000000e+01,8.944271909999159220e+00
5.160719738327337325e-01,3.284362615043611711e-01,3.807999999999999829e+01,1.835647024893403367e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.110999999999999943e+01,1.050904372433572265e+00,2.511000000000000298e+01,1.050904372433572265e+00,1.248778259998824414e+00,1.002401009837402546e+00,1.199999999999999956e+00,4.000000000000000777e-01,5.420000000000000284e+01,4.166533331199931744e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.339999999999999858e+01,1.200000000000000178e+00,2.739999999999999858e+01,1.200000000000000178e+00,2.360000000000000142e+01,6.651315659326356489e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.939999999999999858e+01,1.854723699099140921e+00,2.339999999999999858e+01,1.854723699099140921e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.777150583267211870e+00,8.340652585751605619e-01,5.865282058715820312e+00,2.070001217885970135e+00,1.040000000000000036e+01,1.624807680927192077e+00,3.066666666666666430e+01,1.083205120618127637e+01
8.822625629993300356e-01,5.598580642738955060e-01,4.220000000000000284e+01,4.019950248448357577e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.076000000000000512e+01,1.112834219459485130e+00,2.476000000000000156e+01,1.112834219459484464e+00,1.984862015998640317e+00,1.235978336609944828e+00,1.199999999999999956e+00,4.000000000000000777e-01,5.260000000000000142e+01,8.708616422830896653e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.220000000000000284e+01,1.469693845669906684e+00,2.619999999999999929e+01,1.469693845669906684e+00,3.520000000000000284e+01,5.268775948927795660e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.960000000000000142e+01,1.356465996625053627e+00,2.360000000000000142e+01,1.356465996625053627e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.192906475067138761e+00,1.024804887996120906e+00,8.058188533782958629e+00,3.078847106529542188e+00,1.380000000000000071e+01,1.166190378969060193e+00,3.100000000000000000e+01,5.830951894845300743e+00
1.303710193399209460e+00,9.355233028990971311e-01,4.020000000000000284e+01,4.984776825495802477e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.065999999999999659e+01,1.244748970676416322e+00,2.466000000000000369e+01,1.244748970676417210e+00,1.984862015998640317e+00,1.235978336609944828e+00,1.800000000000000044e+00,7.483314773547883325e-01,5.639999999999999858e+01,9.789790600416333533e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,8.944271909999158554e-01,2.600000000000000000e+01,8.944271909999158554e-01,2.480000000000000071e+01,8.231646250902670658e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.960000000000000142e+01,1.356465996625053627e+00,2.360000000000000142e+01,1.356465996625053627e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.412973928451537908e+00,1.936040771315213460e+00,1.047116246223449743e+01,4.951885646985044964e+00,1.600000000000000000e+01,1.414213562373095145e+00,3.600000000000000000e+01,5.656854249492377917e+00
1.209776985249099823e+00,8.404473587803021895e-01,3.935999999999999943e+01,2.630285155643775408e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.051000000000000512e+01,1.741378764083219233e+00,2.450999999999999801e+01,1.741378764083219233e+00,1.984862015998640317e+00,1.235978336609944828e+00,2.000000000000000000e+00,8.944271909999158554e-01,5.279999999999999716e+01,1.096175168483577700e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.160000000000000142e+01,2.059126028197399982e+00,2.560000000000000142e+01,2.059126028197399982e+00,3.000000000000000000e+01,4.816637831516918489e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.960000000000000142e+01,1.356465996625053627e+00,2.360000000000000142e+01,1.356465996625053627e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.918936204910278498e+00,2.465236158586519455e+00,1.339009866714477504e+01,7.372864854149618452e+00,1.860000000000000142e+01,1.356465996625053627e+00,3.800000000000000000e+01,4.521553322083512683e+00
9.503776585991644543e-01,6.630020314893152467e-01,3.767999999999999972e+01,5.454686058793852155e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.064000000000000057e+01,1.370547335920945908e+00,2.463999999999999702e+01,1.370547335920945020e+00,2.141111679998344730e+00,1.117662653665338679e+00,2.000000000000000000e+00,8.944271909999158554e-01,4.439999999999999858e+01,5.986651818838305772e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.179999999999999716e+01,1.326649916142159880e+00,2.580000000000000071e+01,1.326649916142159880e+00,2.880000000000000071e+01,4.069397989875160881e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.939999999999999858e+01,1.496662954709576665e+00,2.339999999999999858e+01,1.496662954709576665e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.126508665084839045e+00,5.667709820128813414e-01,1.551660733222961497e+01,7.720909164125100865e+00,2.200000000000000000e+01,1.095445115010332149e+00,3.714285714285715301e+01,3.129843185743805378e+00
1.103697865399166700e+00,7.136572423795503051e-01,3.920000000000000284e+01,5.471380081844067433e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.035000000000000142e+01,1.034408043278861378e+00,2.435000000000000142e+01,1.034408043278859823e+00,2.141111679998344730e+00,1.117662653665338679e+00,2.200000000000000178e+00,1.166190378969059971e+00,5.200000000000000000e+01,7.797435475847170672e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.264911064067351765e+00,2.600000000000000000e+01,1.264911064067351765e+00,2.539999999999999858e+01,1.078146557755484380e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.095445115010332149e+00,2.300000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.647470760345458807e+00,2.100900669581971414e+00,1.816407809257507466e+01,9.806538557549760782e+00,2.560000000000000142e+01,1.496662954709576443e+00,3.600000000000000000e+01,3.741657386773943550e+00
1.652953155599030666e+00,1.161250675899353269e+00,4.007999999999999829e+01,3.488495377666423369e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.025000000000000000e+01,1.641340915227546660e+00,2.425000000000000000e+01,1.641340915227545993e+00,2.766112127999019954e+00,2.010355821481244920e+00,2.399999999999999911e+00,1.200000000000000178e+00,5.120000000000000284e+01,8.657944328765344366e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.139999999999999858e+01,1.496662954709576665e+00,2.539999999999999858e+01,1.496662954709576665e+00,2.880000000000000071e+01,8.818163074019441439e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.549193338482966809e+00,2.300000000000000000e+01,1.549193338482966809e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.879146814346313477e+00,2.212878179850766180e+00,2.104322490692138814e+01,1.198206541784134238e+01,2.839999999999999858e+01,1.743559577416269324e+00,3.688888888888889284e+01,3.874576838702818105e+00
2.243895399898954146e+00,1.861975781282787734e+00,4.187999999999999545e+01,3.963029144480268329e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.987000000000000455e+01,1.942060761150382175e+00,2.386999999999999744e+01,1.942060761150381509e+00,4.641111231997669506e+00,4.410199220651942476e+00,2.600000000000000089e+00,1.356465996625053849e+00,5.020000000000000284e+01,8.634813257969160105e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,2.000000000000000000e+00,2.500000000000000000e+01,2.000000000000000000e+00,3.360000000000000142e+01,4.223742416388574838e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.860000000000000142e+01,1.743559577416269324e+00,2.260000000000000142e+01,1.743559577416269324e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.951574850082397283e+00,1.815284646075415509e+00,2.399479975700378276e+01,1.373419844863913397e+01,3.080000000000000071e+01,2.315167380558044830e+00,3.839999999999999858e+01,4.630334761116088771e+00
