# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.170178883747982124e-01,7.594709055723562752e-03,4.179999999999999716e+01,1.143095213298813917e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,7.118052168020875259e-01,2.800000000000000000e+01,7.118052168020875259e-01,6.835927699991817263e-01,7.973719448521057740e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.666666666666666430e+01,2.054804667656325634e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,1.247219128924647036e+00,2.466666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.049454689025878906e+00,4.525278097908547736e-01,2.049454689025878906e+00,4.525278097908547736e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.207186639993825361e-01,2.801717936665880648e-01,3.860000000000000142e+01,3.278210894171798451e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.105000000000000426e+01,9.513148795220222054e-01,2.505000000000000071e+01,9.513148795220222054e-01,1.627603186665848467e+00,8.783043890531428977e-01,3.333333333333333148e-01,4.714045207910316782e-01,4.766666666666666430e+01,2.494438257849294072e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.233333333333333570e+01,2.054804667656325634e+00,2.633333333333333215e+01,2.054804667656325634e+00,3.233333333333333570e+01,8.055363982396380962e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.164965809277260345e-01,2.400000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.621867895126342773e+00,4.290326572727833354e-01,3.671322584152221680e+00,8.740254009110275391e-01,8.000000000000000000e+00,8.164965809277260345e-01,2.000000000000000000e+01,8.164965809277260789e+00
1.891630508248683951e+00,1.335560765725909649e+00,3.920000000000000284e+01,1.796292478040996565e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.071666666666666856e+01,1.061707220575532906e+00,2.471666666666666856e+01,1.061707220575532906e+00,5.208328106662302837e+00,4.101048422871825139e+00,6.666666666666666297e-01,4.714045207910316782e-01,4.900000000000000000e+01,4.320493798938573882e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,1.414213562373095145e+00,2.700000000000000000e+01,1.414213562373095145e+00,2.966666666666666785e+01,7.586537784494027825e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,1.699673171197594979e+00,2.266666666666666785e+01,1.699673171197594979e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.096061150232950698e+00,2.299615513609277517e+00,6.767383734385172822e+00,3.153605885248822904e+00,1.100000000000000000e+01,1.414213562373095145e+00,2.666666666666666785e+01,9.428090415820632231e+00
2.611489468498788380e+00,1.937522437246658624e+00,4.226666666666666572e+01,5.881798666696740341e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.994999999999999574e+01,9.513148795220222054e-01,2.394999999999999929e+01,9.513148795220222054e-01,5.208328106662302837e+00,4.101048422871825139e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.233333333333333570e+01,5.734883511361751118e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,8.164965809277260345e-01,2.500000000000000000e+01,8.164965809277260345e-01,2.966666666666666785e+01,8.806563209081938126e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,1.699673171197594979e+00,2.266666666666666785e+01,1.699673171197594979e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.237392187118530273e+00,1.013954161653269237e+00,9.004775921503702207e+00,4.057752718461355990e+00,1.400000000000000000e+01,8.164965809277260345e-01,3.000000000000000000e+01,4.082482904638630394e+00
3.457571114219934572e+00,1.868286684738875936e+00,4.213333333333333286e+01,6.761327943204321400e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.911111111111111427e+01,1.416655773378596050e+00,2.311111111111111072e+01,1.416655773378600269e+00,5.468750000000000000e+00,3.880120944206078004e+00,1.666666666666666741e+00,9.428090415820633563e-01,5.533333333333333570e+01,8.178562764256865236e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.414213562373095145e+00,2.400000000000000000e+01,1.414213562373095145e+00,2.866666666666666785e+01,7.845734863959880734e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333570e+01,1.247219128924647036e+00,2.233333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.110885858535766602e+00,1.478647656260355880e+00,1.211566178003946881e+01,5.460230929796316524e+00,1.666666666666666785e+01,1.247219128924647036e+00,3.333333333333333570e+01,4.988876515698588143e+00
3.225908338663831643e+00,1.643149643971972607e+00,4.273333333333332718e+01,4.339994879669275996e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.926666666666666572e+01,9.977753031397174066e-01,2.326666666666666572e+01,9.977753031397186279e-01,5.468750000000000000e+00,3.880120944206078004e+00,1.666666666666666741e+00,9.428090415820633563e-01,5.333333333333333570e+01,9.843215373488932940e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.133333333333333570e+01,1.247219128924647036e+00,2.533333333333333215e+01,1.247219128924647036e+00,3.500000000000000000e+01,5.099019513592784492e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333570e+01,1.247219128924647036e+00,2.233333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.657354911168416045e+00,6.182583891851332503e+00,1.877301669120788574e+01,1.153902047103537498e+01,1.933333333333333215e+01,1.699673171197594979e+00,3.555555555555556424e+01,5.665577237325316595e+00
3.854165098665291556e+00,2.617738604700800220e+00,4.713333333333333286e+01,4.164399383131045518e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.906666666666666998e+01,1.643843734125060685e+00,2.306666666666666643e+01,1.643843734125060241e+00,5.468750000000000000e+00,3.880120944206078004e+00,1.666666666666666741e+00,9.428090415820633563e-01,6.333333333333333570e+01,1.596524001977072871e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.632993161855452069e+00,2.400000000000000000e+01,1.632993161855452069e+00,3.366666666666666430e+01,5.734883511361751118e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333570e+01,1.247219128924647036e+00,2.233333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.077419281005858487e+00,3.408015250156911424e+00,2.385043597221374512e+01,1.491850898990529117e+01,2.166666666666666785e+01,1.885618083164126713e+00,3.809523809523810201e+01,5.387480237611791622e+00
3.404947883999939862e+00,1.718034669958288019e+00,4.446666666666666856e+01,3.827386691841951460e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.953333333333333144e+01,2.041785710815140931e+00,2.353333333333333144e+01,2.041785710815140931e+00,8.593750000000000000e+00,4.465215676948502299e+00,1.666666666666666741e+00,9.428090415820633563e-01,6.633333333333332860e+01,9.877021593352703022e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,2.449489742783177881e+00,2.500000000000000000e+01,2.449489742783177881e+00,2.966666666666666785e+01,1.247219128924647036e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,1.632993161855452069e+00,2.200000000000000000e+01,1.632993161855452069e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.286623795827229966e+00,2.064969143718550448e+00,2.713705976804097375e+01,1.698297306162181997e+01,2.500000000000000000e+01,2.828427124746190291e+00,3.750000000000000000e+01,7.071067811865475505e+00
4.373437500000000533e+00,2.185826368690454657e+00,3.919999999999999574e+01,5.472354764328301258e+00,4.933333333333333570e+00,9.428090415820641890e-02,3.886666666666666714e+01,1.878533707147383325e+00,2.286666666666666359e+01,1.878533707147381993e+00,8.593750000000000000e+00,4.465215676948502299e+00,1.666666666666666741e+00,9.428090415820633563e-01,5.333333333333333570e+01,9.533566430716726714e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,1.632993161855452069e+00,2.400000000000000000e+01,1.632993161855452069e+00,3.066666666666666785e+01,3.771236166328253425e+00,4.666666666666666963e+00,4.714045207910316782e-01,3.766666666666666430e+01,2.054804667656325634e+00,2.166666666666666785e+01,2.054804667656325634e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.221774419148763169e+00,1.759507863807305617e+00,3.035883418718973914e+01,1.872606695382976483e+01,2.733333333333333215e+01,3.091206165165234498e+00,3.925925925925926663e+01,6.869347033700520022e+00
4.843749607999277451e+00,2.390165243241344051e+00,3.946666666666666856e+01,5.991846311632351707e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.893333333333333002e+01,1.569146972791974903e+00,2.293333333333333357e+01,1.569146972791976236e+00,8.593750000000000000e+00,4.465215676948502299e+00,2.333333333333333481e+00,9.428090415820633563e-01,4.766666666666666430e+01,1.247219128924647036e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.033333333333333570e+01,1.247219128924647036e+00,2.433333333333333215e+01,1.247219128924647036e+00,2.900000000000000000e+01,1.349073756323204165e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,1.632993161855452069e+00,2.200000000000000000e+01,1.632993161855452069e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.395808060963948716e+00,2.131344602657673004e+00,3.375464224815368652e+01,2.072209677818375440e+01,2.966666666666666785e+01,3.399346342395189957e+00,4.066666666666666430e+01,6.798692684790379914e+00
4.007160020998338901e+00,2.366860242809291304e+00,4.226666666666666572e+01,2.229100466306734418e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.941666666666666430e+01,2.180341461535070025e+00,2.341666666666666785e+01,2.180341461535070025e+00,9.049476879995788536e+00,4.742335370885141899e+00,2.666666666666666519e+00,1.247219128924647036e+00,5.266666666666666430e+01,3.771236166328253425e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,2.494438257849294072e+00,2.466666666666666785e+01,2.494438257849294072e+00,3.033333333333333215e+01,6.342099196813482997e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.766666666666666430e+01,1.699673171197594979e+00,2.166666666666666785e+01,1.699673171197594979e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.967121680577596177e+00,2.192859096449639722e+00,3.772176392873128492e+01,2.282283964312753355e+01,3.300000000000000000e+01,4.320493798938573882e+00,4.000000000000000000e+01,7.855443270797402455e+00
5.615233574665192684e+00,3.758797305583224446e+00,4.106666666666666288e+01,3.623380864453650041e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.913333333333333286e+01,2.451303508113364948e+00,2.313333333333333641e+01,2.451303508113364504e+00,9.049476879995788536e+00,4.742335370885141899e+00,2.666666666666666519e+00,1.247219128924647036e+00,4.733333333333333570e+01,8.178562764256865236e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,2.867441755680875559e+00,2.466666666666666785e+01,2.867441755680875559e+00,3.466666666666666430e+01,3.299831645537222080e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.766666666666666430e+01,1.699673171197594979e+00,2.166666666666666785e+01,1.699673171197594979e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.134541511535644531e+00,2.839555355123569935e+00,4.185630544026692945e+01,2.565749133414171368e+01,3.600000000000000000e+01,5.715476066494082019e+00,4.000000000000000000e+01,9.525793444156802181e+00
4.479165947998676067e+00,1.706375110757335722e+00,4.260000000000000142e+01,4.418144406874903396e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.906666666666666998e+01,1.635712552851374291e+00,2.306666666666666643e+01,1.635712552851373180e+00,9.830726879995788536e+00,3.637684654413421370e+00,2.666666666666666519e+00,1.247219128924647036e+00,4.900000000000000000e+01,2.828427124746190291e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.133333333333333570e+01,2.494438257849294072e+00,2.533333333333333215e+01,2.494438257849294072e+00,3.566666666666666430e+01,6.182412330330468997e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.733333333333333570e+01,1.247219128924647036e+00,2.133333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.091761668523152817e+00,1.953493533878768007e+00,4.494806710879007738e+01,2.759986760565202246e+01,3.900000000000000000e+01,5.887840577551897603e+00,4.000000000000000711e+01,9.058216273156762810e+00
