# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.780995341383074027e-01,2.842666355247082111e-01,4.200000000000000000e+01,9.680613912055664461e-01,5.000000000000000000e+00,0.000000000000000000e+00,4.414285714285715301e+01,5.924697529522208184e-01,2.814285714285714235e+01,5.924697529522208184e-01,8.196147228568503307e-01,7.415616146374361950e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.603567451474546379e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.085714285714285410e+01,9.897433186107869041e-01,2.485714285714285765e+01,9.897433186107870151e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.244999953678675997e+00,3.300473492078500048e-01,2.244999953678675997e+00,3.300473492078500048e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.446218988985970011e-01,4.870527952056796228e-01,3.805714285714285694e+01,2.195356881405547966e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.193571428571429038e+01,1.034999753524568522e+00,2.593571428571428328e+01,1.034999753524568744e+00,1.703752351428095446e+00,1.421504766344523718e+00,4.285714285714285476e-01,4.948716593053934520e-01,4.814285714285714590e+01,9.187391537607730641e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.414285714285714590e+01,2.231499907401901517e+00,2.814285714285714235e+01,2.231499907401901517e+00,2.828571428571428470e+01,9.764575708934321696e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.014285714285714590e+01,8.329931278350428681e-01,2.414285714285714235e+01,8.329931278350428681e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.490857941763741534e+00,3.823519120430062812e-01,3.735857895442417753e+00,5.368320392094362292e-01,8.428571428571428825e+00,7.284313590846834829e-01,1.571428571428571352e+01,7.284313590846835496e+00
1.111653334832941820e+00,1.048769998069323028e+00,3.828571428571428470e+01,2.585359091625970329e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.127142857142857935e+01,1.023250124029570163e+00,2.527142857142856869e+01,1.023250124029570385e+00,2.907016522856097129e+00,3.207376896718034498e+00,8.571428571428570953e-01,6.388765649999398333e-01,5.157142857142856940e+01,4.100771455544949262e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.314285714285714590e+01,1.245399698154478152e+00,2.714285714285714235e+01,1.245399698154478152e+00,2.614285714285714235e+01,7.337352021940717783e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.957142857142856940e+01,1.293626448305345011e+00,2.357142857142857295e+01,1.293626448305345233e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.652916295187813800e+00,4.869218779801259833e-01,5.388774190630231331e+00,9.801309204113588525e-01,1.157142857142857117e+01,1.399708424447530408e+00,2.285714285714285765e+01,9.331389496316871757e+00
1.247383885713901019e+00,1.306468827202062366e+00,3.562857142857142634e+01,3.350784251789543866e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.094999999999999574e+01,1.210961837313039746e+00,2.494999999999999929e+01,1.210961837313039524e+00,2.907016522856097129e+00,3.207376896718034498e+00,1.285714285714285809e+00,1.160576914947994309e+00,4.700000000000000000e+01,6.071008388821650392e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,1.309307341415954173e+00,2.600000000000000000e+01,1.309307341415954173e+00,2.414285714285714235e+01,5.767608353767529117e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.957142857142856940e+01,1.293626448305345011e+00,2.357142857142857295e+01,1.293626448305345233e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.920107739312308270e+00,8.377020659842647765e-01,7.308881929942539379e+00,1.799189448512137357e+00,1.485714285714285765e+01,1.641303613296579478e+00,2.571428571428571530e+01,8.206518066482898277e+00
2.291624186930782958e+00,2.992520265202883056e+00,3.657142857142856940e+01,4.221615901088886957e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.031190476190476346e+01,1.629751034782352503e+00,2.431190476190476346e+01,1.629751034782354058e+00,3.839981971427521845e+00,4.018187951371248623e+00,1.857142857142857206e+00,1.124858267715973081e+00,4.628571428571428470e+01,4.398515519525900253e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,2.267786838055363408e+00,2.600000000000000000e+01,2.267786838055363408e+00,2.671428571428571530e+01,5.749889084999459499e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.914285714285714590e+01,1.355261854357876716e+00,2.314285714285714235e+01,1.355261854357876938e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.963900702340262150e+00,1.811597379605190961e+00,1.027278263228280153e+01,3.469114306956274429e+00,1.757142857142857295e+01,1.678191446352961247e+00,2.971428571428571530e+01,6.712765785411846764e+00
2.527304969737026674e+00,2.734036685192096972e+00,3.931428571428570962e+01,3.308615839820363558e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.005714285714286405e+01,1.413058630728941001e+00,2.405714285714285694e+01,1.413058630728941667e+00,3.993441662855936602e+00,3.925513627052743093e+00,1.857142857142857206e+00,1.124858267715973081e+00,4.800000000000000000e+01,6.611677980232077090e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.257142857142856940e+01,1.840585532389303669e+00,2.657142857142857295e+01,1.840585532389303669e+00,3.014285714285714235e+01,3.642156795423417304e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.857142857142856940e+01,1.049781318335647917e+00,2.257142857142857295e+01,1.049781318335647917e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.267508915492466137e+00,3.502306103348069577e+00,1.454029154777526855e+01,6.814190999873781962e+00,2.071428571428571530e+01,2.050385727772474631e+00,3.095238095238095610e+01,6.834619092574917509e+00
3.159236436093956435e+00,3.266376174753579775e+00,4.028571428571428470e+01,7.219700937895770387e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.915952380952381162e+01,1.200524261896175782e+00,2.315952380952381162e+01,1.200524261896177114e+00,4.077146119998093177e+00,3.857622094768950571e+00,2.285714285714285587e+00,1.385051387833236669e+00,5.185714285714285410e+01,1.002038738100010384e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.014285714285714590e+01,1.245399698154478152e+00,2.414285714285714235e+01,1.245399698154478152e+00,3.042857142857142705e+01,1.013983858503735114e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.842857142857143060e+01,1.049781318335647917e+00,2.242857142857142705e+01,1.049781318335647917e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.150659186499459530e+00,6.821639272200902937e+00,2.069095073427472897e+01,1.353692860836035372e+01,2.328571428571428470e+01,2.432769480846629140e+00,3.346938775510204067e+01,6.950769945276087824e+00
3.584360939617981412e+00,4.260210023670873980e+00,4.465714285714285836e+01,1.035468936456978994e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.922857142857143486e+01,1.325534162640303437e+00,2.322857142857142776e+01,1.325534162640303215e+00,6.065149297141707585e+00,7.899383443387835158e+00,2.714285714285714413e+00,1.484614977916180356e+00,5.471428571428571530e+01,7.832428663927313295e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.042857142857143060e+01,1.678191446352961469e+00,2.442857142857142705e+01,1.678191446352961469e+00,3.485714285714285410e+01,1.536627635374269296e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.842857142857143060e+01,1.293626448305345011e+00,2.242857142857142705e+01,1.293626448305345233e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.196120466504778435e+00,5.356980042383439056e+00,2.588707120077950563e+01,1.873077302943158884e+01,2.600000000000000000e+01,2.672612419124243743e+00,3.500000000000000000e+01,6.681531047810610247e+00
3.467652083641983740e+00,3.806752729300851179e+00,4.757142857142856940e+01,8.811958479526440513e+00,4.971428571428570642e+00,6.998542122237658147e-02,3.934285714285714164e+01,1.555503724436135826e+00,2.334285714285714519e+01,1.555503724436136936e+00,6.651086577141512635e+00,7.884105183444813925e+00,2.714285714285714413e+00,1.484614977916180356e+00,5.957142857142856940e+01,7.761758689832071845e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.071428571428571530e+01,1.665986255670085736e+00,2.471428571428571530e+01,1.665986255670085736e+00,3.528571428571428470e+01,1.087217005168025530e+01,4.857142857142856762e+00,3.499271061118826021e-01,3.828571428571428470e+01,1.749635530559412899e+00,2.228571428571428470e+01,1.749635530559412899e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.723211731229509880e+00,3.634874867987411662e+00,3.061028293200901729e+01,2.234168312285932956e+01,2.914285714285714235e+01,3.043896536094645278e+00,3.523809523809524080e+01,6.764214524654765803e+00
4.556338405105921474e+00,4.414878234520055678e+00,5.008571428571428896e+01,8.399222510179749079e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.914285714285714590e+01,1.658620031279999241e+00,2.314285714285713880e+01,1.658620031279999241e+00,7.488139788569633915e+00,7.680405925271952761e+00,2.714285714285714413e+00,1.484614977916180356e+00,6.071428571428571530e+01,7.832428663927313295e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,2.000000000000000000e+00,2.500000000000000000e+01,2.000000000000000000e+00,3.914285714285714590e+01,1.021803128128438054e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,1.603567451474546379e+00,2.200000000000000000e+01,1.603567451474546379e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.228909288133893440e+00,5.084132749816248520e+00,3.683919222014291250e+01,2.731298394395118123e+01,3.200000000000000000e+01,3.251373336211726084e+00,3.600000000000000000e+01,6.502746672423452168e+00
