ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.1605224044998709	42.4	5.0	44.4	28.4	0.48828103999951966	0	0	51	5	50	34	37	5	41	25	0	0	1.786428689956665	5	1.786428689956665	5	0.0	
0.47607416099986793	38.6	5.0	42.4	26.4	1.5625	1	0	41	5	45	29	37	5	40	24	0	0	1.2776494026184082	10	3.0640780925750732	9	10.0	
1.4282226299999399	37.8	5.0	41.0	25.0	3.125	2	1	56	5.0	42.0	26.0	18	5.0	40.0	24.0	0	0	1.1422054767608643	15	4.2062835693359375	12	20.0	
2.96875	45.0	5.0	40.0	24.0	6.25	3	1	56	5	41	25	34	5	39	23	0	0	1.8536334037780762	20	6.059916973114014	15	25.0	
3.125	47.2	5.0	40.2	24.2	6.25	4	1	56	5	42	26	45	5	39	23	0	0	1.866471767425537	25	7.926388740539551	17	32.0	
3.7890625	47.2	5.0	39.6	23.6	6.25	5	1	63	5	41	25	27	5	39	23	0	0	1.8700082302093506	30	9.796396970748901	20	33.33333333333334	
3.59375	44.4	5.0	39.6	23.6	6.25	6	1	56	5	41	25	36	5	39	23	0	0	1.8299686908721924	35	11.626365661621094	23	34.28571428571429	
4.53125	40.6	5.0	39.2	23.2	6.25	7	1	56	5	40	24	35	5	39	23	0	0	2.0506279468536377	40	13.676993608474731	26	35.0	
4.8828125	48.6	5.0	39.75	23.75	6.25	8	2	71	5.0	42.0	26.0	21	5.0	39.0	23.0	0	0	1.5793724060058594	45	15.25636601448059	28	37.77777777777778	
6.71875	49.2	5.0	39.0	23.0	15.625	9	2	56	5	40	24	39	5	37	21	0	0	2.669992685317993	50	17.926358699798584	31	38.0	
6.484374495998847	45.8	5.0	38.0	22.0	15.625	10	2	58	5	39	23	37	5	37	21	0	0	2.234992742538452	55	20.161351442337036	34	38.18181818181819	
12.890625	38.2	5.0	37.5	21.5	31.25	11	3	53	5.0	39.0	23.0	23	5.0	36.0	20.0	0	0	2.9469268321990967	60	23.108278274536133	37	38.33333333333333	
12.1875	44.0	5.0	38.0	22.0	31.25	12	3	65	5	39	23	26	5	36	20	0	0	2.827967643737793	65	25.936245918273926	40	38.46153846153846	
10.46875	30.8	5.0	38.2	22.2	31.25	13	3	38	5	39	23	25	5	36	20	0	0	2.2598159313201904	70	28.196061849594116	43	38.57142857142857	
12.890625	38.0	5.0	37.8	21.8	31.25	14	3	47	5	40	24	29	5	36	20	0	0	2.875190019607544	75	31.07125186920166	47	37.33333333333333	
14.0625	38.0	5.0	37.25	21.25	31.25	15	4	48	5.0	38.0	22.0	19	5.0	36.0	20.0	0	0	2.1688966751098633	80	33.24014854431152	49	38.74999999999999	
15.625	40.0	5.0	37.6	21.6	31.25	16	4	52	5	40	24	24	5	36	20	0	0	3.6016008853912354	85	36.84174942970276	52	38.8235294117647	
19.8	47.0	4.8	36.0	20.0	31.25	17	4	59	5	37	21	38	4	35	19	0	0	4.789442300796509	90	41.63119173049927	54	40.0	
26.5625	43.6	5.0	36.4	20.4	31.25	18	4	52	5	38	22	34	5	36	20	0	0	6.525046110153198	95	48.156237840652466	56	41.05263157894738	
31.25	42.2	5.0	36.0	20.0	31.25	19	4	45	5	36	20	38	5	36	20	0	0	8.084954261779785	100	56.24119210243225	56	43.99999999999999	
15.425	42.2	4.8	36.6	20.6	31.25	20	4	52	5	38	22	37	4	35	19	0	0	3.3368568420410156	105	59.57804894447327	58	44.76190476190476	
16.562499327998463	40.8	5.0	37.0	21.0	31.25	21	4	58	5	38	22	32	5	36	20	0	0	4.1114959716796875	110	63.689544916152954	61	44.54545454545455	
17.1875	36.8	5.0	37.2	21.2	31.25	22	4	39	5	38	22	32	5	36	20	0	0	3.986445426940918	115	67.67599034309387	63	45.21739130434783	
12.8125	38.4	5.0	37.6	21.6	31.25	23	4	47	5	39	23	30	5	36	20	0	0	3.1772263050079346	120	70.8532166481018	67	44.166666666666664	
9.374999663999231	41.8	5.0	38.0	22.0	31.25	24	4	62	5	40	24	32	5	36	20	0	0	2.225511074066162	125	73.07872772216797	70	43.99999999999999	
18.28125	42.4	5.0	37.2	21.2	31.25	25	4	62	5	39	23	37	5	36	20	0	0	4.300414323806763	130	77.37914204597473	72	44.61538461538461	
15.625	37.6	5.0	37.2	21.2	31.25	26	4	44	5	38	22	31	5	36	20	0	0	3.6699821949005127	135	81.04912424087524	75	44.44444444444444	
22.265624831999617	37.8	5.0	36.8	20.8	31.25	27	4	51	5	39	23	25	5	36	20	0	0	5.671919345855713	140	86.72104358673096	78	44.285714285714285	
23.75	38.4	5.0	36.4	20.4	31.25	28	4	41	5	37	21	36	5	36	20	0	0	5.793605327606201	145	92.51464891433716	82	43.44827586206896	
19.48749798399539	39.8	4.8	36.2	20.2	31.25	29	4	48	5	37	21	32	4	35	19	0	0	5.094305753707886	150	97.60895466804504	84	43.99999999999999	
12.187498655996928	39.8	5.0	36.8	20.8	31.25	30	4	55	5	38	22	29	5	36	20	0	0	3.3821616172790527	155	100.9911162853241	85	45.16129032258065	
21.25	48.2	5.0	37.0	21.0	31.25	31	4	60	5	39	23	38	5	36	20	0	0	5.405169486999512	160	106.39628577232361	86	46.25	
12.6125	47.2	4.8	36.8	20.8	31.25	32	4	60	5	38	22	33	4	35	19	0	0	2.603694438934326	165	108.99998021125793	88	46.666666666666664	
18.125	48.2	5.0	37.2	21.2	31.25	33	4	71	5	38	22	38	5	36	20	0	0	4.312359094619751	170	113.31233930587769	91	46.470588235294116	
15.625	64.4	5.0	37.2	21.2	31.25	34	4	76	5	38	22	38	5	36	20	0	0	3.8490893840789795	175	117.16142868995667	93	46.857142857142854	
14.6875	53.2	5.0	37.4	21.4	31.25	35	4	76	5	39	23	38	5	36	20	0	0	4.558390855789185	180	121.71981954574585	96	46.666666666666664	
19.667968623999712	43.8	5.0	37.2	21.2	50.0	36	4	74	5	39	23	28	5	36	20	0	0	4.871126413345337	185	126.59094595909119	100	45.945945945945944	
17.578124831999617	40.0	5.0	37.6	21.6	50.0	37	4	50	5	39	23	30	5	36	20	0	0	3.440774917602539	190	130.03172087669373	104	45.263157894736835	
20.546874495998846	46.0	5.0	37.0	21.0	50.0	38	4	54	5	38	22	36	5	36	20	0	0	4.28974723815918	195	134.3214681148529	107	45.128205128205124	
18.75	52.8	5.0	37.2	21.2	50.0	39	4	68	5	38	22	40	5	36	20	0	0	3.5764522552490234	200	137.89792037010193	110	44.99999999999999	
20.156248991997693	46.4	5.0	36.8	20.8	50.0	40	4	52	5	38	22	40	5	36	20	0	0	4.271074056625366	205	142.1689944267273	113	44.8780487804878	
19.57031174399827	48.0	5.0	37.0	21.0	50.0	41	4	62	5	38	22	34	5	36	20	0	0	3.9685285091400146	210	146.1375229358673	117	44.285714285714285	
14.487498991997693	48.0	4.8	36.8	20.8	50.0	42	4	59	5	39	23	43	4	35	19	0	0	2.5486350059509277	215	148.68615794181824	119	44.651162790697676	
