# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.898191007081095616e-01,6.423131495849759842e-02,4.179999999999999716e+01,1.143095213298813917e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,7.118052168020875259e-01,2.800000000000000000e+01,7.118052168020875259e-01,5.533846933326277417e-01,1.659843762286442592e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,3.400000000000000000e+01,0.000000000000000000e+00,3.666666666666666430e+01,2.054804667656325634e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,1.247219128924647036e+00,2.466666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.015899499257405747e+00,4.079713360003529576e-01,2.015899499257405747e+00,4.079713360003529576e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200191036662816790e-01,1.663866518610115641e-01,3.733333333333333570e+01,2.379542439676632704e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.144999999999999574e+01,1.204851304795188094e+00,2.544999999999999929e+01,1.204851304795187206e+00,1.236978839999727242e+00,4.603564393118079745e-01,3.333333333333333148e-01,4.714045207910316782e-01,4.266666666666666430e+01,3.091206165165234498e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,2.160246899469286941e+00,2.700000000000000000e+01,2.160246899469286941e+00,3.233333333333333570e+01,8.055363982396380962e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.164965809277260345e-01,2.400000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.523951371510823494e+00,3.976875146236811265e-01,3.539850870768229019e+00,8.054615572026561088e-01,8.333333333333333925e+00,9.428090415820633563e-01,1.666666666666666785e+01,9.428090415820632231e+00
1.221516166999352615e+00,1.914111728812517843e-01,3.966666666666666430e+01,1.643843734125060241e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.093333333333333712e+01,1.062491830033948981e+00,2.493333333333333712e+01,1.062491830033947648e+00,3.385414053331151418e+00,9.743864522566546560e-01,6.666666666666666297e-01,4.714045207910316782e-01,4.933333333333333570e+01,4.784233364802441102e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.266666666666666430e+01,1.699673171197594979e+00,2.666666666666666785e+01,1.699673171197594979e+00,2.866666666666666785e+01,7.542472332656506850e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.414213562373095145e+00,2.300000000000000000e+01,1.414213562373095145e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.547112226486206055e+00,1.961029854935988359e+00,6.086963097254435517e+00,2.763618835964030573e+00,1.133333333333333393e+01,1.699673171197594979e+00,2.444444444444444287e+01,1.133115447465063497e+01
1.669920960332569537e+00,9.709149061424094951e-01,4.246666666666666856e+01,2.217105219775451275e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.026666666666666572e+01,1.319932658214889809e+00,2.426666666666666572e+01,1.319932658214888477e+00,4.427080719997817937e+00,1.605315722671701417e+00,6.666666666666666297e-01,4.714045207910316782e-01,5.400000000000000000e+01,1.414213562373095145e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.166666666666666430e+01,1.699673171197594979e+00,2.566666666666666785e+01,1.699673171197594979e+00,2.933333333333333215e+01,3.399346342395189957e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,1.247219128924647036e+00,2.266666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.551762183507283677e+00,1.488318268513269649e+00,8.638725280761718750e+00,4.238948445069786075e+00,1.500000000000000000e+01,1.632993161855452069e+00,2.500000000000000000e+01,8.164965809277260789e+00
2.343747876664893592e+00,9.056256613794423371e-01,4.260000000000000142e+01,4.786090958879352542e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.980000000000000426e+01,1.336662510384229341e+00,2.380000000000000071e+01,1.336662510384227787e+00,4.427080719997817937e+00,1.605315722671701417e+00,1.000000000000000000e+00,8.164965809277260345e-01,5.300000000000000000e+01,2.160246899469286941e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.166666666666666430e+01,1.247219128924647036e+00,2.566666666666666785e+01,1.247219128924647036e+00,3.433333333333333570e+01,1.053037933262087655e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,1.247219128924647036e+00,2.266666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.458251078923543442e+00,2.772969365850098455e+00,1.209697635968526264e+01,7.011319385416440397e+00,1.766666666666666785e+01,2.494438257849294072e+00,2.933333333333333215e+01,9.977753031397176287e+00
2.711586989998704400e+00,9.103996538708067909e-01,4.373333333333332718e+01,3.351948023993741810e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.935000000000000142e+01,8.154753215150056800e-01,2.334999999999999787e+01,8.154753215150044587e-01,4.427080719997817937e+00,1.605315722671701417e+00,1.333333333333333259e+00,1.247219128924647036e+00,5.433333333333333570e+01,6.342099196813482997e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,4.714045207910316782e-01,2.466666666666666785e+01,4.714045207910316782e-01,2.833333333333333215e+01,7.408703590297623265e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.866666666666666430e+01,1.247219128924647036e+00,2.266666666666666785e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.923689126968383789e+00,1.975353705123619852e+00,1.502066548665364643e+01,8.984944091763823693e+00,2.066666666666666785e+01,3.299831645537222080e+00,3.111111111111111427e+01,1.099943881845741345e+01
2.812498039998363453e+00,1.050094789374772741e+00,4.113333333333333286e+01,3.674537007872177963e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.933333333333333570e+01,1.319932658214887145e+00,2.333333333333333215e+01,1.319932658214888477e+00,4.427080719997817937e+00,1.605315722671701417e+00,1.333333333333333259e+00,1.247219128924647036e+00,4.966666666666666430e+01,5.792715732327589073e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,1.632993161855452069e+00,2.500000000000000000e+01,1.632993161855452069e+00,3.366666666666666430e+01,2.624669291337270227e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333570e+01,9.428090415820633563e-01,2.233333333333333215e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.651351769765218691e+00,4.511193691275690476e+00,1.967201725641886512e+01,1.349436271454637115e+01,2.366666666666666785e+01,4.109609335312651268e+00,3.238095238095238670e+01,1.174174095803615003e+01
4.290361969997817937e+00,4.556338734311011218e-01,4.186666666666666714e+01,5.382275437850508659e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.846666666666666856e+01,1.037089945740270913e+00,2.246666666666666856e+01,1.037089945740269359e+00,6.770830719997817937e+00,1.948782682719444326e+00,1.333333333333333259e+00,1.247219128924647036e+00,4.833333333333333570e+01,8.806563209081938126e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.966666666666666430e+01,2.054804667656325634e+00,2.366666666666666785e+01,2.054804667656325634e+00,3.866666666666666430e+01,4.496912521077347513e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.766666666666666430e+01,9.428090415820633563e-01,2.166666666666666785e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.985020716985066436e+00,6.231372328342174249e+00,2.565703797340393066e+01,1.972411151333724888e+01,2.600000000000000000e+01,5.715476066494082019e+00,3.500000000000000000e+01,1.428869016623520594e+01
4.531248889332405660e+00,1.882311421333364709e+00,4.400000000000000000e+01,5.678027826631356412e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.885000000000000142e+01,6.570134448142329608e-01,2.284999999999999787e+01,6.570134448142341821e-01,9.895830719997817937e+00,6.293255274059747606e+00,1.666666666666666741e+00,1.247219128924647036e+00,5.966666666666666430e+01,1.087300428686672582e+01,5.000000000000000000e+00,0.000000000000000000e+00,4.066666666666666430e+01,9.428090415820633563e-01,2.466666666666666785e+01,9.428090415820633563e-01,2.700000000000000000e+01,4.898979485566355763e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.733333333333333570e+01,1.247219128924647036e+00,2.133333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.674761533737182617e+00,1.889776721032569107e+00,2.833179950714111328e+01,2.161348549739950187e+01,2.933333333333333215e+01,5.792715732327588185e+00,3.481481481481481666e+01,1.287270162739464041e+01
5.532290490665684679e+00,2.699273729020887025e+00,4.753333333333333144e+01,6.878630354624063692e+00,4.933333333333333570e+00,9.428090415820643277e-02,3.813333333333333286e+01,8.379870059984354524e-01,2.213333333333333641e+01,8.379870059984354524e-01,1.302083071999781794e+01,6.029085332328153690e+00,1.666666666666666741e+00,1.247219128924647036e+00,5.866666666666666430e+01,4.496912521077347513e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,8.164965809277260345e-01,2.400000000000000000e+01,8.164965809277260345e-01,3.666666666666666430e+01,7.930251502246879802e+00,4.666666666666666963e+00,4.714045207910316782e-01,3.633333333333333570e+01,9.428090415820633563e-01,2.033333333333333215e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.297190586725870620e+00,2.306389984584510611e+00,3.162899009386698523e+01,2.385575581988877403e+01,3.266666666666666430e+01,6.236095644623236289e+00,3.466666666666666430e+01,1.247219128924647258e+01
