# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
4.762377057756696508e-01,7.062604633292285383e-01,3.014285714285714235e+01,9.544738907708607556e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.122857142857142776e+01,6.452337023220703349e-01,2.022857142857142776e+01,6.452337023220696688e-01,1.202283586774553603e+00,1.764565715820024971e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.628571428571428470e+01,1.749635530559412899e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.871428571428571530e+01,1.277753129999879667e+00,1.771428571428571530e+01,1.277753129999879667e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.788247653416224214e-01,1.836234978979491353e-02,1.788247653416224214e-01,1.836234978979491353e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.078760782877603797e-01,7.304008534569861322e-01,2.985714285714285765e+01,2.762430163490701585e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.069285714285714306e+01,9.548479951686293932e-01,1.969285714285714306e+01,9.548479951686293932e-01,1.533617292131696397e+00,1.729696089916177959e+00,1.428571428571428492e-01,3.499271061118826021e-01,4.114285714285714590e+01,7.199773239059515717e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.257142857142856940e+01,1.178030178747902834e+00,2.157142857142857295e+01,1.178030178747903056e+00,2.085714285714285765e+01,4.085814184592883258e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.857142857142857295e+01,1.178030178747903056e+00,1.757142857142857295e+01,1.178030178747903056e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.908657073974607987e-02,8.782515718045790648e-03,2.279113360813685429e-01,2.619276644465002787e-02,8.857142857142857650e+00,3.499271061118825465e-01,1.142857142857142883e+01,3.499271061118825799e+00
6.636810302734375000e-01,8.062813930677653618e-01,2.731428571428571317e+01,4.151223080156556833e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.027142857142857224e+01,9.211239806644396788e-01,1.927142857142857224e+01,9.211239806644396788e-01,1.533617292131696397e+00,1.729696089916177959e+00,7.142857142857143016e-01,6.998542122237652041e-01,3.942857142857143060e+01,1.157407377173091056e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.157142857142857295e+01,9.035079029052512922e-01,2.057142857142857295e+01,9.035079029052512922e-01,1.742857142857142705e+01,4.030495994190252951e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.871428571428571530e+01,1.484614977916180356e+00,1.771428571428571530e+01,1.484614977916180356e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.389694758823935172e-02,9.040141509867606270e-03,2.718082836696079641e-01,3.391679189949255158e-02,1.114285714285714235e+01,1.124858267715973081e+00,2.571428571428571885e+01,7.499055118106491946e+00
1.132005964006696397e+00,1.682048645244800911e+00,2.731428571428571317e+01,5.101100321479270505e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.996428571428571530e+01,1.205556861760893828e+00,1.896428571428571530e+01,1.205556861760893828e+00,2.203260149274553381e+00,3.147431961994853200e+00,1.142857142857142794e+00,8.329931278350428681e-01,3.442857142857143060e+01,6.020373573058708239e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.128571428571428470e+01,8.806305718527108750e-01,2.028571428571428470e+01,8.806305718527108750e-01,2.014285714285714235e+01,7.199773239059515717e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.885714285714285765e+01,1.551825784457173674e+00,1.785714285714285765e+01,1.551825784457173674e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.024055072239460434e-02,1.342193379061269211e-02,3.220488343920026586e-01,4.566054698230123665e-02,1.371428571428571352e+01,1.829464067837956565e+00,3.142857142857142705e+01,9.147320339189782601e+00
3.070497058686755931e+00,4.995548906188495231e+00,2.777142857142857224e+01,5.967941565616427191e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.934047619047618838e+01,1.541743425189693761e+00,1.834047619047618838e+01,1.541743425189693317e+00,5.607278006417410587e+00,8.606120785883273783e+00,1.857142857142857206e+00,1.456862718169367188e+00,3.785714285714285410e+01,6.512155040023703378e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.042857142857142705e+01,1.761261143705421750e+00,1.942857142857142705e+01,1.761261143705421750e+00,1.528571428571428648e+01,5.283783431116265028e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.814285714285714235e+01,1.355261854357876716e+00,1.714285714285714235e+01,1.355261854357876716e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.543352127075187680e-02,1.233713409208603458e-02,3.674823556627546117e-01,5.514432569177490917e-02,1.628571428571428470e+01,1.749635530559412899e+00,3.485714285714285410e+01,6.998542122237649821e+00
4.267381940569196175e+00,6.827523833547884280e+00,2.771428571428571530e+01,1.541269023915562864e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.887142857142857366e+01,1.476931457655446867e+00,1.787142857142857366e+01,1.476931457655446867e+00,6.946563720703125000e+00,9.849476064214423232e+00,2.142857142857142794e+00,1.551825784457173674e+00,3.728571428571428470e+01,6.734013571081528760e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.985714285714285765e+01,1.551825784457173452e+00,1.885714285714285765e+01,1.551825784457173452e+00,1.785714285714285765e+01,4.356557337707688049e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.785714285714285765e+01,1.245399698154478152e+00,1.685714285714285765e+01,1.245399698154478152e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.205264908926822809e-02,5.922092041894074475e-03,4.395350047520228953e-01,6.060565700976579262e-02,1.928571428571428470e+01,2.118913853455903773e+00,3.571428571428571530e+01,7.063046178186345614e+00
5.198495047433035587e+00,7.949438607312927729e+00,2.839999999999999858e+01,3.483840245640270616e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866428571428571459e+01,1.543353094891186883e+00,1.766428571428571459e+01,1.543353094891186439e+00,6.946563720703125000e+00,9.849476064214423232e+00,2.571428571428571619e+00,1.498298354528788012e+00,3.942857142857143060e+01,6.411087334947678684e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.957142857142857295e+01,1.761261143705421972e+00,1.857142857142857295e+01,1.761261143705421972e+00,1.842857142857142705e+01,5.421047417431506865e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.771428571428571530e+01,1.277753129999879667e+00,1.671428571428571530e+01,1.277753129999879667e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.326717240469791559e-02,2.343695894998306870e-02,4.928021771567208664e-01,6.889995809399306059e-02,2.185714285714285765e+01,2.641891715558132958e+00,3.755102040816326081e+01,7.548262044451810482e+00
5.291232154482886862e+00,9.153598340563009472e+00,2.900000000000000355e+01,4.617977293763393831e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.870952380952380878e+01,1.383687767068385366e+00,1.770952380952380878e+01,1.383687767068385366e+00,8.643450055803571175e+00,1.318661304134387713e+01,3.285714285714285587e+00,1.905952009160905014e+00,4.285714285714285410e+01,6.220440302022069545e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.957142857142857295e+01,1.498298354528788012e+00,1.857142857142857295e+01,1.498298354528788012e+00,1.714285714285714235e+01,7.119963311072636358e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.603567451474546379e+00,1.700000000000000000e+01,1.603567451474546379e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.893752506801055807e-02,1.623854119326851447e-02,5.417397022247314453e-01,8.179708447515454672e-02,2.371428571428571530e+01,2.913725436338733932e+00,4.071428571428571530e+01,7.284313590846834607e+00
5.573556082589285587e+00,8.860853378644874212e+00,2.785714285714285765e+01,7.383157888611301622e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.885714285714285765e+01,1.623582584337262436e+00,1.785714285714285765e+01,1.623582584337262436e+00,8.698381696428571175e+00,1.315127146631813559e+01,3.714285714285714413e+00,1.829464067837956787e+00,3.600000000000000000e+01,1.195228609334393610e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.971428571428571530e+01,1.749635530559412899e+00,1.871428571428571530e+01,1.749635530559412899e+00,2.057142857142857295e+01,7.835033829029765862e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.814285714285714235e+01,1.641303613296579478e+00,1.714285714285714235e+01,1.641303613296579478e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.086149488176611166e-02,1.243343683702803279e-02,5.926011971064976125e-01,8.493399490814779185e-02,2.614285714285714235e+01,2.849991049037143842e+00,4.190476190476190510e+01,6.333313442304763896e+00
5.562206449962796562e+00,7.999310720065108349e+00,2.917142857142857437e+01,6.861427232979257163e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.873809523809523725e+01,1.724375071657875402e+00,1.773809523809524080e+01,1.724375071657875402e+00,9.256417410714286476e+00,1.324406027346803150e+01,4.285714285714285587e+00,1.385051387833236891e+00,3.771428571428571530e+01,8.514093957572193005e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.985714285714285765e+01,1.456862718169367188e+00,1.885714285714285765e+01,1.456862718169367188e+00,2.114285714285714235e+01,6.356741560367710875e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.690308509457033148e+00,1.700000000000000000e+01,1.690308509457033148e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.113608496529710445e-02,1.704534441094589237e-02,6.437372820717948141e-01,8.577833584123217836e-02,2.885714285714285765e+01,1.958758457257441021e+00,4.228571428571428470e+01,3.917516914514882043e+00
