ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.2646484375	30.8	5.0	31.6	20.6	3.515625	0	0	36	5	35	24	27	5	29	18	0	0	0.2172238826751709	5	0.2172238826751709	5	0.0	
1.23291015625	28.6	5.0	31.5	20.5	3.515625	1	1	42	5.0	33.0	22.0	16	5.0	29.0	18.0	0	0	0.06591629981994629	10	0.2831401824951172	8	20.0	
1.005859375	32.4	5.0	31.0	20.0	3.515625	2	1	45	5	32	21	24	5	29	18	0	0	0.04580068588256836	15	0.32894086837768555	11	26.66666666666667	
2.44140625	33.4	5.0	30.2	19.2	6.15234375	3	1	45	5	32	21	27	5	28	17	0	0	0.042403459548950195	20	0.37134432792663574	14	30.0	
5.556640625	27.0	5.0	28.2	17.2	6.25	4	1	35	5	29	18	19	5	28	17	0	0	0.05386662483215332	25	0.42521095275878906	16	36.0	
5.302734375	33.4	5.0	28.2	17.2	7.8125	5	1	41	5	29	18	21	5	27	16	0	0	0.07606768608093262	30	0.5012786388397217	20	33.33333333333334	
3.59375	32.2	5.0	28.4	17.4	7.8125	6	1	39	5	30	19	21	5	27	16	0	0	0.03933978080749512	35	0.5406184196472168	24	31.42857142857143	
2.890625	35.4	5.0	29.2	18.2	7.8125	7	1	45	5	31	20	21	5	27	16	0	0	0.041158437728881836	40	0.5817768573760986	28	30.0	
4.2421875	21.0	4.75	27.0	16.0	7.8125	8	2	29	5.0	28.0	17.0	13	4.0	25.0	14.0	0	0	0.02465343475341797	45	0.6064302921295166	31	31.111111111111114	
8.4375	20.2	5.0	27.6	16.6	15.625	9	2	22	5	29	18	18	5	26	15	0	0	0.04611468315124512	50	0.6525449752807617	35	30.0	
8.349609375	19.6	5.0	27.25	16.25	15.625	10	3	25	5.0	28.0	17.0	13	5.0	26.0	15.0	0	0	0.03217506408691406	55	0.6847200393676758	38	30.909090909090907	
10.425	21.4	4.8	26.2	15.2	15.625	11	3	22	5	28	17	19	4	25	14	0	0	0.038453102111816406	60	0.7231731414794922	38	36.66666666666667	
