# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.510457356770833703e-01,4.421294508792281697e-01,3.040000000000000213e+01,7.745966692414837373e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000213e+01,5.291502622129193867e-01,2.040000000000000213e+01,5.291502622129184985e-01,1.599121093750000000e+00,1.227823471831992475e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.650000000000000000e+01,1.802775637731994562e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.883333333333333215e+01,1.343709624716424855e+00,1.783333333333333215e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.965971787770588730e-01,2.785334215029608082e-02,1.965971787770588730e-01,2.785334215029608082e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.716542561848958703e-01,6.508665191969008612e-01,2.900000000000000000e+01,2.091251618847750571e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.063333333333332931e+01,7.717224601860149802e-01,1.963333333333332931e+01,7.717224601860149802e-01,2.827962239583333481e+00,2.046728418487247403e+00,3.333333333333333148e-01,4.714045207910316782e-01,4.016666666666666430e+01,6.568020165079343720e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.216666666666666430e+01,1.343709624716424855e+00,2.116666666666666785e+01,1.343709624716425077e+00,2.050000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.324431260426832485e-02,1.240512642057498179e-02,2.498414913813272742e-01,3.863341953618853325e-02,8.666666666666666075e+00,4.714045207910316782e-01,1.333333333333333393e+01,4.714045207910316115e+00
2.051052517361111160e+00,2.170061113235408179e+00,2.609999999999999787e+01,5.751231752126380492e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.964999999999999503e+01,9.759610647971566078e-01,1.865000000000000213e+01,9.759610647971568298e-01,3.866238064236111160e+00,3.217996824546576207e+00,1.000000000000000000e+00,8.164965809277260345e-01,3.516666666666666430e+01,7.447967657168108602e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.290994448735805600e+00,2.000000000000000000e+01,1.290994448735805600e+00,1.733333333333333215e+01,6.236095644623236289e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.783333333333333215e+01,8.975274678557507713e-01,1.683333333333333215e+01,8.975274678557507713e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.234635829925531558e-02,8.586321233024210228e-03,2.921878496805826453e-01,4.443211683882088842e-02,1.166666666666666607e+01,7.453559924999298980e-01,2.222222222222222499e+01,4.969039949999536354e+00
3.195167824074073959e+00,3.115434880837181453e+00,2.640000000000000213e+01,5.262445565830902616e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.881388888888888644e+01,8.319108229155051104e-01,1.781388888888888644e+01,8.319108229155040002e-01,4.891628689236111605e+00,3.733621327536389423e+00,1.833333333333333259e+00,1.674979270186815139e+00,3.433333333333333570e+01,8.517954892787091836e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.983333333333333215e+01,1.213351648213419898e+00,1.883333333333333215e+01,1.213351648213419898e+00,1.916666666666666785e+01,7.882822393590311449e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.766666666666666785e+01,4.714045207910316782e-01,1.666666666666666785e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.243127504984531978e-02,1.221417271224528069e-02,3.346191247304280414e-01,5.517885492048356377e-02,1.383333333333333393e+01,1.771690968789108256e+00,3.083333333333333215e+01,8.858454843945541057e+00
3.263888888888888840e+00,2.675823889567337854e+00,2.789999999999999503e+01,5.691806977284687541e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.856944444444444287e+01,5.529731647988489485e-01,1.756944444444444642e+01,5.529731647988489485e-01,5.495876736111110716e+00,4.395311493020123805e+00,2.500000000000000000e+00,1.707825127659932996e+00,3.700000000000000000e+01,4.932882862316247063e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.016666666666666785e+01,1.343709624716425077e+00,1.916666666666666785e+01,1.343709624716425077e+00,1.916666666666666785e+01,7.514800211730330304e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,7.453559924999297870e-01,1.633333333333333215e+01,7.453559924999297870e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.744303226470943796e-02,1.382726838191161364e-02,3.820621569951374585e-01,5.944276047183386785e-02,1.666666666666666785e+01,2.054804667656325634e+00,3.333333333333333570e+01,8.219218670625302536e+00
3.507080078125000000e+00,2.604119522939566167e+00,3.086666666666667069e+01,7.098043548909954481e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.815833333333333144e+01,3.834239023442448380e-01,1.715833333333333499e+01,3.834239023442448935e-01,5.973307291666666963e+00,4.250914481517135357e+00,2.833333333333333481e+00,2.034425935955617160e+00,3.833333333333333570e+01,7.110243002567179893e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,7.637626158259733788e-01,1.850000000000000000e+01,7.637626158259733788e-01,2.283333333333333215e+01,7.447967657168109490e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.716666666666666785e+01,6.871842709362767643e-01,1.616666666666666785e+01,6.871842709362767643e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.801033020019527087e-02,1.758128572543846829e-02,4.500724871953328265e-01,7.056728399218258063e-02,1.933333333333333215e+01,1.490711984999860018e+00,3.555555555555556424e+01,4.969039949999531913e+00
3.717787000868055358e+00,3.266122977896981805e+00,3.226666666666666572e+01,8.888694442317662592e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.829999999999999716e+01,6.403124237432848975e-01,1.730000000000000071e+01,6.403124237432848975e-01,5.973307291666666963e+00,4.250914481517135357e+00,3.000000000000000000e+00,2.309401076758502924e+00,3.933333333333333570e+01,9.267625849638561064e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.933333333333333215e+01,1.105541596785133418e+00,1.833333333333333215e+01,1.105541596785133418e+00,2.400000000000000000e+01,8.888194417315588680e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,4.714045207910316782e-01,1.633333333333333215e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.218197981516515094e-02,3.712483632645893761e-02,5.222544670104980469e-01,9.054348447311454107e-02,2.216666666666666785e+01,2.409472049133493332e+00,3.666666666666666430e+01,6.884205854667126090e+00
3.363986545138888840e+00,2.840172600139490910e+00,3.310000000000000142e+01,1.028445428790463545e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.844722222222221930e+01,5.897595764586558431e-01,1.744722222222221930e+01,5.897595764586546219e-01,7.112630208333333037e+00,6.006300443944017076e+00,3.500000000000000000e+00,2.753785273643051035e+00,4.300000000000000000e+01,1.147460965203900329e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,2.183333333333333215e+01,1.201965982140186107e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.716666666666666785e+01,3.726779962499648935e-01,1.616666666666666785e+01,3.726779962499648935e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.760653813680008395e-02,3.473693499634743220e-02,5.798610051472982141e-01,9.717955399148552054e-02,2.483333333333333215e+01,2.910708199428830412e+00,3.791666666666666430e+01,7.276770498572075141e+00
3.911241319444444642e+00,2.957067315239584104e+00,3.106666666666666288e+01,1.103428998873763334e+01,4.958333333333333037e+00,9.316949906249122337e-02,2.788888888888888928e+01,6.988526752673955844e-01,1.688888888888888928e+01,6.988526752673950293e-01,7.112630208333333037e+00,6.006300443944017076e+00,4.333333333333333037e+00,3.399346342395189957e+00,3.716666666666666430e+01,1.097598388401797109e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,8.164965809277260345e-01,1.800000000000000000e+01,8.164965809277260345e-01,2.550000000000000000e+01,1.180042372120594685e+01,4.833333333333333037e+00,3.726779962499650045e-01,2.683333333333333215e+01,8.975274678557507713e-01,1.583333333333333393e+01,8.975274678557507713e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.331270853678381022e-02,1.884074362141272690e-02,6.231737136840820312e-01,1.096822005426607988e-01,2.683333333333333215e+01,3.337497399083463989e+00,4.037037037037037379e+01,7.416660886852142198e+00
4.813435872395833037e+00,3.682371275579458203e+00,3.116666666666666785e+01,1.122224972493879669e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.808333333333333215e+01,6.841458583924596715e-01,1.708333333333333215e+01,6.841458583924596715e-01,8.414713541666666075e+00,6.809943291989265290e+00,4.500000000000000000e+00,3.500000000000000000e+00,3.783333333333333570e+01,1.644603971241168594e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,7.453559924999298980e-01,1.866666666666666785e+01,7.453559924999298980e-01,2.416666666666666785e+01,6.202598021976132081e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.683333333333333215e+01,3.726779962499648935e-01,1.583333333333333393e+01,3.726779962499648935e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.371109644571936403e-02,7.287831691861732658e-03,6.768848101298013953e-01,1.130959195522297372e-01,2.950000000000000000e+01,4.193248541803041185e+00,4.100000000000000000e+01,8.386497083606082370e+00
