# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
4.039655412946428492e-01,3.402527833681264768e-01,3.014285714285714235e+01,9.544738907708607556e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.122857142857142776e+01,6.452337023220703349e-01,2.022857142857142776e+01,6.452337023220696688e-01,1.226806640625000000e+00,1.061284861010515446e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.628571428571428470e+01,1.749635530559412899e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.871428571428571530e+01,1.277753129999879667e+00,1.771428571428571530e+01,1.277753129999879667e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.333765370505196668e-01,1.201392944753818803e-01,2.333765370505196668e-01,1.201392944753818803e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.261003766741070953e-01,5.098971533435023851e-01,2.817142857142857437e+01,1.467470404388143468e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.025714285714285978e+01,5.753437304457788004e-01,1.925714285714285978e+01,5.753437304457788004e-01,2.190290178571428381e+00,1.305881074088901972e+00,2.857142857142856984e-01,4.517539514526256461e-01,3.771428571428571530e+01,5.283783431116265028e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.185714285714285765e+01,9.897433186107870151e-01,2.085714285714285765e+01,9.897433186107870151e-01,2.071428571428571530e+01,4.199125273342591669e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.814285714285714235e+01,8.329931278350428681e-01,1.714285714285714235e+01,8.329931278350428681e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.082912853785919782e-02,2.177233892924252540e-02,2.942056655883789062e-01,1.336628686264906829e-01,8.714285714285713524e+00,4.517539514526256461e-01,1.285714285714285765e+01,4.517539514526256461e+00
1.205269949776785809e+00,9.390524495680365735e-01,2.571428571428571175e+01,3.325841921949376889e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.970714285714285552e+01,8.788907665869727381e-01,1.870714285714285552e+01,8.788907665869727381e-01,2.748325892857142794e+00,1.935205583989435096e+00,1.000000000000000000e+00,7.559289460184543952e-01,3.614285714285714590e+01,6.812353724323636506e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.142857142857142705e+01,1.293626448305345233e+00,2.042857142857142705e+01,1.293626448305345233e+00,1.557142857142857117e+01,4.030495994190252951e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,7.559289460184543952e-01,1.700000000000000000e+01,7.559289460184543952e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.065965652465816149e-02,1.567822077594460337e-02,3.448653221130371094e-01,1.473187129423061403e-01,1.114285714285714235e+01,1.245399698154478152e+00,2.571428571428571530e+01,8.302664654363189456e+00
1.355300176711309534e+00,1.042917181354154676e+00,2.608571428571428541e+01,3.171042447537029130e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.926428571428571601e+01,7.772268862134540379e-01,1.826428571428571246e+01,7.772268862134540379e-01,2.971540178571428381e+00,2.052346569157227130e+00,1.571428571428571397e+00,1.049781318335647695e+00,3.557142857142856940e+01,8.278321825400240641e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.042857142857142705e+01,1.049781318335647917e+00,1.942857142857142705e+01,1.049781318335647917e+00,1.500000000000000000e+01,5.042675027063654447e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.785714285714285765e+01,8.329931278350428681e-01,1.685714285714285765e+01,8.329931278350428681e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.252875600542335904e-02,1.462857977351696148e-02,3.973940781184605031e-01,1.609679771661641501e-01,1.414285714285714235e+01,1.124858267715973081e+00,2.928571428571428470e+01,5.624291338579865851e+00
2.518746512276786031e+00,3.492256566775082227e+00,2.802857142857143202e+01,3.576795966749445110e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.925000000000000000e+01,1.136096072396294065e+00,1.825000000000000000e+01,1.136096072396294065e+00,5.932617187500000000e+00,8.003994234100572314e+00,2.285714285714285587e+00,1.030157507275425655e+00,3.871428571428571530e+01,6.518419740885619262e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.511857892036908790e+00,2.000000000000000000e+01,1.511857892036908790e+00,1.785714285714285765e+01,4.155154163499710229e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.757142857142857295e+01,9.035079029052512922e-01,1.657142857142857295e+01,9.035079029052512922e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.440803936549591657e-02,2.063365841417444391e-02,4.518021174839564891e-01,1.749789773274017801e-01,1.685714285714285765e+01,6.388765649999398333e-01,3.257142857142856940e+01,2.555506259999759333e+00
4.085649762834821175e+00,6.353864497866424266e+00,3.105714285714285694e+01,5.431878691801665937e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.901428571428571246e+01,1.346348046095247497e+00,1.801428571428571246e+01,1.346348046095247497e+00,5.960518973214285587e+00,7.984261560435949256e+00,2.428571428571428381e+00,9.035079029052512922e-01,3.642857142857143060e+01,5.876275371772323730e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.511857892036908790e+00,1.900000000000000000e+01,1.511857892036908790e+00,2.685714285714285765e+01,5.865847190756516838e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.069044967649697586e+00,1.700000000000000000e+01,1.069044967649697586e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.610003335135317515e-02,2.232688158343153206e-02,5.379021508353096781e-01,1.894673075818916474e-01,1.928571428571428470e+01,1.030157507275425433e+00,3.571428571428572241e+01,3.433858357584750554e+00
4.148603166852678825e+00,5.945142448030846793e+00,3.105714285714285694e+01,3.877722874816810883e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.887857142857142989e+01,1.196977486020858850e+00,1.787857142857142634e+01,1.196977486020859516e+00,5.965314592633928825e+00,7.980924036090194740e+00,2.714285714285714413e+00,1.160576914947994309e+00,3.928571428571428470e+01,5.521756597167911451e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.028571428571428470e+01,1.160576914947994309e+00,1.928571428571428470e+01,1.160576914947994309e+00,2.200000000000000000e+01,3.817254061682110677e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.771428571428571530e+01,1.385051387833236669e+00,1.671428571428571530e+01,1.385051387833236669e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.158692496163496732e-02,2.196203457446160509e-02,5.994890757969447703e-01,2.064549957827275795e-01,2.142857142857142705e+01,7.284313590846834829e-01,3.877551020408163396e+01,2.081232454527665254e+00
4.323192778087797450e+00,5.715130224972932993e+00,3.088571428571428257e+01,4.447608850809153580e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.872142857142857153e+01,1.160005277961251524e+00,1.772142857142857153e+01,1.160005277961251080e+00,7.008143833705356762e+00,8.203438320978905907e+00,3.142857142857142794e+00,1.245399698154478152e+00,3.957142857142856940e+01,3.994894701174160456e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.309307341415954173e+00,1.900000000000000000e+01,1.309307341415954173e+00,2.371428571428571530e+01,7.477858473315658117e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.757142857142857295e+01,1.049781318335647917e+00,1.657142857142857295e+01,1.049781318335647917e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.565451622009273180e-02,3.712314667636831822e-02,6.651435920170375438e-01,2.409507144831224135e-01,2.414285714285714235e+01,1.456862718169366966e+00,3.964285714285714590e+01,3.642156795423414639e+00
4.635329473586309312e+00,5.910682122974178831e+00,3.034285714285713809e+01,4.775789281920436835e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.852857142857142847e+01,9.463679225850581966e-01,1.752857142857142847e+01,9.463679225850587517e-01,7.454572405133928825e+00,8.063814134376253051e+00,3.428571428571428381e+00,1.399708424447530408e+00,3.971428571428571530e+01,4.025429372458677157e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.014285714285714235e+01,9.897433186107870151e-01,1.914285714285714235e+01,9.897433186107870151e-01,2.142857142857142705e+01,6.137871731125953190e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.714285714285714235e+01,6.388765649999398333e-01,1.614285714285714235e+01,6.388765649999398333e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.663827487400594635e-02,1.330932041068126626e-02,7.217818668910435109e-01,2.533500337227298504e-01,2.585714285714285765e+01,1.807015805810502362e+00,4.253968253968254487e+01,4.015590679578897593e+00
4.301510765438988138e+00,4.192594727159582924e+00,2.977142857142856869e+01,5.854842753949023759e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.842142857142857437e+01,1.175906077049020171e+00,1.742142857142857082e+01,1.175906077049020615e+00,8.007812500000000000e+00,7.921655225674531842e+00,3.571428571428571619e+00,1.590789817951434815e+00,3.428571428571428470e+01,5.799366608624126229e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.511857892036908790e+00,1.900000000000000000e+01,1.511857892036908790e+00,2.600000000000000000e+01,5.928141120356122507e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.728571428571428470e+01,8.806305718527108750e-01,1.628571428571428470e+01,8.806305718527108750e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.223453794206886686e-02,1.420609499642012941e-02,7.840164048331124125e-01,2.655117306974876246e-01,2.871428571428571530e+01,1.577908716741037054e+00,4.257142857142856940e+01,3.155817433482074108e+00
