ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.09375	30.4	5.0	31.4	20.4	1.5625	0	0	36	5	35	24	28	5	30	19	0	0	0.27416539192199707	5	0.27416539192199707	5	0.0	
0.390625	28.8	5.0	30.2	19.2	1.5625	1	0	33	5	32	21	25	5	29	18	0	0	0.21891474723815918	10	0.49308013916015625	9	10.0	
2.890625	28.4	5.0	30.4	19.4	6.25	2	0	33	5	32	21	25	5	29	18	0	0	0.33545589447021484	15	0.8285360336303711	13	13.333333333333329	
1.5625	28.2	5.0	30.4	19.4	6.25	3	0	36	5	32	21	20	5	29	18	0	0	0.22636961936950684	20	1.054905652999878	17	15.0	
5.078125	25.0	5.0	29.5	18.5	6.25	4	1	34	5.0	31.0	20.0	16	5.0	29.0	18.0	0	0	0.07422852516174316	25	1.129134178161621	19	24.0	
4.6875	28.6	5.0	29.2	18.2	6.25	5	1	50	5	30	19	18	5	29	18	0	0	0.15411114692687988	30	1.283245325088501	22	26.66666666666667	
4.6875	33.6	5.0	28.5	17.5	6.25	6	2	57	5.0	29.0	18.0	11	5.0	28.0	17.0	0	0	0.08311128616333008	35	1.366356611251831	25	28.57142857142857	
6.875	43.0	5.0	28.6	17.6	12.5	7	2	64	5	30	19	18	5	27	16	0	0	0.0998847484588623	40	1.4662413597106934	29	27.5	
16.40625	23.2	5.0	27.5	16.5	25.0	8	3	35	5.0	29.0	18.0	7	5.0	26.0	15.0	0	0	0.06895256042480469	45	1.535193920135498	32	28.888888888888886	
13.75	28.2	5.0	27.4	16.4	25.0	9	3	37	5	28	17	21	5	26	15	0	0	0.07716226577758789	50	1.612356185913086	35	30.0	
12.5	23.4	5.0	27.75	16.75	25.0	10	4	29	5.0	29.0	18.0	16	5.0	26.0	15.0	0	0	0.04493260383605957	55	1.6572887897491455	37	32.727272727272734	
15.625	25.8	5.0	27.6	16.6	25.0	11	4	34	5	30	19	17	5	26	15	0	0	0.07529854774475098	60	1.7325873374938965	40	33.33333333333334	
18.75	27.0	5.0	26.8	15.8	25.0	12	4	34	5	28	17	20	5	26	15	0	0	0.22283935546875	65	1.9554266929626465	43	33.846153846153854	
18.75	27.0	5.0	26.6	15.6	25.0	13	4	30	5	28	17	24	5	26	15	0	0	0.10605239868164062	70	2.061479091644287	45	35.71428571428571	
13.125	25.8	5.0	27.0	16.0	25.0	14	4	30	5	29	18	21	5	26	15	0	0	0.08477973937988281	75	2.14625883102417	48	36.0	
20.625	26.8	5.0	26.6	15.6	25.0	15	4	30	5	29	18	22	5	26	15	0	0	0.0711221694946289	80	2.217381000518799	51	36.25000000000001	
22.5	26.2	5.0	26.2	15.2	25.0	16	4	31	5	27	16	18	5	26	15	0	0	0.08379650115966797	85	2.301177501678467	53	37.64705882352941	
22.5	27.8	5.0	26.2	15.2	25.0	17	4	28	5	27	16	27	5	26	15	0	0	0.07846665382385254	90	2.3796441555023193	56	37.77777777777778	
20.0	27.8	5.0	26.4	15.4	25.0	18	4	36	5	27	16	20	5	26	15	0	0	0.08002758026123047	95	2.45967173576355	58	38.94736842105263	
17.3	31.8	4.8	26.0	15.0	25.0	19	4	37	5	27	16	27	4	25	14	0	0	0.05554842948913574	100	2.5152201652526855	62	38.0	
17.5	30.2	5.0	26.6	15.6	25.0	20	4	41	5	27	16	23	5	26	15	0	0	0.10838794708251953	105	2.623608112335205	64	39.047619047619044	
17.5	26.2	5.0	26.6	15.6	25.0	21	4	38	5	27	16	16	5	26	15	0	0	0.12281417846679688	110	2.746422290802002	66	40.0	
20.0	29.4	5.0	26.4	15.4	25.0	22	4	37	5	27	16	23	5	26	15	0	0	0.13743019104003906	115	2.883852481842041	68	40.869565217391305	
20.0	31.8	5.0	26.8	15.8	25.0	23	4	37	5	28	17	23	5	26	15	0	0	0.1240394115447998	120	3.007891893386841	70	41.666666666666664	
18.75	32.4	5.0	26.8	15.8	25.0	24	4	48	5	28	17	20	5	26	15	0	0	0.1147301197052002	125	3.122622013092041	74	40.800000000000004	
15.0	30.0	5.0	26.8	15.8	25.0	25	4	36	5	27	16	19	5	26	15	0	0	0.14452791213989258	130	3.2671499252319336	76	41.53846153846153	
21.875	29.0	5.0	26.5	15.5	25.0	26	5	47	5.0	27.0	16.0	8	5.0	26.0	15.0	0	0	0.11288738250732422	135	3.380037307739258	76	43.7037037037037	
23.125	27.0	5.0	27.0	16.0	50.0	27	5	32	5	29	18	22	5	26	15	0	0	0.16631746292114258	140	3.5463547706604004	79	43.57142857142857	
25.0	23.2	5.0	26.0	15.0	50.0	28	7	35	5.0	26.0	15.0	12	5.0	26.0	15.0	0	0	0.0537264347076416	145	3.600081205368042	81	44.13793103448276	
14.8	24.6	4.8	26.2	15.2	50.0	29	7	35	5	27	16	19	4	25	14	0	0	0.08285284042358398	150	3.682934045791626	82	45.333333333333336	
25.0	22.0	5.0	26.8	15.8	50.0	30	7	28	5	28	17	16	5	26	15	0	0	0.10101890563964844	155	3.7839529514312744	84	45.80645161290322	
27.5	20.8	5.0	26.6	15.6	50.0	31	7	24	5	27	16	15	5	26	15	0	0	0.1170809268951416	160	3.901033878326416	85	46.875	
41.666666666666664	19.2	5.0	26.0	15.0	50.0	32	9	26	5.0	26.0	15.0	11	5.0	26.0	15.0	0	0	0.06721997261047363	165	3.9682538509368896	86	47.878787878787875	
21.25	22.8	5.0	27.0	16.0	50.0	33	9	29	5	28	17	17	5	26	15	0	0	0.08205103874206543	170	4.050304889678955	89	47.647058823529406	
29.6875	22.4	5.0	26.75	15.75	50.0	34	10	34	5.0	28.0	17.0	10	5.0	26.0	15.0	0	0	0.07182145118713379	175	4.122126340866089	91	48.0	
35.0	29.2	5.0	26.0	15.0	50.0	35	10	38	5	26	15	18	5	26	15	0	0	0.10113859176635742	180	4.223264932632446	92	48.88888888888889	
18.25	20.4	4.5	25.75	14.75	50.0	36	11	24	5.0	27.0	16.0	16	4.0	25.0	14.0	0	0	0.040694236755371094	185	4.263959169387817	93	49.72972972972973	
17.3	21.6	4.8	26.6	15.6	50.0	37	11	24	5	28	17	18	4	25	14	0	0	0.06720232963562012	190	4.3311614990234375	97	48.94736842105263	
34.375	22.8	5.0	26.25	15.25	50.0	38	12	34	5.0	27.0	16.0	12	5.0	26.0	15.0	0	0	0.06342720985412598	195	4.3945887088775635	98	49.743589743589745	
