# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.645751953125000000e-01,3.495364619255714733e-01,3.075000000000000355e+01,5.361902647381814324e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.164999999999999858e+01,3.278719262151017499e-01,2.064999999999999858e+01,3.278719262151001956e-01,1.416015625000000000e+00,1.081958974910172788e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.775000000000000000e+01,4.330127018922192983e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,4.330127018922192983e-01,1.875000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.471125125885009211e-01,5.071958209745281582e-02,2.471125125885009211e-01,5.071958209745281582e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.013183593750000000e+00,7.913885297231803007e-01,2.940000000000000213e+01,7.071067811865467956e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.045000000000000284e+01,6.873863542433755747e-01,1.945000000000000284e+01,6.873863542433755747e-01,2.929687500000000000e+00,2.094493221633517255e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.925000000000000000e+01,5.068283733178323480e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.175000000000000000e+01,8.291561975888499525e-01,2.075000000000000000e+01,8.291561975888499525e-01,2.050000000000000000e+01,5.024937810560444973e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,7.071067811865475727e-01,1.800000000000000000e+01,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.429961442947383532e-02,7.286006444438215823e-02,3.414121270179748535e-01,1.044158941712650945e-01,8.250000000000000000e+00,8.291561975888499525e-01,1.750000000000000000e+01,8.291561975888500413e+00
2.115885416666666963e+00,1.245567090898634710e+00,2.844999999999999929e+01,1.003742994994236915e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000142e+01,7.280109889280517166e-01,1.910000000000000142e+01,7.280109889280517166e-01,4.101562500000000000e+00,2.302700414560858722e+00,1.000000000000000000e+00,1.224744871391588941e+00,3.525000000000000000e+01,5.760859310901456531e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+01,1.000000000000000000e+00,2.175000000000000000e+01,9.283722313813571603e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,7.071067811865475727e-01,1.800000000000000000e+01,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.256677508354186457e-01,1.227161679251967674e-01,4.670798778533935547e-01,2.217827373235284893e-01,9.500000000000000000e+00,2.291287847477919914e+00,3.666666666666666430e+01,1.527525231651946847e+01
1.740722656250000000e+00,9.469729885853289675e-01,3.144999999999999929e+01,3.522428139792208146e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.021249999999999858e+01,9.030330835578508353e-01,1.921249999999999858e+01,9.030330835578508353e-01,4.687500000000000000e+00,1.562500000000000000e+00,1.250000000000000000e+00,1.299038105676658006e+00,3.850000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.225000000000000000e+01,1.089724735885168494e+00,2.125000000000000000e+01,1.089724735885168494e+00,2.325000000000000000e+01,3.269174207655505260e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.021155714988708357e-01,7.212566491508529132e-02,5.691954493522644043e-01,2.922904923907773678e-01,1.250000000000000000e+01,2.872281323269014308e+00,3.750000000000000000e+01,1.436140661634507154e+01
3.417968750000000000e+00,1.448344581364251038e+00,2.929999999999999716e+01,4.267317658670372715e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.902499999999999858e+01,1.000937060958379643e+00,1.802499999999999858e+01,1.000937060958379643e+00,5.468750000000000000e+00,1.353164693413185349e+00,1.500000000000000000e+00,1.118033988749894903e+00,3.750000000000000000e+01,6.103277807866851035e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.075000000000000000e+01,1.479019945774904032e+00,1.975000000000000000e+01,1.479019945774904032e+00,2.250000000000000000e+01,5.123475382979798987e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.224744871391588941e+00,1.700000000000000000e+01,1.224744871391588941e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.857016801834100894e-02,5.882631253526318660e-02,6.677656173706054688e-01,3.000684208426372401e-01,1.550000000000000000e+01,2.291287847477919914e+00,3.800000000000000000e+01,9.165151389911677882e+00
3.670703125000000178e+00,1.671821470740610049e+00,3.014999999999999858e+01,2.994578434437809022e+00,4.950000000000000178e+00,8.660254037844394848e-02,2.864999999999999858e+01,1.321930406640227762e+00,1.764999999999999858e+01,1.321930406640227762e+00,6.640625000000000000e+00,2.310968665273287481e+00,1.500000000000000000e+00,1.118033988749894903e+00,4.050000000000000000e+01,8.381527307120105519e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,8.660254037844385966e-01,1.950000000000000000e+01,8.660254037844385966e-01,2.350000000000000000e+01,3.354101966249684708e+00,4.750000000000000000e+00,4.330127018922192983e-01,2.750000000000000000e+01,1.658312395177699905e+00,1.650000000000000000e+01,1.658312395177699905e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.391009092330932062e-01,7.065705860574097996e-02,8.068665266036987305e-01,3.435368392513665770e-01,1.875000000000000000e+01,2.046338192968112590e+00,3.750000000000000000e+01,6.821127309893707746e+00
4.365234375000000000e+00,1.935935096031094149e+00,3.114999999999999858e+01,4.727314248069403924e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.828750000000000142e+01,1.100213047550337109e+00,1.728750000000000142e+01,1.100213047550337109e+00,6.640625000000000000e+00,2.310968665273287481e+00,2.000000000000000000e+00,7.071067811865475727e-01,4.475000000000000000e+01,1.100851942815199891e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,1.500000000000000000e+00,1.850000000000000000e+01,1.500000000000000000e+00,1.750000000000000000e+01,5.545268253204708842e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,1.118033988749894903e+00,1.650000000000000000e+01,1.118033988749894903e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.114235639572138004e-02,1.114248839851885581e-02,8.980088829994201660e-01,3.414643871880795323e-01,2.150000000000000000e+01,2.061552812808830293e+00,3.857142857142856940e+01,5.890150893739517279e+00
5.341796875000000000e+00,2.012263844536619661e+00,3.434999999999999432e+01,7.695940488335391905e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.801249999999999929e+01,1.039455987524242842e+00,1.701249999999999929e+01,1.039455987524242842e+00,8.203125000000000000e+00,3.382911733532963261e+00,2.250000000000000000e+00,4.330127018922192983e-01,4.975000000000000000e+01,1.190325585711741319e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,1.089724735885168494e+00,1.875000000000000000e+01,1.089724735885168494e+00,1.825000000000000000e+01,3.269174207655505260e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.725000000000000000e+01,1.089724735885168494e+00,1.625000000000000000e+01,1.089724735885168494e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.473115205764769120e-02,2.043874847876183884e-02,9.927400350570678711e-01,3.461603551375294074e-01,2.425000000000000000e+01,3.112474899497183145e+00,3.937500000000000000e+01,7.781187248742956086e+00
7.500000000000000000e+00,5.463166792827214735e+00,2.814999999999999858e+01,4.552746423863292868e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.787500000000000000e+01,1.177656571331387569e+00,1.687500000000000000e+01,1.177656571331388013e+00,1.132812500000000000e+01,8.221705148378589456e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.375000000000000000e+01,4.548351349665063381e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.414213562373095145e+00,1.800000000000000000e+01,1.414213562373095145e+00,2.175000000000000000e+01,9.364160400164021070e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,1.224744871391588941e+00,1.600000000000000000e+01,1.224744871391588941e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.320776343345641535e-01,8.049059120034329773e-02,1.124817669391632080e+00,3.079606976779605265e-01,2.700000000000000000e+01,3.082207001484488007e+00,4.000000000000000000e+01,6.849348892187748561e+00
6.777343750000000000e+00,4.491125893580827366e+00,2.869999999999999929e+01,3.809199390948181829e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.801666666666666572e+01,1.146371085934509759e+00,1.701666666666666572e+01,1.146371085934510203e+00,1.132812500000000000e+01,8.221705148378589456e+00,3.000000000000000000e+00,1.224744871391588941e+00,3.675000000000000000e+01,4.145780987944250207e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,1.500000000000000000e+00,1.850000000000000000e+01,1.500000000000000000e+00,2.150000000000000000e+01,6.103277807866851035e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,1.224744871391588941e+00,1.600000000000000000e+01,1.224744871391588941e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.616966962814321340e-02,1.593450473630860648e-02,1.200987339019775391e+00,3.185693658415414409e-01,2.975000000000000000e+01,3.031088913245535199e+00,4.050000000000000000e+01,6.062177826491066845e+00
