# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
6.254882812500000000e-01,5.426706277802697542e-01,3.039999999999999858e+01,8.485281374238575758e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,5.796550698475788632e-01,2.039999999999999858e+01,5.796550698475779750e-01,1.683349609375000000e+00,1.432360791936933220e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,1.549193338482966809e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.166190378969060193e+00,1.819999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.796803474426269309e-01,1.327763449084585212e-01,2.796803474426269309e-01,1.327763449084585212e-01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.446289062500000000e-01,4.003454043275501140e-01,2.871999999999999886e+01,1.572768260106999438e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.061000000000000298e+01,5.200000000000001288e-01,1.960999999999999943e+01,5.200000000000001288e-01,1.898193359375000000e+00,1.257253107819173987e+00,4.000000000000000222e-01,4.898979485566356540e-01,3.879999999999999716e+01,4.874423042781575788e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.220000000000000284e+01,7.483314773547882215e-01,2.119999999999999929e+01,7.483314773547882215e-01,2.039999999999999858e+01,4.498888751680797604e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.880000000000000071e+01,1.166190378969059971e+00,1.780000000000000071e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.318626403808588754e-02,3.686454128858650953e-02,3.428666114807129017e-01,1.685168482351846742e-01,8.400000000000000355e+00,7.999999999999999334e-01,1.600000000000000000e+01,8.000000000000000000e+00
1.140747070312500000e+00,7.209227105960580584e-01,3.007999999999999474e+01,1.709268849537719515e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.033000000000000185e+01,7.166589146867564653e-01,1.932999999999999829e+01,7.166589146867564653e-01,2.523193359375000000e+00,1.321743612771486553e+00,1.000000000000000000e+00,8.944271909999158554e-01,4.300000000000000000e+01,5.727128425310541004e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.180000000000000071e+01,1.166190378969060193e+00,2.080000000000000071e+01,1.166190378969060193e+00,1.800000000000000000e+01,4.857983120596447435e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,1.019803902718556810e+00,1.739999999999999858e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.300230026245115522e-02,3.339467211627829279e-02,4.058689117431640847e-01,2.007096202910972904e-01,1.080000000000000071e+01,1.720465053408525291e+00,2.800000000000000000e+01,1.146976702272350046e+01
1.697753906250000000e+00,1.023013718786198956e+00,3.095999999999999730e+01,3.513175202007436937e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.958000000000000185e+01,3.370459909270544507e-01,1.858000000000000185e+01,3.370459909270544507e-01,2.991943359375000000e+00,1.980537308027334076e+00,1.399999999999999911e+00,8.000000000000000444e-01,3.979999999999999716e+01,5.381449618829483583e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.160000000000000142e+01,1.019803902718556810e+00,2.060000000000000142e+01,1.019803902718556810e+00,2.019999999999999929e+01,5.912698199637792307e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,1.166190378969060193e+00,1.719999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.113376617431640764e-02,1.050276844451884101e-02,4.670026779174804576e-01,2.099791598352242494e-01,1.340000000000000036e+01,1.624807680927192077e+00,3.300000000000000000e+01,8.124038404635959054e+00
1.709716796875000000e+00,1.121691501242364941e+00,3.043999999999999773e+01,2.427838544878961446e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.909333333333333371e+01,8.502025902362595478e-01,1.809333333333333016e+01,8.502025902362595478e-01,3.066406250000000000e+00,1.991421421332950858e+00,1.800000000000000044e+00,1.326649916142160102e+00,3.960000000000000142e+01,4.079215610874227238e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,8.944271909999158554e-01,1.900000000000000000e+01,8.944271909999158554e-01,2.339999999999999858e+01,3.261901286060017835e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,1.166190378969060193e+00,1.719999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.719574928283686410e-02,3.243767358365653997e-02,5.341984272003174050e-01,2.368648580795839897e-01,1.639999999999999858e+01,2.059126028197399982e+00,3.439999999999999858e+01,8.236504112789599930e+00
1.979614257812500000e+00,1.499791925621654975e+00,3.443999999999999773e+01,5.120000000000000107e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.921999999999999886e+01,9.130169768410658637e-01,1.821999999999999886e+01,9.130169768410658637e-01,3.823242187500000000e+00,2.773317146376296893e+00,2.000000000000000000e+00,1.095445115010332149e+00,4.379999999999999716e+01,4.955804677345547304e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,1.019803902718557032e+00,2.039999999999999858e+01,1.019803902718557032e+00,2.160000000000000142e+01,5.748043145279965849e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.095445115010332149e+00,1.700000000000000000e+01,1.095445115010332149e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420038700103759266e-01,6.913390897760035569e-02,6.762022972106933594e-01,3.055069330452278575e-01,1.880000000000000071e+01,2.039607805437113619e+00,3.733333333333333570e+01,6.798692684790377250e+00
2.150878906250000000e+00,1.799979803183946014e+00,3.364000000000000057e+01,7.303040462711406278e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.888000000000000256e+01,8.541662601625039652e-01,1.788000000000000256e+01,8.541662601625039652e-01,4.296875000000000000e+00,3.296097360895154260e+00,2.000000000000000000e+00,1.095445115010332149e+00,3.960000000000000142e+01,7.172168430816443063e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,1.166190378969060193e+00,1.919999999999999929e+01,1.166190378969060193e+00,2.860000000000000142e+01,7.552483035399682798e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,9.797958971132713080e-01,1.719999999999999929e+01,9.797958971132713080e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.117631912231437263e-02,3.639022290625618800e-02,7.673786163330078569e-01,3.383164819740791529e-01,2.219999999999999929e+01,2.135415650406262245e+00,3.657142857142857650e+01,6.101187572589322095e+00
2.499755859375000000e+00,2.036882133646971571e+00,3.511999999999999744e+01,8.600093022752719918e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.905000000000000071e+01,9.654014708917733056e-01,1.805000000000000071e+01,9.654014708917733056e-01,4.609375000000000000e+00,3.667717060720469657e+00,2.399999999999999911e+00,1.356465996625053849e+00,4.620000000000000284e+01,6.910861017268397966e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,1.166190378969060193e+00,1.919999999999999929e+01,1.166190378969060193e+00,2.439999999999999858e+01,1.100181803158005245e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.264911064067351765e+00,1.700000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.885403633117671340e-02,2.543224607068002643e-02,8.462326526641845703e-01,3.366613028068461411e-01,2.519999999999999929e+01,2.227105745132008430e+00,3.700000000000000000e+01,5.567764362830021518e+00
2.438232421875000000e+00,2.230943565803913398e+00,3.635999999999999943e+01,8.210627259838313208e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.903999999999999915e+01,8.890444308357146053e-01,1.803999999999999915e+01,8.890444308357146053e-01,4.765625000000000000e+00,3.846416757840990908e+00,2.399999999999999911e+00,1.356465996625053849e+00,4.560000000000000142e+01,1.063202708800161034e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,7.483314773547882215e-01,1.919999999999999929e+01,7.483314773547882215e-01,2.760000000000000142e+01,8.089499366462673535e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,1.326649916142159880e+00,1.719999999999999929e+01,1.326649916142159880e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.529005050659176079e-02,2.438542993477005663e-02,9.315227031707763450e-01,3.571413363125546248e-01,2.780000000000000071e+01,3.187475490101845388e+00,3.822222222222222143e+01,7.083278866892987580e+00
2.933593750000000000e+00,2.565393442537547308e+00,3.519999999999999574e+01,5.966573556070518869e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.916999999999999815e+01,1.633278910657943284e+00,1.816999999999999815e+01,1.633278910657943728e+00,4.765625000000000000e+00,3.846416757840990908e+00,2.600000000000000089e+00,1.743559577416269324e+00,4.300000000000000000e+01,4.690415759823429731e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999858e+01,1.743559577416269324e+00,1.939999999999999858e+01,1.743559577416269324e+00,2.919999999999999929e+01,8.541662601625048978e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,1.326649916142159880e+00,1.719999999999999929e+01,1.326649916142159880e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.382929801940913250e-02,4.197974793075172351e-02,1.025352001190185547e+00,3.578896855130851429e-01,3.060000000000000142e+01,2.727636339397171206e+00,3.879999999999999716e+01,5.455272678794343300e+00
