ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.41015625	30.8	5.0	31.6	20.6	1.5625	0	0	36	5	35	24	27	5	29	18	0	0	0.22499775886535645	5	0.22499775886535645	5	0.0	
0.732421875	28.6	5.0	31.5	20.5	1.5625	1	1	42	5.0	33.0	22.0	16	5.0	29.0	18.0	0	0	0.03164935111999512	10	0.25664710998535156	8	20.0	
0.625	32.4	5.0	31.0	20.0	1.5625	2	1	45	5	32	21	24	5	29	18	0	0	0.045301198959350586	15	0.30194830894470215	11	26.66666666666667	
1.40625	30.8	5.0	30.8	19.8	3.125	3	1	34	5	32	21	27	5	29	18	0	0	0.046167612075805664	20	0.3481159210205078	14	30.0	
4.6875	31.0	5.0	29.8	18.8	12.5	4	1	41	5	31	20	23	5	28	17	0	0	0.054564476013183594	25	0.4026803970336914	16	36.0	
8.125	24.2	5.0	28.8	17.8	12.5	5	1	29	5	30	19	23	5	28	17	0	0	0.07430267333984375	30	0.47698307037353516	19	36.66666666666667	
14.0625	23.0	5.0	27.75	16.75	25.0	6	2	28	5.0	28.0	17.0	18	5.0	27.0	16.0	0	0	0.035532474517822266	35	0.5125155448913574	22	37.142857142857146	
15.0	28.0	5.0	28.0	17.0	25.0	7	2	30	5	29	18	26	5	27	16	0	0	0.04935002326965332	40	0.5618655681610107	25	37.5	
10.625	29.6	5.0	28.2	17.2	25.0	8	2	42	5	29	18	18	5	27	16	0	0	0.045903682708740234	45	0.607769250869751	29	35.55555555555556	
17.5	32.8	5.0	27.8	16.8	25.0	9	2	47	5	29	18	21	5	27	16	0	0	0.05029177665710449	50	0.6580610275268555	31	38.0	
18.75	33.6	5.0	27.0	16.0	25.0	10	3	55	5.0	27.0	16.0	15	5.0	27.0	16.0	0	0	0.03767585754394531	55	0.6957368850708008	32	41.81818181818182	
12.5	28.0	5.0	27.5	16.5	25.0	11	4	37	5.0	29.0	18.0	19	5.0	27.0	16.0	0	0	0.041196346282958984	60	0.7369332313537598	35	41.666666666666664	
13.75	29.2	5.0	27.6	16.6	25.0	12	4	31	5	29	18	28	5	27	16	0	0	0.048769235610961914	65	0.7857024669647217	39	40.0	
17.5	28.2	5.0	27.6	16.6	25.0	13	4	29	5	29	18	28	5	27	16	0	0	0.04992485046386719	70	0.8356273174285889	41	41.42857142857142	
