# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
4.492187500000000000e-01,3.906250000000000000e-02,3.060000000000000142e+01,2.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,1.000000000000014211e-01,2.050000000000000000e+01,1.000000000000014211e-01,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.948136091232299250e-01,3.018414974212645097e-02,1.948136091232299250e-01,3.018414974212645097e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.912109375000000000e-01,2.587890625000000000e-01,2.930000000000000071e+01,6.999999999999992895e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.094999999999999929e+01,5.500000000000007105e-01,1.994999999999999929e+01,5.500000000000007105e-01,2.343750000000000000e+00,7.812500000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.050000000000000000e+01,1.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.476846218109130165e-02,3.119111061096198345e-03,2.295820713043212336e-01,2.706503868103025956e-02,8.500000000000000000e+00,5.000000000000000000e-01,1.500000000000000000e+01,5.000000000000000000e+00
1.660156250000000000e+00,1.035156250000000000e+00,3.169999999999999929e+01,6.999999999999992895e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.069999999999999929e+01,3.000000000000007105e-01,1.969999999999999929e+01,3.000000000000007105e-01,3.906250000000000000e+00,2.343750000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,1.000000000000000000e+00,2.200000000000000000e+01,1.000000000000000000e+00,2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.434669017791739720e-02,9.545087814331019993e-04,2.739287614822387695e-01,2.801954746246335115e-02,1.100000000000000000e+01,0.000000000000000000e+00,2.666666666666667140e+01,0.000000000000000000e+00
3.359375000000000000e+00,1.953125000000000000e+00,2.720000000000000284e+01,3.599999999999999645e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.970000000000000284e+01,1.099999999999999645e+00,1.870000000000000284e+01,1.099999999999999645e+00,4.687500000000000000e+00,1.562500000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.050000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,5.000000000000000000e-01,2.450000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.972159862518304996e-02,3.553986549377448345e-03,3.236503601074218750e-01,2.446556091308596526e-02,1.350000000000000000e+01,5.000000000000000000e-01,3.250000000000000000e+01,2.500000000000000000e+00
3.906250000000000000e+00,7.812500000000000000e-01,2.710000000000000142e+01,3.900000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.952499999999999858e+01,2.750000000000003553e-01,1.852499999999999858e+01,2.750000000000003553e-01,9.375000000000000000e+00,3.125000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.000000000000000000e-01,1.950000000000000000e+01,5.000000000000000000e-01,1.500000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.212045669555655042e-02,1.244401931762694792e-02,3.657708168029785156e-01,3.690958023071289062e-02,1.600000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00
6.210937500000000000e+00,1.914062500000000000e+00,2.460000000000000142e+01,4.000000000000003553e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.877499999999999858e+01,2.500000000000035527e-02,1.777499999999999858e+01,2.500000000000035527e-02,9.375000000000000000e+00,3.125000000000000000e+00,1.500000000000000000e+00,5.000000000000000000e-01,3.450000000000000000e+01,5.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.823241710662834858e-02,6.070256233215345909e-03,4.340032339096069336e-01,4.297983646392819490e-02,1.800000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+01,3.333333333333332149e+00
1.113281250000000000e+01,2.929687500000000000e+00,2.250000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.787500000000000000e+01,1.250000000000000000e-01,1.687500000000000000e+01,1.250000000000000000e-01,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,2.800000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000000e+00,1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.376269340515129780e-02,1.769781112670901907e-03,4.677659273147583008e-01,4.474961757659912109e-02,2.050000000000000000e+01,1.500000000000000000e+00,4.142857142857143060e+01,4.285714285714288252e+00
1.093750000000000000e+01,4.062500000000000000e+00,2.639999999999999858e+01,1.599999999999999645e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.541373252868649568e-02,3.936290740966800344e-03,5.131796598434448242e-01,4.868590831756591797e-02,2.350000000000000000e+01,1.500000000000000000e+00,4.125000000000000000e+01,3.749999999999996447e+00
8.750000000000000000e+00,1.875000000000000000e+00,2.700000000000000000e+01,2.600000000000001421e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.829999999999999716e+01,9.999999999999964473e-02,1.729999999999999716e+01,9.999999999999964473e-02,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.900000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.526305198669430124e-02,6.406307220458984375e-04,5.584427118301391602e-01,4.932653903961181641e-02,2.650000000000000000e+01,2.500000000000000000e+00,4.111111111111110716e+01,5.555555555555550029e+00
1.291666666666666785e+01,4.583333333333333037e+00,2.939999999999999858e+01,3.399999999999998579e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.773333333333333428e+01,6.666666666666642982e-02,1.673333333333333428e+01,6.666666666666642982e-02,1.875000000000000000e+01,6.250000000000000000e+00,3.500000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.508806228637689761e-02,1.520371437072750090e-02,5.935307741165161133e-01,6.453025341033935547e-02,2.850000000000000000e+01,2.500000000000000000e+00,4.300000000000000000e+01,5.000000000000000000e+00
