ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.11328125	30.4	5.0	31.4	20.4	3.125	0	0	36	5	35	24	28	5	30	19	0	0	0.2821512222290039	5	0.2821512222290039	5	0.0	
1.640625	29.6	5.0	30.6	19.6	3.125	1	0	39	5	33	22	25	5	30	19	0	0	0.05704307556152344	10	0.33919429779052734	9	10.0	
1.7578125	26.8	5.0	30.5	19.5	3.125	2	1	39	5.0	32.0	21.0	14	5.0	30.0	19.0	0	0	0.035710811614990234	15	0.3749051094055176	10	33.33333333333334	
2.5	26.8	5.0	30.4	19.4	6.25	3	1	33	5	31	20	20	5	29	18	0	0	0.047208547592163086	20	0.42211365699768066	14	30.0	
2.34375	26.4	5.0	30.25	19.25	6.25	4	2	37	5.0	31.0	20.0	19	5.0	29.0	18.0	0	0	0.034668922424316406	25	0.45678257942199707	16	36.0	
7.8125	20.0	5.0	28.75	17.75	12.5	5	3	24	5.0	29.0	18.0	16	5.0	28.0	17.0	0	0	0.0623624324798584	30	0.5191450119018555	17	43.333333333333336	
4.6875	22.4	5.0	29.2	18.2	12.5	6	3	24	5	31	20	21	5	28	17	0	0	0.042131662368774414	35	0.5612766742706299	21	40.0	
6.875	23.4	5.0	29.0	18.0	12.5	7	3	27	5	31	20	20	5	28	17	0	0	0.04457736015319824	40	0.6058540344238281	23	42.50000000000001	
8.59375	23.6	5.0	28.25	17.25	12.5	8	4	34	5.0	30.0	19.0	14	5.0	27.0	16.0	0	0	0.032189130783081055	45	0.6380431652069092	26	42.22222222222223	
7.5	28.0	5.0	28.0	17.0	12.5	9	4	36	5	29	18	22	5	27	16	0	0	0.04543423652648926	50	0.6834774017333984	29	42.00000000000001	
6.25	33.6	5.0	27.8	16.8	12.5	10	4	45	5	28	17	24	5	27	16	0	0	0.04144120216369629	55	0.7249186038970947	33	40.0	
8.75	31.4	5.0	27.8	16.8	12.5	11	4	39	5	28	17	22	5	27	16	0	0	0.04155993461608887	60	0.7664785385131836	35	41.666666666666664	
11.25	32.0	5.0	28.2	17.2	25.0	12	4	40	5	29	18	23	5	27	16	0	0	0.041502952575683594	65	0.8079814910888672	38	41.53846153846153	
11.05	32.6	4.8	26.8	15.8	25.0	13	4	46	5	28	17	23	4	25	14	0	0	0.03505730628967285	70	0.84303879737854	42	40.0	
18.75	32.6	5.0	27.0	16.0	25.0	14	4	48	5	29	18	23	5	26	15	0	0	0.05137491226196289	75	0.8944137096405029	43	42.666666666666664	
20.625	34.2	5.0	26.8	15.8	25.0	15	4	55	5	29	18	19	5	26	15	0	0	0.0574948787689209	80	0.9519085884094238	45	43.75	
22.5	31.2	5.0	26.4	15.4	25.0	16	4	55	5	27	16	23	5	26	15	0	0	0.04965662956237793	85	1.0015652179718018	46	45.88235294117647	
14.8	24.2	4.8	26.6	15.6	25.0	17	4	28	5	28	17	21	4	25	14	0	0	0.03658437728881836	90	1.0381495952606201	49	45.55555555555556	
12.5	25.4	5.0	27.5	16.5	25.0	18	5	37	5.0	31.0	20.0	15	5.0	26.0	15.0	0	0	0.030578136444091797	95	1.068727731704712	51	46.31578947368421	
12.5	31.4	5.0	26.8	15.8	25.0	19	5	42	5	27	16	20	5	26	15	0	0	0.0878450870513916	100	1.1565728187561035	53	47.0	
21.875	30.0	5.0	26.75	15.75	25.0	20	6	40	5.0	27.0	16.0	15	5.0	26.0	15.0	0	0	0.07361388206481934	105	1.2301867008209229	54	48.57142857142858	
35.0	30.2	5.0	26.6	15.6	50.0	21	6	34	5	27	16	23	5	26	15	0	0	0.044348955154418945	110	1.2745356559753418	57	48.18181818181818	
36.25	31.8	5.0	26.4	15.4	50.0	22	6	45	5	28	17	18	5	26	15	0	0	0.044493675231933594	115	1.3190293312072754	59	48.69565217391304	
31.25	39.6	5.0	26.4	15.4	50.0	23	6	48	5	28	17	33	5	26	15	0	0	0.045029401779174805	120	1.3640587329864502	62	48.33333333333333	
32.5	42.6	5.0	26.6	15.6	50.0	24	6	58	5	28	17	32	5	26	15	0	0	0.04282879829406738	125	1.4068875312805176	64	48.8	
17.5	39.0	5.0	27.2	16.2	50.0	25	6	54	5	28	17	27	5	26	15	0	0	0.0396270751953125	130	1.44651460647583	68	47.692307692307686	
27.5	40.2	5.0	26.4	15.4	50.0	26	6	49	5	27	16	33	5	26	15	0	0	0.04303407669067383	135	1.489548683166504	71	47.40740740740741	
23.125	36.2	5.0	26.8	15.8	50.0	27	6	45	5	29	18	29	5	26	15	0	0	0.04237079620361328	140	1.5319194793701172	73	47.857142857142854	
32.5	37.0	5.0	26.4	15.4	50.0	28	6	55	5	27	16	20	5	26	15	0	0	0.04173684120178223	145	1.5736563205718994	76	47.58620689655172	
23.125	33.0	5.0	26.8	15.8	50.0	29	6	40	5	29	18	26	5	26	15	0	0	0.04159235954284668	150	1.615248680114746	80	46.666666666666664	
25.0	34.0	5.0	26.6	15.6	50.0	30	6	43	5	27	16	22	5	26	15	0	0	0.04080533981323242	155	1.6560540199279785	81	47.74193548387097	
23.75	29.6	5.0	27.0	16.0	50.0	31	6	33	5	29	18	24	5	26	15	0	0	0.0418241024017334	160	1.697878122329712	84	47.5	
32.5	30.4	5.0	26.8	15.8	50.0	32	6	41	5	28	17	21	5	26	15	0	0	0.04316854476928711	165	1.741046667098999	86	47.878787878787875	
14.8	34.6	4.8	26.2	15.2	50.0	33	6	41	5	27	16	27	4	25	14	0	0	0.0325322151184082	170	1.7735788822174072	88	48.23529411764705	
20.625	30.6	5.0	27.0	16.0	50.0	34	6	36	5	29	18	24	5	26	15	0	0	0.041613101959228516	175	1.8151919841766357	91	48.0	
19.8	33.0	4.8	26.2	15.2	50.0	35	6	41	5	27	16	25	4	25	14	0	0	0.03401517868041992	180	1.8492071628570557	93	48.33333333333333	
26.5625	33.0	5.0	26.5	15.5	50.0	36	7	51	5.0	28.0	17.0	15	5.0	26.0	15.0	0	0	0.0310518741607666	185	1.8802590370178223	94	49.189189189189186	
35.0	40.2	5.0	26.0	15.0	50.0	37	7	51	5	26	15	33	5	26	15	0	0	0.043264150619506836	190	1.923523187637329	94	50.526315789473685	
22.3	40.2	4.8	26.2	15.2	50.0	38	7	61	5	27	16	23	4	25	14	0	0	0.0357365608215332	195	1.9592597484588623	96	50.76923076923077	
