# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.552734375000000000e+00,4.394531250000000000e-01,3.060000000000000142e+01,2.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,1.000000000000014211e-01,2.050000000000000000e+01,1.000000000000014211e-01,4.687500000000000000e+00,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.168604135513305664e-01,6.529080867767335372e-02,2.168604135513305664e-01,6.529080867767335372e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.640625000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,1.000000000000014211e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,1.000000000000014211e-01,1.950000000000000000e+01,1.000000000000014211e-01,4.687500000000000000e+00,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,1.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.003619194030760331e-02,7.006883621215802965e-03,2.668966054916381281e-01,7.229769229888914628e-02,9.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.777343750000000000e+00,1.953125000000000000e-02,2.820000000000000284e+01,1.400000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.064999999999999858e+01,1.500000000000003553e-01,1.964999999999999858e+01,1.500000000000003553e-01,4.687500000000000000e+00,1.562500000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.650000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.942251205444330386e-02,3.711700439453100714e-03,3.063191175460815430e-01,6.858599185943603516e-02,1.000000000000000000e+01,0.000000000000000000e+00,3.333333333333334281e+01,0.000000000000000000e+00
2.031250000000000000e+00,4.687500000000000000e-01,2.689999999999999858e+01,9.999999999999964473e-02,5.000000000000000000e+00,0.000000000000000000e+00,3.029999999999999716e+01,9.999999999999964473e-02,1.929999999999999716e+01,9.999999999999964473e-02,6.250000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.300000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.050000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.561126232147209858e-02,1.597285270690900622e-03,3.519303798675536554e-01,7.018327713012695312e-02,1.300000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+01,5.000000000000000000e+00
2.031250000000000000e+00,3.125000000000000000e-01,2.850000000000000000e+01,2.100000000000001421e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.032499999999999929e+01,7.499999999999928946e-02,1.932499999999999929e+01,7.499999999999928946e-02,6.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.195010662078854646e-02,7.281184196472150622e-03,3.938804864883422852e-01,6.290209293365475740e-02,1.500000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+01,3.999999999999996447e+00
4.726562500000000000e+00,3.085937500000000000e+00,2.350000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.947500000000000142e+01,7.249999999999996447e-01,1.847500000000000142e+01,7.249999999999996447e-01,9.375000000000000000e+00,3.125000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,2.750000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,2.050000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.957077980041499743e-02,7.208347320556598992e-03,4.634512662887573242e-01,5.569374561309814453e-02,1.700000000000000000e+01,0.000000000000000000e+00,4.333333333333333570e+01,0.000000000000000000e+00
4.003906250000000000e+00,6.835937500000000000e-01,2.429999999999999716e+01,1.900000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.947500000000000142e+01,2.750000000000003553e-01,1.847500000000000142e+01,2.750000000000003553e-01,9.375000000000000000e+00,3.125000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.150000000000000000e+01,7.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.661751747131344881e-02,5.514144897460949643e-03,5.000687837600708008e-01,6.120789051055908203e-02,2.050000000000000000e+01,5.000000000000000000e-01,4.142857142857143060e+01,1.428571428571430602e+00
6.171875000000000000e+00,7.031250000000000000e-01,2.279999999999999716e+01,5.999999999999996447e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.887500000000000000e+01,1.250000000000000000e-01,1.787500000000000000e+01,1.250000000000000000e-01,1.250000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,2.700000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.965115547180170230e-02,4.926204681396501722e-03,5.397199392318725586e-01,6.613409519195556641e-02,2.300000000000000000e+01,0.000000000000000000e+00,4.250000000000000711e+01,0.000000000000000000e+00
6.445312500000000000e+00,2.148437500000000000e+00,2.289999999999999858e+01,7.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.879166666666666430e+01,5.416666666666642982e-01,1.779166666666666430e+01,5.416666666666642982e-01,1.250000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.650000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.000000000000000000e-01,1.950000000000000000e+01,5.000000000000000000e-01,1.050000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,1.650000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.659153938293450092e-02,5.597591400146499988e-03,5.663114786148071289e-01,7.173168659210205078e-02,2.500000000000000000e+01,1.000000000000000000e+00,4.444444444444444287e+01,2.222222222222214327e+00
6.484375000000000000e+00,1.015625000000000000e+00,2.350000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.812500000000000000e+01,1.250000000000000000e-01,1.712500000000000000e+01,1.250000000000000000e-01,1.250000000000000000e+01,0.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e-01,3.400000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,1.650000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.911852836608879780e-02,6.315708160400401033e-03,6.054300069808959961e-01,7.804739475250244141e-02,2.800000000000000000e+01,1.000000000000000000e+00,4.400000000000000000e+01,1.999999999999996447e+00
