ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.5625	30.4	5.0	31.4	20.4	3.125	0	0	36	5	35	24	28	5	30	19	0	0	0.2072746753692627	5	0.2072746753692627	5	0.0	
0.625	29.6	5.0	30.4	19.4	3.125	1	0	39	5	32	21	25	5	29	18	0	0	0.045508384704589844	10	0.25278306007385254	9	10.0	
0.78125	28.0	5.0	30.75	19.75	3.125	2	1	41	5.0	32.0	21.0	15	5.0	29.0	18.0	0	0	0.03447771072387695	15	0.2872607707977295	11	26.66666666666667	
0.78125	34.4	5.0	31.4	20.4	3.125	3	1	39	5	32	21	28	5	30	19	0	0	0.05373191833496094	20	0.34099268913269043	13	35.0	
1.07421875	31.0	5.0	31.0	20.0	3.125	4	2	41	5.0	33.0	22.0	20	5.0	29.0	18.0	0	0	0.03696870803833008	25	0.3779613971710205	16	36.0	
0.625	28.0	5.0	29.0	18.0	3.125	5	2	32	5	30	19	24	5	28	17	0	0	0.07169651985168457	30	0.4496579170227051	18	40.0	
0.625	28.0	5.0	30.4	19.4	3.125	6	2	35	5	32	21	21	5	29	18	0	0	0.037699222564697266	35	0.48735713958740234	21	40.0	
0.78125	29.4	5.0	29.5	18.5	3.125	7	3	52	5.0	31.0	20.0	11	5.0	28.0	17.0	0	0	0.03271079063415527	40	0.5200679302215576	23	42.50000000000001	
0.625	34.2	5.0	29.2	18.2	3.125	8	3	55	5	30	19	25	5	28	17	0	0	0.04047513008117676	45	0.5605430603027344	26	42.22222222222223	
0.78125	27.4	5.0	29.75	18.75	3.125	9	4	38	5.0	30.0	19.0	15	5.0	29.0	18.0	0	0	0.032590627670288086	50	0.5931336879730225	27	46.0	
0.625	30.0	5.0	30.4	19.4	3.125	10	4	38	5	32	21	24	5	29	18	0	0	0.0452272891998291	55	0.6383609771728516	30	45.45454545454546	
0.78125	27.2	5.0	30.0	19.0	3.125	11	4	29	5	32	21	24	5	29	18	0	0	0.05066514015197754	60	0.6890261173248291	34	43.333333333333336	
1.66015625	25.6	5.0	31.25	20.25	3.125	12	5	32	5.0	33.0	22.0	20	5.0	30.0	19.0	0	0	0.031209945678710938	65	0.72023606300354	37	43.07692307692308	
0.87890625	27.8	5.0	30.25	19.25	3.125	13	6	49	5.0	33.0	22.0	11	5.0	29.0	18.0	0	0	0.03271079063415527	70	0.7529468536376953	37	47.14285714285714	
5.208333333333333	28.0	5.0	29.333333333333332	18.333333333333332	6.25	14	8	43	5.0	30.0	19.0	13	5.0	29.0	18.0	0	0	0.023160934448242188	75	0.7761077880859375	39	48.0	
8.75	42.4	5.0	28.8	17.8	25.0	15	8	56	5	30	19	30	5	27	16	0	0	0.045900821685791016	80	0.8220086097717285	43	46.25	
13.125	52.8	5.0	28.4	17.4	25.0	16	8	58	5	30	19	46	5	27	16	0	0	0.042273759841918945	85	0.8642823696136475	47	44.705882352941174	
8.75	56.2	5.0	28.8	17.8	25.0	17	8	73	5	30	19	41	5	27	16	0	0	0.0402987003326416	90	0.9045810699462891	49	45.55555555555556	
