# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.058349609375000000e+00,9.957309136866048238e-01,3.075000000000000355e+01,5.361902647381814324e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.164999999999999858e+01,3.278719262151017499e-01,2.064999999999999858e+01,3.278719262151001956e-01,2.532958984375000000e+00,2.429436906850666489e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.775000000000000000e+01,4.330127018922192983e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,4.330127018922192983e-01,1.875000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.122890949249267578e-01,3.565997204262104370e-02,2.122890949249267578e-01,3.565997204262104370e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.529541015625000000e+00,7.704745093281045731e-01,3.075000000000000000e+01,2.108909670896313315e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.064999999999999858e+01,8.170067319184095567e-01,1.964999999999999858e+01,8.170067319184095567e-01,5.468750000000000000e+00,1.461584916708570825e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.150000000000000000e+01,6.873863542433760188e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,1.500000000000000000e+00,2.150000000000000000e+01,1.500000000000000000e+00,2.200000000000000000e+01,4.636809247747851970e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.151617527008053171e-02,1.046869693173364466e-02,2.638052701950073242e-01,4.581569962385101391e-02,8.750000000000000000e+00,4.330127018922192983e-01,1.250000000000000000e+01,4.330127018922193649e+00
2.630004882812500000e+00,1.537044475305014091e+00,2.714999999999999858e+01,3.858432324144094316e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.006250000000000000e+01,5.412658773652742061e-01,1.906250000000000000e+01,5.412658773652742061e-01,6.835937500000000000e+00,3.143257214732633198e+00,7.500000000000000000e-01,4.330127018922192983e-01,3.750000000000000000e+01,4.153311931459037432e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.175000000000000000e+01,4.330127018922192983e-01,2.075000000000000000e+01,4.330127018922192983e-01,1.750000000000000000e+01,2.291287847477919914e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.825000000000000000e+01,4.330127018922192983e-01,1.725000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.983056545257564890e-02,5.419734356091125173e-03,3.036358356475829523e-01,4.798353585527736359e-02,1.075000000000000000e+01,8.291561975888499525e-01,2.833333333333333925e+01,5.527707983925670199e+00
4.969482421875000000e+00,3.210482404994233541e+00,2.769999999999999929e+01,6.518435395092906148e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.927499999999999858e+01,1.355313616842979574e+00,1.827499999999999858e+01,1.355313616842979574e+00,1.113281250000000000e+01,7.622193867612444329e+00,1.250000000000000000e+00,8.291561975888499525e-01,3.475000000000000000e+01,6.495190528383290030e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,1.500000000000000000e+00,1.950000000000000000e+01,1.500000000000000000e+00,2.000000000000000000e+01,6.442049363362563064e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.775000000000000000e+01,1.299038105676658006e+00,1.675000000000000000e+01,1.299038105676658006e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.873621463775633378e-02,6.503682457971860301e-03,3.523720502853393555e-01,5.160626985182811821e-02,1.300000000000000000e+01,7.071067811865475727e-01,3.500000000000000000e+01,3.535533905932737753e+00
7.370605468750000000e+00,8.016785223501246449e+00,2.935000000000000142e+01,3.601041516006168397e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.880000000000000071e+01,1.421267040355189692e+00,1.780000000000000071e+01,1.421267040355189692e+00,1.113281250000000000e+01,7.622193867612444329e+00,1.500000000000000000e+00,8.660254037844385966e-01,3.450000000000000000e+01,3.905124837953326988e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,1.802775637731994562e+00,1.950000000000000000e+01,1.802775637731994562e+00,2.425000000000000000e+01,6.015604707757982617e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.775000000000000000e+01,8.291561975888499525e-01,1.675000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.095945835113519840e-02,1.679169276579331460e-02,4.133315086364746094e-01,5.152025413566933831e-02,1.600000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00
7.949218750000000000e+00,7.237929194082703077e+00,2.925000000000000000e+01,3.109260362208349893e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.810000000000000142e+01,7.141428428542859752e-01,1.710000000000000142e+01,7.141428428542859752e-01,1.113281250000000000e+01,7.622193867612444329e+00,1.500000000000000000e+00,8.660254037844385966e-01,3.350000000000000000e+01,2.291287847477919914e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.925000000000000000e+01,8.291561975888499525e-01,1.825000000000000000e+01,8.291561975888499525e-01,2.475000000000000000e+01,5.117372372614680032e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,1.650000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.796144485473627261e-02,1.471993783682805368e-02,4.912929534912109375e-01,6.605771841483702722e-02,1.750000000000000000e+01,8.660254037844385966e-01,4.166666666666666430e+01,2.886751345948124658e+00
8.430175781250000000e+00,7.109761908765846350e+00,3.020000000000000284e+01,2.063976744055030288e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,1.187434208703791239e+00,1.750000000000000000e+01,1.187434208703791239e+00,1.699218750000000000e+01,1.747255625739887819e+01,1.500000000000000000e+00,8.660254037844385966e-01,4.100000000000000000e+01,3.674234614174767266e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,1.479019945774904032e+00,1.875000000000000000e+01,1.479019945774904032e+00,2.075000000000000000e+01,2.861380785564899387e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,1.118033988749894903e+00,1.650000000000000000e+01,1.118033988749894903e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.320535182952878084e-02,2.088913339980055101e-02,5.644983053207397461e-01,7.376875700470456043e-02,2.075000000000000000e+01,1.089724735885168494e+00,4.071428571428571530e+01,3.113499245386197600e+00
5.595703125000000000e+00,6.610015333103049784e+00,3.275000000000000000e+01,1.981792118260641722e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.877499999999999858e+01,5.117372372614684695e-01,1.777499999999999858e+01,5.117372372614684695e-01,1.699218750000000000e+01,1.747255625739887819e+01,1.750000000000000000e+00,1.089724735885168494e+00,4.750000000000000000e+01,3.354101966249684708e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.025000000000000000e+01,4.330127018922192983e-01,1.925000000000000000e+01,4.330127018922192983e-01,2.025000000000000000e+01,5.539629951540084640e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.725000000000000000e+01,8.291561975888499525e-01,1.625000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.346161127090449938e-02,1.659948501852492181e-02,6.179599165916442871e-01,8.977047953077428588e-02,2.400000000000000000e+01,1.224744871391588941e+00,4.000000000000000000e+01,3.061862178478975682e+00
8.437500000000000000e+00,1.039723121759766933e+01,3.500000000000000000e+01,5.153639490690051339e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.835000000000000142e+01,6.383572667401854472e-01,1.734999999999999787e+01,6.383572667401854472e-01,1.699218750000000000e+01,1.747255625739887819e+01,1.750000000000000000e+00,1.089724735885168494e+00,4.700000000000000000e+01,7.842193570679061310e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,4.330127018922192983e-01,1.875000000000000000e+01,4.330127018922192983e-01,2.475000000000000000e+01,5.018714974971183018e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.725000000000000000e+01,8.291561975888499525e-01,1.625000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.316126346588130602e-02,1.181603631453630350e-02,6.711211800575256348e-01,1.001073434553684111e-01,2.700000000000000000e+01,7.071067811865475727e-01,4.000000000000000000e+01,1.571348402636774111e+00
6.873828125000000178e+00,8.061008777957667348e+00,3.425000000000000000e+01,5.396989901787848432e+00,4.950000000000000178e+00,8.660254037844393460e-02,2.853749999999999787e+01,1.279343093153670452e+00,1.753749999999999787e+01,1.279343093153669786e+00,1.699218750000000000e+01,1.747255625739887819e+01,2.000000000000000000e+00,1.414213562373095145e+00,4.150000000000000000e+01,4.031128874149274566e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,8.660254037844385966e-01,1.850000000000000000e+01,8.660254037844385966e-01,2.525000000000000000e+01,8.257572282456871804e+00,4.750000000000000000e+00,4.330127018922192983e-01,2.725000000000000000e+01,1.479019945774904032e+00,1.625000000000000000e+01,1.479019945774904032e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.992717504501337222e-02,1.093207866734634964e-02,7.210483551025390625e-01,1.097986421929912915e-01,2.950000000000000000e+01,1.500000000000000000e+00,4.100000000000000000e+01,3.000000000000000000e+00
