ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.1171875	31.6	5.0	32.2	21.2	0.1953125	0	0	36	5	35	24	28	5	30	19	0	0	0.23695635795593262	5	0.23695635795593262	5	0.0	
0.5078125	31.0	5.0	30.8	19.8	0.78125	1	0	46	5	33	22	17	5	28	17	0	0	0.0521397590637207	10	0.2890961170196533	9	10.0	
0.62103271484375	28.6	5.0	29.75	18.75	1.5625	2	1	50	5.0	33.0	22.0	13	5.0	28.0	17.0	0	0	0.03972792625427246	15	0.3288240432739258	12	20.0	
1.5625	19.4	5.0	28.25	17.25	3.90625	3	2	28	5.0	29.0	18.0	10	5.0	28.0	17.0	0	0	0.04380154609680176	20	0.37262558937072754	14	30.0	
2.34375	23.8	5.0	28.5	17.5	3.90625	4	3	34	5.0	29.0	18.0	15	5.0	28.0	17.0	0	0	0.047107696533203125	25	0.41973328590393066	17	32.0	
3.4375	30.4	5.0	28.4	17.4	6.25	5	3	34	5	29	18	28	5	28	17	0	0	0.05123114585876465	30	0.4709644317626953	19	36.66666666666667	
1.787109375	30.4	5.0	28.6	17.6	6.25	6	3	34	5	30	19	28	5	28	17	0	0	0.08540105819702148	35	0.5563654899597168	22	37.142857142857146	
8.59375	28.0	5.0	27.5	16.5	15.625	7	4	39	5.0	28.0	17.0	17	5.0	26.0	15.0	0	0	0.042519330978393555	40	0.5988848209381104	23	42.50000000000001	
6.25	32.4	5.0	27.25	16.25	15.625	8	5	53	5.0	28.0	17.0	14	5.0	26.0	15.0	0	0	0.04393649101257324	45	0.6428213119506836	25	44.44444444444444	
11.875	33.0	5.0	26.4	15.4	15.625	9	5	57	5	27	16	24	5	26	15	0	0	0.06082439422607422	50	0.7036457061767578	27	46.0	
6.675	28.0	4.8	26.2	15.2	15.625	10	5	36	5	27	16	20	4	25	14	0	0	0.04064202308654785	55	0.7442877292633057	31	43.63636363636364	
7.5	28.8	5.0	26.4	15.4	15.625	11	5	36	5	27	16	20	5	26	15	0	0	0.05534529685974121	60	0.7996330261230469	32	46.666666666666664	
9.6875	34.4	5.0	26.8	15.8	15.625	12	5	39	5	28	17	28	5	26	15	0	0	0.05452537536621094	65	0.8541584014892578	35	46.15384615384615	
5.425	30.4	4.8	26.2	15.2	15.625	13	5	35	5	27	16	27	4	25	14	0	0	0.04448199272155762	70	0.8986403942108154	38	45.714285714285715	
7.03125	32.2	5.0	27.0	16.0	15.625	14	5	41	5	28	17	22	5	26	15	0	0	0.05175900459289551	75	0.9503993988037109	41	45.333333333333336	
5.9375	30.0	5.0	27.0	16.0	15.625	15	5	46	5	28	17	18	5	26	15	0	0	0.053227901458740234	80	1.0036273002624512	44	44.99999999999999	
4.8828125	26.6	5.0	27.75	16.75	15.625	16	6	40	5.0	29.0	18.0	7	5.0	26.0	15.0	0	0	0.037023305892944336	85	1.0406506061553955	46	45.88235294117647	
8.125	28.8	5.0	27.0	16.0	15.625	17	6	38	5	28	17	20	5	26	15	0	0	0.06563448905944824	90	1.1062850952148438	48	46.666666666666664	
7.65625	24.8	5.0	26.8	15.8	15.625	18	6	31	5	28	17	17	5	26	15	0	0	0.05764579772949219	95	1.163930892944336	52	45.263157894736835	
10.3125	26.4	5.0	26.2	15.2	15.625	19	6	32	5	27	16	20	5	26	15	0	0	0.05704355239868164	100	1.2209744453430176	53	47.0	
7.8499267578125	26.4	4.8	26.4	15.4	15.625	20	6	29	5	28	17	23	4	25	14	0	0	0.046858787536621094	105	1.2678332328796387	55	47.61904761904761	
6.284375	28.0	4.8	26.8	15.8	15.625	21	6	34	5	29	18	22	4	25	14	0	0	0.04358267784118652	110	1.3114159107208252	57	48.18181818181818	
9.765625	26.8	5.0	26.75	15.75	15.625	22	7	33	5.0	28.0	17.0	17	5.0	26.0	15.0	0	0	0.04318881034851074	115	1.354604721069336	57	50.43478260869565	
10.7375	31.2	4.8	26.0	15.0	15.625	23	7	35	5	27	16	28	4	25	14	0	0	0.05472588539123535	120	1.4093306064605713	57	52.5	
14.0625	29.6	5.0	26.2	15.2	15.625	24	7	32	5	27	16	28	5	26	15	0	0	0.06698131561279297	125	1.4763119220733643	57	54.4	
9.7119140625	29.6	5.0	27.0	16.0	15.625	25	7	45	5	29	18	18	5	26	15	0	0	0.05886554718017578	130	1.53517746925354	59	54.61538461538461	
11.5625	34.8	5.0	26.2	15.2	15.625	26	7	45	5	27	16	28	5	26	15	0	0	0.05503058433532715	135	1.5902080535888672	60	55.55555555555556	
10.3125	34.4	5.0	26.4	15.4	15.625	27	7	54	5	27	16	18	5	26	15	0	0	0.10357451438903809	140	1.6937825679779053	61	56.42857142857143	
