# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.519321986607143016e-01,6.283661116307278638e-01,3.014285714285714235e+01,9.544738907708607556e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.122857142857142776e+01,6.452337023220703349e-01,2.022857142857142776e+01,6.452337023220696688e-01,1.519048781622023725e+00,1.627979300209483116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.628571428571428470e+01,1.749635530559412899e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.871428571428571530e+01,1.277753129999879667e+00,1.771428571428571530e+01,1.277753129999879667e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.739514282771519094e-01,6.702362068680489671e-02,2.739514282771519094e-01,6.702362068680489671e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.913280668712797672e-01,6.316082019295938821e-01,2.857142857142857295e+01,1.708561872882977672e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.027857142857142847e+01,4.438927982368383041e-01,1.927857142857142847e+01,4.438927982368383041e-01,1.984078543526785809e+00,1.532554132084493981e+00,1.428571428571428492e-01,3.499271061118826021e-01,3.942857142857143060e+01,6.020373573058708239e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.242857142857143060e+01,4.948716593053935076e-01,2.142857142857142705e+01,4.948716593053935076e-01,2.085714285714285765e+01,3.313546715640915075e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.814285714285714235e+01,9.897433186107870151e-01,1.714285714285714235e+01,9.897433186107870151e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.251283100673126814e-02,1.711846839533247289e-02,3.464642592838832469e-01,8.081981643502633705e-02,8.857142857142857650e+00,3.499271061118825465e-01,1.142857142857142883e+01,3.499271061118825799e+00
1.006803966703869069e+00,8.872360594017748570e-01,2.597142857142857153e+01,2.634775287633944085e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.977857142857142847e+01,5.304022347353420930e-01,1.877857142857142847e+01,5.304022347353420930e-01,2.095685686383928381e+00,1.467981804931375533e+00,5.714285714285713969e-01,4.948716593053935076e-01,3.442857142857143060e+01,8.533248298896044304e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.142857142857142705e+01,9.035079029052512922e-01,2.042857142857142705e+01,9.035079029052512922e-01,1.671428571428571530e+01,4.025429372458677157e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.828571428571428470e+01,1.030157507275425433e+00,1.728571428571428470e+01,1.030157507275425433e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.129076548985066597e-02,3.125141596734924698e-02,4.177550247737339406e-01,9.064981381500294977e-02,1.114285714285714235e+01,1.124858267715973081e+00,2.571428571428571885e+01,7.499055118106492834e+00
1.282642909458705294e+00,1.048627717093311151e+00,2.482857142857142563e+01,3.155817433482074996e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.932142857142857295e+01,8.911698342456325639e-01,1.832142857142857295e+01,8.911698342456325639e-01,2.684674944196428381e+00,1.905773075741736156e+00,1.142857142857142794e+00,8.329931278350428681e-01,3.400000000000000000e+01,7.502380574571932748e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.042857142857142705e+01,1.178030178747903056e+00,1.942857142857142705e+01,1.178030178747903056e+00,1.542857142857142883e+01,5.095015571464859505e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.828571428571428470e+01,1.030157507275425433e+00,1.728571428571428470e+01,1.030157507275425433e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.366921016148153922e-02,7.414931388080915620e-02,5.114242349352154937e-01,1.407656460086239292e-01,1.328571428571428648e+01,1.277753129999879889e+00,3.357142857142856940e+01,6.388765649999397667e+00
1.797979445684523725e+00,1.490165153556818778e+00,2.648571428571428754e+01,4.253210072212205262e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.918095238095238031e+01,7.427655621204500846e-01,1.818095238095238386e+01,7.427655621204499736e-01,3.333391462053571619e+00,2.556992050433013919e+00,2.000000000000000000e+00,1.309307341415954173e+00,3.514285714285714590e+01,8.935140440635365167e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.028571428571428470e+01,1.030157507275425433e+00,1.928571428571428470e+01,1.030157507275425433e+00,1.700000000000000000e+01,4.535573676110726815e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.814285714285714235e+01,9.897433186107870151e-01,1.714285714285714235e+01,9.897433186107870151e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.059012140546520875e-02,3.041642615910038205e-02,5.820143563406807719e-01,1.665807460057477651e-01,1.542857142857142883e+01,1.399708424447530408e+00,3.828571428571428470e+01,5.598833697790120745e+00
1.981491815476190466e+00,1.714224889031902288e+00,2.762857142857142989e+01,3.909590510422244591e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,7.708992893275457003e-01,1.800000000000000000e+01,7.708992893275457003e-01,3.671700613839285587e+00,2.760686320179266406e+00,2.000000000000000000e+00,1.309307341415954173e+00,3.285714285714285410e+01,4.085814184592882370e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.028571428571428470e+01,1.030157507275425433e+00,1.928571428571428470e+01,1.030157507275425433e+00,2.371428571428571530e+01,4.919764387920732673e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.785714285714285765e+01,9.897433186107870151e-01,1.685714285714285765e+01,9.897433186107870151e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.201736927032470287e-01,4.826883483794010277e-02,7.021880490439278422e-01,1.922464333236345579e-01,1.842857142857142705e+01,1.049781318335647917e+00,3.857142857142856940e+01,3.499271061118823578e+00
1.839919317336309534e+00,1.833635488556516480e+00,2.691428571428571459e+01,4.607890304816780080e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.878095238095238173e+01,7.796737500150840994e-01,1.778095238095238173e+01,7.796737500150840994e-01,3.733607700892857206e+00,2.691362132434598209e+00,2.571428571428571619e+00,1.916629694999819833e+00,3.585714285714285410e+01,7.971889387602116628e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,9.258200997725514192e-01,1.900000000000000000e+01,9.258200997725514192e-01,1.757142857142857295e+01,6.067645880455800445e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.771428571428571530e+01,8.806305718527108750e-01,1.671428571428571530e+01,8.806305718527108750e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.353230885096957714e-02,2.875448684331021604e-02,7.757203578948974609e-01,2.125710223598721860e-01,2.071428571428571530e+01,8.806305718527107640e-01,4.081632653061224403e+01,2.516087348150604974e+00
2.958315894717262307e+00,3.049916554373430344e+00,2.625714285714285978e+01,5.286872459986457606e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.840714285714286191e+01,7.848696759101256859e-01,1.740714285714285481e+01,7.848696759101256859e-01,5.547223772321428825e+00,5.216559641190540830e+00,3.142857142857142794e+00,2.531435020952764514e+00,3.442857142857143060e+01,9.005667149985420394e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.957142857142857295e+01,1.049781318335647917e+00,1.857142857142857295e+01,1.049781318335647917e+00,1.857142857142857295e+01,3.922722919355994708e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.728571428571428470e+01,8.806305718527107640e-01,1.628571428571428470e+01,8.806305718527107640e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.821359906877785817e-02,3.230457760093861236e-02,8.439339569636753469e-01,2.351587682735243878e-01,2.314285714285714235e+01,6.388765649999398333e-01,4.214285714285714590e+01,1.597191412499848751e+00
3.183274042038690244e+00,3.060742470504601354e+00,2.648571428571428754e+01,4.315893740062444195e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.834047619047618483e+01,1.030636155174918578e+00,1.734047619047618838e+01,1.030636155174918578e+00,5.547223772321428825e+00,5.216559641190540830e+00,4.000000000000000000e+00,2.390457218668787132e+00,3.785714285714285410e+01,1.052111579401255348e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.942857142857142705e+01,9.035079029052512922e-01,1.842857142857142705e+01,9.035079029052512922e-01,1.657142857142857295e+01,4.304719763805532118e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.728571428571428470e+01,1.277753129999879667e+00,1.628571428571428470e+01,1.277753129999879667e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.523949759347094646e-02,3.631152345188171093e-02,9.091734545571463766e-01,2.614268825494593940e-01,2.500000000000000000e+01,1.069044967649697586e+00,4.444444444444444287e+01,2.375655483665989998e+00
3.777800060453869069e+00,4.200516481811675362e+00,2.794285714285714306e+01,5.877525510148720933e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.848571428571428754e+01,1.209992410163411414e+00,1.748571428571428399e+01,1.209992410163410970e+00,5.547223772321428825e+00,5.216559641190540830e+00,4.428571428571428825e+00,2.498979383505128826e+00,3.814285714285714590e+01,1.094699660609600933e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.971428571428571530e+01,1.385051387833236669e+00,1.871428571428571530e+01,1.385051387833236669e+00,2.100000000000000000e+01,6.164414002968976014e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.742857142857142705e+01,1.178030178747903278e+00,1.642857142857142705e+01,1.178030178747903278e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.192775181361603376e-02,2.209016986979553746e-02,9.811012063707623687e-01,2.774379993561536528e-01,2.671428571428571530e+01,1.277753129999879667e+00,4.657142857142856940e+01,2.555506259999762442e+00
