# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.573730468750000000e-01,3.905529718749199963e-01,3.039999999999999858e+01,8.485281374238575758e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,5.796550698475788632e-01,2.039999999999999858e+01,5.796550698475779750e-01,1.533203125000000000e+00,1.028687037676850879e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,1.549193338482966809e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.166190378969060193e+00,1.819999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.769762992858886219e-01,1.489711999690475873e-02,1.769762992858886219e-01,1.489711999690475873e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290527343750000000e+00,7.644270263333624582e-01,2.900000000000000000e+01,1.663730747446833025e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.031000000000000227e+01,2.537715508089904426e-01,1.930999999999999872e+01,2.537715508089904426e-01,3.623046875000000000e+00,2.921929833208749994e+00,2.000000000000000111e-01,4.000000000000000777e-01,3.920000000000000284e+01,4.955804677345547304e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.180000000000000071e+01,3.999999999999999667e-01,2.080000000000000071e+01,3.999999999999999667e-01,2.080000000000000071e+01,4.166533331199931744e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.860000000000000142e+01,1.019803902718556810e+00,1.760000000000000142e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.474005699157707766e-02,4.716892136344000633e-03,2.217163562774657759e-01,1.687451407306820791e-02,8.599999999999999645e+00,7.999999999999999334e-01,1.400000000000000000e+01,8.000000000000000000e+00
2.261108398437500000e+00,1.385690420634172915e+00,3.144000000000000483e+01,8.571020942688216238e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.966000000000000369e+01,6.916646586316234080e-01,1.866000000000000014e+01,6.916646586316234080e-01,4.912109375000000000e+00,3.649731686279956921e+00,4.000000000000000222e-01,4.898979485566356540e-01,3.920000000000000284e+01,1.200666481584290679e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.095445115010332149e+00,2.000000000000000000e+01,1.095445115010332149e+00,2.180000000000000071e+01,6.337191807101944185e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,9.797958971132711969e-01,1.719999999999999929e+01,9.797958971132711969e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.645314216613764119e-02,7.238032239905885235e-03,2.681694984436034934e-01,1.898801438652753318e-02,1.059999999999999964e+01,1.496662954709576443e+00,2.933333333333333570e+01,9.977753031397174510e+00
3.520385742187500000e+00,2.980019321779042052e+00,3.267999999999999972e+01,9.610494264084444183e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.908999999999999631e+01,9.446692542895637201e-01,1.808999999999999986e+01,9.446692542895634981e-01,5.537109375000000000e+00,4.523456052962815832e+00,8.000000000000000444e-01,7.483314773547883325e-01,3.939999999999999858e+01,1.109233969908963857e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,9.797958971132713080e-01,1.919999999999999929e+01,9.797958971132713080e-01,2.560000000000000142e+01,9.931767214348109718e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000071e+01,7.483314773547882215e-01,1.680000000000000071e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.504318237304681671e-02,8.631502762220012032e-03,3.132126808166503240e-01,2.739169794702875707e-02,1.319999999999999929e+01,1.939071942966531514e+00,3.400000000000000000e+01,9.695359714832658682e+00
3.689697265625000000e+00,3.635869173818571998e+00,3.292000000000000171e+01,7.713468739808311270e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.892999999999999972e+01,1.075918212505021510e+00,1.792999999999999972e+01,1.075918212505021510e+00,8.037109375000000000e+00,8.959693509718171356e+00,1.199999999999999956e+00,9.797958971132711969e-01,4.379999999999999716e+01,6.209669878504008977e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999858e+01,1.496662954709576443e+00,1.939999999999999858e+01,1.496662954709576443e+00,2.119999999999999929e+01,9.152048950918040049e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.719999999999999929e+01,9.797958971132713080e-01,1.619999999999999929e+01,9.797958971132713080e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.294385910034176357e-02,9.089000240449372076e-03,3.561565399169921986e-01,3.344962847971535980e-02,1.639999999999999858e+01,1.854723699099140699e+00,3.439999999999999858e+01,7.418894796396562796e+00
5.345214843750000000e+00,5.539025913219920660e+00,3.635999999999999943e+01,8.550461975823294480e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.872000000000000597e+01,1.183891886955899642e+00,1.771999999999999886e+01,1.183891886955899642e+00,8.388671875000000000e+00,8.753857443527484961e+00,1.199999999999999956e+00,9.797958971132711969e-01,4.160000000000000142e+01,9.666436778875658220e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000071e+01,1.166190378969060193e+00,1.880000000000000071e+01,1.166190378969060193e+00,3.200000000000000000e+01,8.786353054595519296e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.760000000000000142e+01,1.019803902718557032e+00,1.660000000000000142e+01,1.019803902718557032e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.355848312377924969e-02,1.625816186730629290e-02,4.197150230407714622e-01,4.178861854736514586e-02,1.980000000000000071e+01,2.039607805437114063e+00,3.400000000000000000e+01,6.798692684790374585e+00
5.278747558593750000e+00,6.367038431353355676e+00,3.596000000000000085e+01,7.264599094237754962e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.881000000000000227e+01,1.099272486692903117e+00,1.781000000000000227e+01,1.099272486692903117e+00,8.701171875000000000e+00,8.529612401494370388e+00,1.399999999999999911e+00,1.356465996625053627e+00,4.660000000000000142e+01,9.286549412995119823e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,1.469693845669906684e+00,1.919999999999999929e+01,1.469693845669906684e+00,2.660000000000000142e+01,5.571355310873647326e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.739999999999999858e+01,7.999999999999999334e-01,1.639999999999999858e+01,7.999999999999999334e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.750532150268548859e-02,1.294720328019116976e-02,4.772203445434570201e-01,3.630539472897826442e-02,2.339999999999999858e+01,1.743559577416269324e+00,3.314285714285714590e+01,4.981598792617914384e+00
7.542114257812500000e+00,7.919637634971716800e+00,3.448000000000000398e+01,6.476542287362910599e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.848000000000000043e+01,1.155248890932165873e+00,1.748000000000000043e+01,1.155248890932166317e+00,1.338867187500000000e+01,1.344001214253921539e+01,1.800000000000000044e+00,1.720465053408525513e+00,4.679999999999999716e+01,5.153639490690049563e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000071e+01,1.599999999999999867e+00,1.880000000000000071e+01,1.599999999999999867e+00,2.480000000000000071e+01,8.863407922464134003e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.719999999999999929e+01,7.483314773547882215e-01,1.619999999999999929e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.481348991394036585e-02,8.582096578048214325e-03,5.220338344573974831e-01,4.187736344577012992e-02,2.580000000000000071e+01,2.039607805437113619e+00,3.550000000000000000e+01,5.099019513592787156e+00
7.310221354166666963e+00,6.881208571854916300e+00,3.848000000000000398e+01,1.010235616081713950e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.816000000000000369e+01,6.118823416311346408e-01,1.716000000000000369e+01,6.118823416311346408e-01,1.713867187500000000e+01,1.664613730957129789e+01,2.200000000000000178e+00,2.481934729198171485e+00,4.900000000000000000e+01,1.126055060820739762e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.960000000000000142e+01,1.019803902718557032e+00,1.860000000000000142e+01,1.019803902718557032e+00,2.800000000000000000e+01,9.797958971132711525e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,8.944271909999158554e-01,1.600000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.702501296997063651e-02,1.184879686676167977e-02,5.690588474273681197e-01,5.138146481825131562e-02,2.839999999999999858e+01,2.154065922853801940e+00,3.688888888888889284e+01,4.786813161897336855e+00
7.394775390625000000e+00,7.937348987614639029e+00,3.871999999999999886e+01,1.034493112591862563e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.811000000000000298e+01,8.968834929911466691e-01,1.710999999999999943e+01,8.968834929911466691e-01,1.713867187500000000e+01,1.664613730957129789e+01,2.600000000000000089e+00,2.800000000000000266e+00,4.839999999999999858e+01,1.158619868636819206e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.939999999999999858e+01,1.356465996625053627e+00,1.839999999999999858e+01,1.356465996625053627e+00,2.839999999999999858e+01,1.007174264961133758e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,8.944271909999158554e-01,1.600000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.111045837402337921e-02,7.110247367798763762e-03,6.201693058013916238e-01,5.647471453953639003e-02,3.160000000000000142e+01,1.624807680927192077e+00,3.679999999999999716e+01,3.249615361854384155e+00
