# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.552734375000000000e+00,4.394531250000000000e-01,3.060000000000000142e+01,2.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,1.000000000000014211e-01,2.050000000000000000e+01,1.000000000000014211e-01,4.687500000000000000e+00,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.296200990676879883e-01,3.359162807464599609e-02,2.296200990676879883e-01,3.359162807464599609e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.640625000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,1.000000000000014211e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,1.000000000000014211e-01,1.950000000000000000e+01,1.000000000000014211e-01,4.687500000000000000e+00,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,1.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.502761363983150134e-02,2.211213111877399773e-03,2.746477127075195312e-01,3.580284118652340974e-02,9.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.777343750000000000e+00,1.953125000000000000e-02,2.820000000000000284e+01,1.400000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.064999999999999858e+01,1.500000000000003553e-01,1.964999999999999858e+01,1.500000000000003553e-01,4.687500000000000000e+00,1.562500000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.650000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.237544536590569927e-02,3.362774848938002159e-03,3.170231580734252375e-01,3.244006633758544922e-02,1.000000000000000000e+01,0.000000000000000000e+00,3.333333333333334281e+01,0.000000000000000000e+00
2.031250000000000000e+00,4.687500000000000000e-01,2.689999999999999858e+01,9.999999999999964473e-02,5.000000000000000000e+00,0.000000000000000000e+00,3.029999999999999716e+01,9.999999999999964473e-02,1.929999999999999716e+01,9.999999999999964473e-02,6.250000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.300000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.050000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.527390003204345009e-02,3.555893898010246967e-03,3.622970581054686945e-01,3.599596023559570312e-02,1.300000000000000000e+01,1.000000000000000000e+00,3.500000000000000000e+01,5.000000000000000000e+00
2.031250000000000000e+00,3.125000000000000000e-01,2.850000000000000000e+01,2.100000000000001421e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.032499999999999929e+01,7.499999999999928946e-02,1.932499999999999929e+01,7.499999999999928946e-02,6.250000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.859937191009520097e-02,4.384636878967299034e-03,4.008964300155639648e-01,3.161132335662844572e-02,1.500000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+01,3.999999999999996447e+00
4.726562500000000000e+00,3.085937500000000000e+00,2.350000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.947500000000000142e+01,7.249999999999996447e-01,1.847500000000000142e+01,7.249999999999996447e-01,9.375000000000000000e+00,3.125000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,2.750000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,2.050000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.736660003662105212e-02,3.426074981689453125e-04,4.682630300521850586e-01,3.126871585845944490e-02,1.700000000000000000e+01,0.000000000000000000e+00,4.333333333333333570e+01,0.000000000000000000e+00
4.003906250000000000e+00,6.835937500000000000e-01,2.429999999999999716e+01,1.900000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.947500000000000142e+01,2.750000000000003553e-01,1.847500000000000142e+01,2.750000000000003553e-01,9.375000000000000000e+00,3.125000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.150000000000000000e+01,7.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.119062423706049830e-02,1.083946228027340107e-02,5.094536542892456055e-01,4.210817813873291016e-02,2.050000000000000000e+01,5.000000000000000000e-01,4.142857142857143060e+01,1.428571428571430602e+00
6.171875000000000000e+00,7.031250000000000000e-01,2.279999999999999716e+01,5.999999999999996447e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.887500000000000000e+01,1.250000000000000000e-01,1.787500000000000000e+01,1.250000000000000000e-01,1.250000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,2.700000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.670774936676019840e-02,9.739756584167501285e-03,5.561614036560058594e-01,5.184793472290039062e-02,2.300000000000000000e+01,0.000000000000000000e+00,4.250000000000000711e+01,0.000000000000000000e+00
6.445312500000000000e+00,2.148437500000000000e+00,2.289999999999999858e+01,7.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.879166666666666430e+01,5.416666666666642982e-01,1.779166666666666430e+01,5.416666666666642982e-01,1.250000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.650000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.000000000000000000e-01,1.950000000000000000e+01,5.000000000000000000e-01,1.050000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,1.650000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.874922752380364849e-02,7.059097290039048622e-03,5.849106311798095703e-01,5.890703201293945312e-02,2.500000000000000000e+01,1.000000000000000000e+00,4.444444444444444287e+01,2.222222222222214327e+00
6.484375000000000000e+00,1.015625000000000000e+00,2.350000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.812500000000000000e+01,1.250000000000000000e-01,1.712500000000000000e+01,1.250000000000000000e-01,1.250000000000000000e+01,0.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e-01,3.400000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,1.650000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.027783870697020097e-02,8.280634880065900622e-03,6.251884698867797852e-01,6.718766689300537109e-02,2.800000000000000000e+01,1.000000000000000000e+00,4.400000000000000000e+01,1.999999999999996447e+00
6.718750000000000000e+00,4.687500000000000000e-01,2.720000000000000284e+01,6.400000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.810000000000000142e+01,2.999999999999989342e-01,1.710000000000000142e+01,2.999999999999989342e-01,1.250000000000000000e+01,0.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e-01,3.500000000000000000e+01,1.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000000e+00,2.050000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.433619976043695621e-02,7.513761520385499326e-04,6.695246696472167969e-01,6.643629074096679688e-02,3.150000000000000000e+01,1.500000000000000000e+00,4.272727272727273373e+01,2.727272727272730179e+00
