ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.41015625	30.4	5.0	31.4	20.4	1.171875	0	0	36	5	35	24	28	5	30	19	0	0	0.248060941696167	5	0.248060941696167	5	0.0	
2.1875	29.2	5.0	30.4	19.4	4.6875	1	0	33	5	32	21	25	5	29	18	0	0	0.04596138000488281	10	0.2940223217010498	9	10.0	
3.203125	29.0	5.0	30.4	19.4	7.8125	2	0	36	5	33	22	23	5	28	17	0	0	0.050232887268066406	15	0.3442552089691162	13	13.333333333333329	
5.9765625	29.8	5.0	30.0	19.0	18.75	3	0	38	5	33	22	22	5	27	16	0	0	0.1261577606201172	20	0.4704129695892334	17	15.0	
6.953125	29.0	5.0	29.4	18.4	18.75	4	0	34	5	32	21	23	5	27	16	0	0	0.0823366641998291	25	0.5527496337890625	21	16.0	
9.1796875	28.0	5.0	27.75	16.75	18.75	5	1	40	5.0	29.0	18.0	16	5.0	27.0	16.0	0	0	0.08487057685852051	30	0.637620210647583	24	20.0	
13.59375	35.2	5.0	27.4	16.4	18.75	6	1	41	5	28	17	28	5	27	16	0	0	0.05999565124511719	35	0.6976158618927002	27	22.857142857142847	
15.2734375	36.8	5.0	27.8	16.8	37.5	7	1	45	5	30	19	28	5	26	15	0	0	0.06454157829284668	40	0.7621574401855469	31	22.5	
23.125	34.8	5.0	26.8	15.8	37.5	8	1	45	5	28	17	28	5	26	15	0	0	0.06300973892211914	45	0.825167179107666	34	24.444444444444443	
15.625	39.0	5.0	27.8	16.8	37.5	9	1	47	5	30	19	33	5	26	15	0	0	0.05209016799926758	50	0.8772573471069336	38	24.0	
17.65625	43.0	5.0	27.4	16.4	37.5	10	1	47	5	29	18	35	5	26	15	0	0	0.05925631523132324	55	0.9365136623382568	41	25.454545454545453	
22.5	40.2	5.0	26.6	15.6	37.5	11	1	44	5	27	16	35	5	26	15	0	0	0.06251788139343262	60	0.9990315437316895	42	30.0	
21.25	36.4	5.0	26.8	15.8	37.5	12	1	42	5	28	17	29	5	26	15	0	0	0.05714583396911621	65	1.0561773777008057	45	30.769230769230774	
25.0	33.8	5.0	26.6	15.6	37.5	13	1	41	5	27	16	29	5	26	15	0	0	0.05590415000915527	70	1.112081527709961	47	32.85714285714286	
21.5625	35.0	5.0	27.4	16.4	37.5	14	1	45	5	30	19	25	5	26	15	0	0	0.05788016319274902	75	1.16996169090271	50	33.33333333333334	
27.1875	38.2	5.0	26.8	15.8	37.5	15	1	45	5	29	18	33	5	26	15	0	0	0.05699968338012695	80	1.226961374282837	52	35.0	
18.75	36.2	5.0	27.4	16.4	37.5	16	1	44	5	31	20	24	5	26	15	0	0	0.05092215538024902	85	1.277883529663086	55	35.294117647058826	
22.5	35.0	5.0	26.8	15.8	37.5	17	1	42	5	28	17	28	5	26	15	0	0	0.05715465545654297	90	1.335038185119629	59	34.44444444444444	
16.796875	36.6	5.0	27.4	16.4	37.5	18	1	51	5	29	18	26	5	26	15	0	0	0.05225372314453125	95	1.3872919082641602	62	34.73684210526315	
16.5625	27.8	5.0	27.4	16.4	37.5	19	1	35	5	29	18	21	5	26	15	0	0	0.05307579040527344	100	1.4403676986694336	64	36.0	
13.020833333333334	27.8	5.0	28.0	17.0	37.5	20	3	36	5.0	29.0	18.0	16	5.0	26.0	15.0	0	0	0.02515125274658203	105	1.4655189514160156	66	37.142857142857146	
30.0	35.2	5.0	27.0	16.0	37.5	21	3	47	5	31	20	24	5	26	15	0	0	0.0786278247833252	110	1.5441467761993408	67	39.090909090909086	
26.5625	39.8	5.0	26.8	15.8	37.5	22	3	47	5	29	18	35	5	26	15	0	0	0.06093788146972656	115	1.6050846576690674	69	40.0	
26.5625	39.8	5.0	26.4	15.4	37.5	23	3	47	5	27	16	35	5	26	15	0	0	0.06463408470153809	120	1.6697187423706055	72	40.0	
17.96875	35.2	5.0	27.0	16.0	37.5	24	3	40	5	28	17	30	5	26	15	0	0	0.06430935859680176	125	1.7340281009674072	76	39.2	
25.0	37.4	5.0	26.8	15.8	43.75	25	3	46	5	28	17	29	5	26	15	0	0	0.09981298446655273	130	1.83384108543396	79	39.23076923076923	
30.0	41.0	5.0	26.0	15.0	43.75	26	3	45	5	26	15	38	5	26	15	0	0	0.06855559349060059	135	1.9023966789245605	79	41.48148148148149	
24.0625	39.4	5.0	27.0	16.0	43.75	27	3	46	5	29	18	30	5	26	15	0	0	0.09370756149291992	140	1.9961042404174805	81	42.14285714285714	
14.2875	42.2	4.6	26.2	15.2	43.75	28	3	50	5	28	17	33	4	25	14	0	0	0.06801319122314453	145	2.064117431640625	83	42.75862068965517	
23.125	40.2	5.0	26.8	15.8	43.75	29	3	45	5	27	16	33	5	26	15	0	0	0.19797730445861816	150	2.262094736099243	85	43.333333333333336	
25.3125	35.8	5.0	26.8	15.8	43.75	30	3	45	5	28	17	30	5	26	15	0	0	0.18148088455200195	155	2.443575620651245	87	43.87096774193549	
19.375	42.6	5.0	27.6	16.6	43.75	31	3	54	5	31	20	24	5	26	15	0	0	0.05870318412780762	160	2.5022788047790527	89	44.375	
21.5625	45.0	5.0	27.0	16.0	43.75	32	3	57	5	28	17	33	5	26	15	0	0	0.0668950080871582	165	2.569173812866211	93	43.63636363636364	
26.25	50.6	5.0	26.8	15.8	43.75	33	3	61	5	28	17	45	5	26	15	0	0	0.06832027435302734	170	2.6374940872192383	95	44.11764705882353	
21.5625	47.4	5.0	26.8	15.8	43.75	34	3	64	5	27	16	38	5	26	15	0	0	0.06488585472106934	175	2.7023799419403076	98	43.99999999999999	
19.8	45.0	4.8	26.4	15.4	43.75	35	3	48	5	28	17	42	4	25	14	0	0	0.05239415168762207	180	2.7547740936279297	101	43.888888888888886	
20.9375	43.6	5.0	27.0	16.0	43.75	36	3	52	5	28	17	37	5	26	15	0	0	0.06412100791931152	185	2.818895101547241	105	43.24324324324324	
