# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
2.832031250000000000e-01,8.976941558032341950e-02,3.093333333333333712e+01,4.988876515698599245e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.173333333333333428e+01,3.399346342395205833e-01,2.073333333333333428e+01,3.399346342395189180e-01,8.138020833333333703e-01,2.800236089532105455e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.766666666666666785e+01,4.714045207910316782e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,4.714045207910316782e-01,1.866666666666666785e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.080145517985026227e-01,7.092684979723483385e-02,3.080145517985026227e-01,7.092684979723483385e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050618489583333259e+00,8.186064240784171053e-01,2.939999999999999503e+01,7.483314773547872223e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.076666666666666572e+01,5.185449728701354566e-01,1.976666666666666572e+01,5.185449728701354566e-01,2.473958333333333481e+00,1.636693371090694571e+00,3.333333333333333148e-01,4.714045207910316782e-01,4.033333333333333570e+01,5.436502143433363798e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.266666666666666430e+01,4.714045207910316782e-01,2.166666666666666785e+01,4.714045207910316782e-01,1.933333333333333215e+01,4.027681991198191369e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866666666666666785e+01,4.714045207910316782e-01,1.766666666666666785e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.031608581542963199e-02,1.015151943100202521e-02,3.683306376139323102e-01,7.753779428977507215e-02,8.666666666666666075e+00,4.714045207910316782e-01,1.333333333333333393e+01,4.714045207910316115e+00
2.032063802083333481e+00,1.315064382423444478e+00,2.653333333333333144e+01,3.630733014450694629e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.988333333333333641e+01,1.180630716561655635e+00,1.888333333333333286e+01,1.180630716561655635e+00,4.427083333333333037e+00,2.876396098225849407e+00,1.000000000000000000e+00,8.164965809277260345e-01,3.766666666666666430e+01,5.436502143433363798e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.166666666666666785e+01,1.885618083164126713e+00,2.066666666666666785e+01,1.885618083164126713e+00,1.733333333333333215e+01,4.189935029992177817e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,4.714045207910316782e-01,1.733333333333333215e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.814544359842933191e-02,7.490237695997325161e-03,4.264760812123616351e-01,7.802741369680427086e-02,1.200000000000000000e+01,8.164965809277260345e-01,2.000000000000000000e+01,5.443310539518177116e+00
3.227539062500000000e+00,2.250572273097927845e+00,2.920000000000000284e+01,1.451436070471816997e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.956666666666666643e+01,9.877021593352705020e-01,1.856666666666666643e+01,9.877021593352705020e-01,8.072916666666666075e+00,7.716423119806798958e+00,1.333333333333333259e+00,1.247219128924647036e+00,3.900000000000000000e+01,4.546060565661951713e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.133333333333333215e+01,1.247219128924647036e+00,2.033333333333333215e+01,1.247219128924647036e+00,1.933333333333333215e+01,3.771236166328253425e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.766666666666666785e+01,9.428090415820633563e-01,1.666666666666666785e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.809208869934077868e-02,2.713600244553229443e-02,5.145681699117025110e-01,6.366596276842122204e-02,1.500000000000000000e+01,1.632993161855452069e+00,2.500000000000000000e+01,8.164965809277260789e+00
4.459635416666666963e+00,2.715444765107998037e+00,2.806666666666666643e+01,1.761312641816387359e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.915555555555555500e+01,1.344765801813980532e+00,1.815555555555555500e+01,1.344765801813980532e+00,9.781901041666666075e+00,7.315786523387859397e+00,2.000000000000000000e+00,2.160246899469286941e+00,3.966666666666666430e+01,8.013876853447538195e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.066666666666666785e+01,1.885618083164126713e+00,1.966666666666666785e+01,1.885618083164126713e+00,2.000000000000000000e+01,4.242640687119284770e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,1.247219128924647036e+00,1.633333333333333215e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.058620452880856599e-02,2.794675710766223939e-02,5.851543744405111047e-01,8.530248962155101422e-02,1.766666666666666785e+01,2.494438257849294072e+00,2.933333333333333215e+01,9.977753031397176287e+00
5.922851562500000000e+00,3.681668687033857967e+00,2.966666666666666785e+01,5.755770051773166252e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.848333333333333428e+01,1.987600451689311321e+00,1.748333333333333428e+01,1.987600451689311321e+00,9.781901041666666075e+00,7.315786523387859397e+00,2.666666666666666519e+00,1.699673171197594979e+00,4.066666666666666430e+01,7.363574011458174695e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.933333333333333215e+01,2.054804667656325634e+00,1.833333333333333215e+01,2.054804667656325634e+00,1.933333333333333215e+01,4.714045207910316115e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,2.160246899469286941e+00,1.700000000000000000e+01,2.160246899469286941e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.848627408345537126e-02,1.000842527563206887e-02,6.736406485239664343e-01,7.683545023157972720e-02,2.033333333333333215e+01,2.624669291337270227e+00,3.222222222222222143e+01,8.748897637790902237e+00
7.252669270833333570e+00,4.848943211975448975e+00,3.533333333333333570e+01,7.185788443556877070e+00,4.933333333333333570e+00,9.428090415820641890e-02,2.793333333333333357e+01,1.835453319724826837e+00,1.693333333333333357e+01,1.835453319724826837e+00,1.157226562500000000e+01,5.279913799083153947e+00,2.666666666666666519e+00,1.699673171197594979e+00,4.233333333333333570e+01,9.030811456096044409e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,2.160246899469286941e+00,1.800000000000000000e+01,2.160246899469286941e+00,2.933333333333333215e+01,5.792715732327588185e+00,4.666666666666666963e+00,4.714045207910316782e-01,2.666666666666666785e+01,1.247219128924647036e+00,1.566666666666666607e+01,1.247219128924647036e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.728758494059239703e-02,2.874898208956554527e-02,7.609282334645589563e-01,1.039360384084723060e-01,2.333333333333333215e+01,2.624669291337270227e+00,3.333333333333333570e+01,7.499055118106491946e+00
8.883463541666666075e+00,4.614505534667971531e+00,3.413333333333333286e+01,4.795368135561186129e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.783333333333333215e+01,1.102522360569414772e+00,1.683333333333333215e+01,1.102522360569414772e+00,1.988932291666666785e+01,1.249906748366271181e+01,3.000000000000000000e+00,1.632993161855452069e+00,4.433333333333333570e+01,2.494438257849294072e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.933333333333333215e+01,1.699673171197594979e+00,1.833333333333333215e+01,1.699673171197594979e+00,2.500000000000000000e+01,6.480740698407860378e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.157286961873367076e-02,3.433838114118879532e-03,8.225011030832926062e-01,1.055288260581169757e-01,2.633333333333333215e+01,3.681787005729087348e+00,3.416666666666666430e+01,9.204467514322715260e+00
1.212565104166666607e+01,7.804815285160239924e+00,3.186666666666666359e+01,6.388183535942660640e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.719999999999999929e+01,8.640987597877144433e-01,1.619999999999999929e+01,8.640987597877138882e-01,1.988932291666666785e+01,1.249906748366271181e+01,3.000000000000000000e+00,1.632993161855452069e+00,4.033333333333333570e+01,9.568466729604882204e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,1.247219128924647036e+00,1.733333333333333215e+01,1.247219128924647036e+00,2.400000000000000000e+01,3.741657386773941329e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.069094975789382007e-02,1.692234133573818078e-02,8.931920528411865234e-01,1.223927692338528939e-01,2.900000000000000000e+01,3.741657386773941329e+00,3.555555555555555003e+01,8.314794192830980535e+00
1.083658854166666607e+01,3.386953151930886197e+00,3.433333333333333570e+01,8.055363982396380962e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.721666666666666856e+01,6.883958809354465691e-01,1.621666666666666856e+01,6.883958809354465691e-01,1.992187500000000000e+01,1.247963836406795224e+01,3.333333333333333481e+00,1.699673171197594979e+00,4.133333333333333570e+01,5.436502143433363798e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,1.247219128924647036e+00,1.733333333333333215e+01,1.247219128924647036e+00,2.800000000000000000e+01,1.157583690279022548e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.179825464884436403e-02,8.067329225039844218e-03,9.549903074900308875e-01,1.290710272195330077e-01,3.200000000000000000e+01,4.898979485566355763e+00,3.600000000000000000e+01,9.797958971132711525e+00
1.348307291666666607e+01,4.445589765689176964e+00,3.746666666666666146e+01,6.206090198793082102e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,4.320493798938574437e-01,1.599999999999999822e+01,4.320493798938566665e-01,2.877604166666666785e+01,1.345752101844190207e+01,3.333333333333333481e+00,1.699673171197594979e+00,4.233333333333333570e+01,4.109609335312651268e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,3.233333333333333570e+01,6.798692684790379914e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.065240542093907672e-02,1.242604225544285089e-02,1.025642712910969978e+00,1.410987518870787383e-01,3.466666666666666430e+01,4.921607686744467358e+00,3.696969696969697594e+01,8.948377612262671477e+00
1.807942708333333215e+01,6.224033243534554671e+00,3.500000000000000000e+01,6.523802572120036558e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.640000000000000213e+01,2.828427124746196730e-01,1.540000000000000036e+01,2.828427124746188404e-01,2.877604166666666785e+01,1.345752101844190207e+01,3.666666666666666519e+00,1.885618083164126713e+00,3.933333333333333570e+01,3.681787005729087348e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,8.164965809277260345e-01,1.600000000000000000e+01,8.164965809277260345e-01,2.900000000000000000e+01,1.143095213298816404e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.423465410868323122e-02,4.126755503995677837e-03,1.089877367019653320e+00,1.451714014751576409e-01,3.633333333333333570e+01,4.921607686744467358e+00,3.944444444444444287e+01,8.202679477907445005e+00
1.942708333333333215e+01,6.977393081546267695e+00,3.346666666666666856e+01,6.080204674917522034e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.640000000000000213e+01,3.265986323710907135e-01,1.540000000000000036e+01,3.265986323710907135e-01,2.968750000000000000e+01,1.217012650577908595e+01,3.666666666666666519e+00,1.885618083164126713e+00,3.933333333333333570e+01,5.249338582674540454e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,9.428090415820633563e-01,1.633333333333333215e+01,9.428090415820633563e-01,2.733333333333333215e+01,6.236095644623235401e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.025432586669920487e-02,1.213969084945080643e-02,1.160131692886352539e+00,1.563780839700482928e-01,3.933333333333333570e+01,4.496912521077347513e+00,3.948717948717948190e+01,6.918326955503607323e+00
2.177083333333333215e+01,8.079697253238704135e+00,3.333333333333333570e+01,4.828618389928485577e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,2.494438257849298235e-01,1.533333333333333393e+01,2.494438257849293517e-01,2.968750000000000000e+01,1.217012650577908595e+01,3.666666666666666519e+00,1.885618083164126713e+00,3.933333333333333570e+01,5.436502143433363798e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,8.164965809277260345e-01,1.600000000000000000e+01,8.164965809277260345e-01,2.800000000000000000e+01,4.546060565661951713e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.797694206237786030e-02,1.641881357966771746e-02,1.238108634948730469e+00,1.685974675430961800e-01,4.066666666666666430e+01,4.921607686744467358e+00,4.190476190476190510e+01,7.030868123920665624e+00
1.586276041666666714e+01,4.877486942998746855e+00,3.493333333333333002e+01,3.347967874530591637e+00,4.866666666666666252e+00,1.885618083164128655e-01,2.673333333333333428e+01,5.734883511361745789e-01,1.573333333333333428e+01,5.734883511361745789e-01,2.968750000000000000e+01,1.217012650577908595e+01,3.666666666666666519e+00,1.885618083164126713e+00,4.266666666666666430e+01,4.027681991198191369e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866666666666666785e+01,9.428090415820633563e-01,1.766666666666666785e+01,9.428090415820633563e-01,2.666666666666666785e+01,3.858612300930075456e+00,4.666666666666666963e+00,4.714045207910316782e-01,2.566666666666666785e+01,4.714045207910316782e-01,1.466666666666666607e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.774251619974766353e-02,1.034277707487046664e-02,1.295851151148478264e+00,1.774123529380224051e-01,4.333333333333333570e+01,4.988876515698588143e+00,4.222222222222222143e+01,6.651835354264777678e+00
1.985677083333333215e+01,5.996175041296580410e+00,3.366666666666666430e+01,5.063156678946008071e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.680000000000000071e+01,6.531972647421814271e-01,1.580000000000000249e+01,6.531972647421814271e-01,2.968750000000000000e+01,1.217012650577908595e+01,4.000000000000000000e+00,2.160246899469286941e+00,3.933333333333333570e+01,5.436502143433363798e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,1.699673171197594979e+00,1.733333333333333215e+01,1.699673171197594979e+00,2.566666666666666785e+01,8.339997335464536476e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.184228261311843639e-02,4.903660883557908051e-03,1.357693433761596680e+00,1.761575689403416523e-01,4.500000000000000000e+01,5.715476066494082019e+00,4.375000000000000000e+01,7.144345083117602968e+00
1.627278645833333215e+01,3.332166467516554320e+00,3.466666666666666430e+01,1.892675942210452211e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,5.656854249492376807e-01,1.600000000000000000e+01,5.656854249492376807e-01,3.177083333333333215e+01,9.229190180556953393e+00,4.000000000000000000e+00,2.160246899469286941e+00,4.133333333333333570e+01,1.885618083164126713e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.632993161855452069e+00,1.800000000000000000e+01,1.632993161855452069e+00,2.600000000000000000e+01,2.828427124746190291e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.528019905090326480e-02,1.102103593695260425e-02,1.422973632812500000e+00,1.852457705714956326e-01,4.800000000000000000e+01,5.715476066494082019e+00,4.352941176470589113e+01,6.724089489993036572e+00
2.139322916666666785e+01,4.329226381626174458e+00,3.686666666666666714e+01,1.407914138796191317e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.659999999999999787e+01,2.828427124746196730e-01,1.559999999999999964e+01,2.828427124746196730e-01,3.177083333333333215e+01,9.229190180556953393e+00,4.000000000000000000e+00,2.160246899469286941e+00,4.566666666666666430e+01,2.624669291337270227e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,2.666666666666666785e+01,4.189935029992177817e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.758991877237950641e-02,7.712327482954204130e-03,1.490563551584879631e+00,1.912630784034253517e-01,5.066666666666666430e+01,6.548960901462833384e+00,4.370370370370370239e+01,7.276623223847592747e+00
