ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.42439778645833337	30.2	5.0	31.4	20.4	1.5625	0	0	36	5	35	24	28	5	30	19	0	0	0.23498058319091797	5	0.23498058319091797	5	0.0	
0.9533182779947916	29.6	5.0	29.8	18.8	1.5625	1	0	33	5	31	20	28	5	28	17	0	0	0.08217906951904297	10	0.31715965270996094	9	10.0	
0.9977213541666666	28.0	5.0	29.4	18.4	1.5625	2	0	35	5	30	19	21	5	28	17	0	0	0.0849313735961914	15	0.40209102630615234	13	13.333333333333329	
0.8884006076388888	25.2	5.0	30.0	19.0	1.5625	3	2	42	5.0	31.0	20.0	7	5.0	29.0	18.0	0	0	0.03245043754577637	20	0.4345414638519287	15	25.0	
1.1027018229166665	30.0	5.0	29.0	18.0	1.5625	4	3	44	5.0	30.0	19.0	17	5.0	28.0	17.0	0	0	0.0655367374420166	25	0.5000782012939453	18	28.0	
0.9050496419270833	29.0	5.0	29.4	18.4	1.5625	5	3	33	5	31	20	28	5	28	17	0	0	0.12496590614318848	30	0.6250441074371338	19	36.66666666666667	
1.764322916666666	30.0	5.0	28.4	17.4	3.2735188802083326	6	3	32	5	30	19	28	5	27	16	0	0	0.20188570022583008	35	0.8269298076629639	23	34.28571428571429	
1.2654622395833335	31.2	5.0	28.6	17.6	3.2735188802083326	7	3	37	5	30	19	25	5	27	16	0	0	0.07778406143188477	40	0.9047138690948486	27	32.5	
1.7627970377604165	27.0	5.0	29.2	18.2	3.515625	8	3	32	5	31	20	23	5	27	16	0	0	0.06619834899902344	45	0.9709122180938721	30	33.33333333333334	
2.4599711100260415	28.8	5.0	28.25	17.25	3.515625	9	4	44	5.0	29.0	18.0	13	5.0	28.0	17.0	0	0	0.0581202507019043	50	1.0290324687957764	33	34.0	
1.9781494140625	39.2	5.0	28.2	17.2	3.515625	10	4	53	5	30	19	32	5	27	16	0	0	0.07521176338195801	55	1.1042442321777344	37	32.727272727272734	
3.544921875	37.4	5.0	27.6	16.6	5.0994873046875	11	4	50	5	28	17	32	5	27	16	0	0	0.08479118347167969	60	1.189035415649414	39	35.0	
4.509175618489585	50.0	5.0	27.2	16.2	6.547037760416674	12	4	61	5	28	17	39	5	26	15	0	0	0.11155343055725098	65	1.300588846206665	43	33.846153846153854	
4.481201171875003	42.0	5.0	26.8	15.8	6.547037760416674	13	4	44	5	28	17	39	5	26	15	0	0	0.12175583839416504	70	1.42234468460083	46	34.28571428571429	
5.51310221354167	43.4	5.0	26.6	15.6	7.947794596354166	14	4	49	5	28	17	39	5	26	15	0	0	0.13826370239257812	75	1.5606083869934082	49	34.66666666666667	
6.4229329427083375	45.8	5.0	26.2	15.2	7.947794596354166	15	4	49	5	27	16	44	5	26	15	0	0	0.11969232559204102	80	1.6803007125854492	50	37.5	
4.288525390625002	45.6	4.8	26.2	15.2	7.947794596354166	16	4	49	5	27	16	43	4	25	14	0	0	0.08563756942749023	85	1.7659382820129395	53	37.64705882352941	
4.398592122395832	45.4	4.8	26.2	15.2	7.947794596354166	17	4	54	5	27	16	38	4	25	14	0	0	0.10216474533081055	90	1.86810302734375	56	37.77777777777778	
3.3197021484375	44.0	5.0	27.6	16.6	7.947794596354166	18	4	52	5	29	18	35	5	26	15	0	0	0.08224105834960938	95	1.9503440856933594	58	38.94736842105263	
4.186197916666667	46.0	5.0	27.0	16.0	7.947794596354166	19	4	53	5	28	17	39	5	26	15	0	0	0.11547136306762695	100	2.0658154487609863	61	39.0	
4.911092122395834	47.4	5.0	27.0	16.0	7.947794596354166	20	4	58	5	29	18	34	5	26	15	0	0	0.10334157943725586	105	2.169157028198242	64	39.047619047619044	
5.38553873697917	51.8	5.0	26.6	15.6	7.947794596354166	21	4	61	5	28	17	44	5	26	15	0	0	0.12140941619873047	110	2.2905664443969727	67	39.090909090909086	
5.138549804687498	49.0	5.0	26.8	15.8	7.947794596354166	22	4	61	5	28	17	35	5	26	15	0	0	0.10600590705871582	115	2.3965723514556885	69	40.0	
6.218159993489582	55.0	5.0	26.4	15.4	7.947794596354166	23	4	64	5	27	16	46	5	26	15	0	0	0.10931754112243652	120	2.505889892578125	71	40.833333333333336	
4.194632975260416	52.0	4.8	26.4	15.4	7.947794596354166	24	4	68	5	28	17	42	4	25	14	0	0	0.08468818664550781	125	2.590578079223633	72	42.400000000000006	
4.158833821614583	44.4	5.0	27.2	16.2	7.947794596354166	25	4	46	5	29	18	43	5	26	15	0	0	0.11820292472839355	130	2.7087810039520264	75	42.307692307692314	
3.1835856119791672	44.8	4.8	26.4	15.4	7.947794596354166	26	4	46	5	27	16	43	4	25	14	0	0	0.11404061317443848	135	2.822821617126465	78	42.22222222222223	
3.6553955078125	45.4	5.0	27.0	16.0	7.947794596354166	27	4	53	5	28	17	39	5	26	15	0	0	0.11776924133300781	140	2.9405908584594727	80	42.85714285714286	
1.7994018554687496	47.4	4.6	26.6	15.6	7.947794596354166	28	4	50	5	29	18	45	4	25	14	0	0	0.06038928031921387	145	3.0009801387786865	83	42.75862068965517	
3.4389241536458335	45.6	5.0	27.4	16.4	7.947794596354166	29	4	49	5	28	17	42	5	26	15	0	0	0.09116649627685547	150	3.092146635055542	86	42.666666666666664	
3.3371988932291656	45.2	5.0	27.4	16.4	7.947794596354166	30	4	55	5	28	17	33	5	26	15	0	0	0.10801553726196289	155	3.200162172317505	88	43.225806451612904	
5.352783203125	49.6	5.0	27.0	16.0	7.947794596354166	31	4	61	5	29	18	40	5	26	15	0	0	0.0924062728881836	160	3.2925684452056885	91	43.125	
3.9603678385416665	49.6	5.0	27.0	16.0	7.947794596354166	32	4	55	5	28	17	44	5	26	15	0	0	0.09139847755432129	165	3.3839669227600098	94	43.03030303030303	
5.138338216145835	50.2	4.8	26.0	15.0	7.947794596354166	33	4	53	5	27	16	46	4	25	14	0	0	0.11108803749084473	170	3.4950549602508545	95	44.11764705882353	
4.3435587565104194	49.2	4.8	26.2	15.2	7.947794596354166	34	4	53	5	27	16	46	4	25	14	0	0	0.09903097152709961	175	3.594085931777954	96	45.14285714285714	
5.202941894531248	49.4	5.0	26.6	15.6	7.947794596354166	35	4	58	5	28	17	44	5	26	15	0	0	0.11888003349304199	180	3.712965965270996	99	44.99999999999999	
5.07069905598958	50.0	5.0	26.8	15.8	7.947794596354166	36	4	58	5	28	17	43	5	26	15	0	0	0.6888608932495117	185	4.401826858520508	101	45.40540540540541	
4.6460978190104125	50.4	5.0	27.0	16.0	9.34855143229166	37	4	61	5	28	17	42	5	26	15	0	0	0.08970093727111816	190	4.491527795791626	104	45.263157894736835	
7.19685872395833	51.4	5.0	26.6	15.6	9.34855143229166	38	4	65	5	29	18	46	5	26	15	0	0	0.12422347068786621	195	4.615751266479492	105	46.15384615384615	
7.014567057291666	49.2	5.0	26.4	15.4	9.34855143229166	39	4	56	5	27	16	40	5	26	15	0	0	0.09522318840026855	200	4.710974454879761	109	45.49999999999999	
8.227945963541664	50.0	5.0	26.0	15.0	9.34855143229166	40	4	52	5	26	15	48	5	26	15	0	0	0.11797094345092773	205	4.8289453983306885	109	46.829268292682926	
6.723429361979166	49.6	5.0	26.4	15.4	9.34855143229166	41	4	58	5	27	16	40	5	26	15	0	0	0.10676193237304688	210	4.935707330703735	110	47.61904761904761	
7.433166503906248	53.2	5.0	26.2	15.2	9.34855143229166	42	4	60	5	27	16	48	5	26	15	0	0	0.11229157447814941	215	5.047998905181885	112	47.906976744186046	
5.690511067708331	54.0	5.0	26.8	15.8	9.34855143229166	43	4	66	5	28	17	44	5	26	15	0	0	0.10742449760437012	220	5.155423402786255	115	47.72727272727273	
9.34855143229166	50.0	5.0	26.0	15.0	9.34855143229166	44	4	50	5	26	15	50	5	26	15	0	0	0.6376602649688721	225	5.793083667755127	115	48.88888888888889	
9.359130859374996	50.0	5.0	26.0	15.0	14.0625	45	4	51	5	26	15	49	5	26	15	0	0	0.10263395309448242	230	5.895717620849609	117	49.1304347826087	
7.955525716145831	49.6	5.0	26.6	15.6	14.0625	46	4	52	5	28	17	47	5	26	15	0	0	0.09938454627990723	235	5.995102167129517	119	49.361702127659576	
13.125	49.0	5.0	26.0	15.0	14.0625	47	4	49	5	26	15	49	5	26	15	0	0	0.07784819602966309	240	6.07295036315918	120	50.0	
9.84375	49.0	5.0	26.4	15.4	14.0625	48	4	55	5	27	16	43	5	26	15	0	0	0.06927609443664551	245	6.142226457595825	122	50.204081632653065	
12.65625	49.0	5.0	26.2	15.2	14.0625	49	4	51	5	27	16	47	5	26	15	0	0	0.07499003410339355	250	6.217216491699219	123	50.8	
9.53125	49.4	5.0	26.6	15.6	14.0625	50	4	52	5	28	17	47	5	26	15	0	0	0.06834936141967773	255	6.2855658531188965	125	50.98039215686275	
