# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
7.465828789605035709e-01,5.960956636883495419e-01,3.040000000000000213e+01,7.745966692414837373e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000213e+01,5.291502622129193867e-01,2.040000000000000213e+01,5.291502622129184985e-01,2.127583821614583481e+00,1.349954093518797915e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.650000000000000000e+01,1.802775637731994562e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.883333333333333215e+01,1.343709624716424855e+00,1.783333333333333215e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.167411247889200476e-01,2.677553542969734329e-02,2.167411247889200476e-01,2.677553542969734329e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.043545193142361605e-01,5.182332370943604216e-01,2.900000000000000000e+01,1.918332609325086757e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,6.110100926607784366e-01,1.950000000000000000e+01,6.110100926607784366e-01,2.453104654947916519e+00,1.214773931299415688e+00,3.333333333333333148e-01,4.714045207910316782e-01,4.016666666666666430e+01,6.568020165079343720e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.216666666666666430e+01,1.343709624716424855e+00,2.116666666666666785e+01,1.343709624716425077e+00,2.066666666666666785e+01,4.384315479321968745e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.065057754516597399e-02,2.931657041141230019e-02,2.873917023340860633e-01,4.242890674125518458e-02,8.666666666666666075e+00,4.714045207910316782e-01,1.333333333333333393e+01,4.714045207910316115e+00
1.283866034613715401e+00,6.916424029200989310e-01,2.496666666666666856e+01,3.544792738025110079e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.936944444444444002e+01,8.480051027682481424e-01,1.836944444444444358e+01,8.480051027682481424e-01,2.998860677083333481e+00,1.842920357348795779e+00,1.166666666666666741e+00,1.067187372905474829e+00,3.416666666666666430e+01,9.388231403671774444e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.066666666666666785e+01,1.105541596785133418e+00,1.966666666666666785e+01,1.105541596785133418e+00,1.583333333333333393e+01,5.955856128401879168e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.783333333333333215e+01,6.871842709362767643e-01,1.683333333333333215e+01,6.871842709362767643e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.433980623881017741e-02,2.566805652920592026e-02,3.417315085728963031e-01,4.806491973690407704e-02,1.150000000000000000e+01,1.707825127659932996e+00,2.333333333333333215e+01,1.138550085106621879e+01
1.239256682219328720e+00,7.785344412182383378e-01,2.753333333333333499e+01,6.845598748263166833e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.954166666666666785e+01,9.976708987548053020e-01,1.854166666666666785e+01,9.976708987548053020e-01,2.998860677083333481e+00,1.842920357348795779e+00,1.833333333333333259e+00,6.871842709362767643e-01,4.016666666666666430e+01,8.877249323723850338e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.116666666666666785e+01,8.975274678557507713e-01,2.016666666666666785e+01,8.975274678557507713e-01,1.366666666666666607e+01,8.239471396205518161e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.376462141672765788e-02,1.672263466687104808e-02,3.954961299896240234e-01,5.500718541449890753e-02,1.433333333333333393e+01,1.972026594366538488e+00,2.833333333333333215e+01,9.860132971832692661e+00
1.752700805664062278e+00,1.317679030737872070e+00,2.790000000000000213e+01,6.769293414628540617e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.879166666666666785e+01,1.024864489687403735e+00,1.779166666666666785e+01,1.024864489687403735e+00,3.649902343750000000e+00,2.274038106579478580e+00,2.500000000000000000e+00,7.637626158259733788e-01,3.766666666666666430e+01,1.111555466702204420e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,1.247219128924647036e+00,1.866666666666666785e+01,1.247219128924647036e+00,1.866666666666666785e+01,4.027681991198191369e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.766666666666666785e+01,7.453559924999297870e-01,1.666666666666666785e+01,7.453559924999297870e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.756270885467524440e-02,8.731797799351639910e-03,4.530588388442993164e-01,6.104958123744622100e-02,1.733333333333333215e+01,1.598610507770906519e+00,3.066666666666666785e+01,6.394442031083623412e+00
1.753370496961805580e+00,2.091701317357395062e+00,2.793333333333333357e+01,7.101799458979079382e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.232882800593795070e+00,1.800000000000000000e+01,1.232882800593795070e+00,3.659396701388888840e+00,2.260283909480289122e+00,2.666666666666666519e+00,9.428090415820633563e-01,3.416666666666666430e+01,1.020484634322775364e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.825741858350553803e+00,1.900000000000000000e+01,1.825741858350553803e+00,2.283333333333333215e+01,4.633812924819281420e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.766666666666666785e+01,7.453559924999297870e-01,1.666666666666666785e+01,7.453559924999297870e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.111662705739333179e-02,2.231276547611852831e-02,5.441754659016927453e-01,7.548902353731824777e-02,1.950000000000000000e+01,1.707825127659932996e+00,3.500000000000000711e+01,5.692750425533109393e+00
2.052092375578703720e+00,1.487027543848556954e+00,2.816666666666666785e+01,7.203162885535461690e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.872222222222221788e+01,1.068343589249899139e+00,1.772222222222222143e+01,1.068343589249899361e+00,4.111565483940972321e+00,1.809613606126164287e+00,3.000000000000000000e+00,1.290994448735805600e+00,3.533333333333333570e+01,1.084230397819372804e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.016666666666666785e+01,8.975274678557506602e-01,1.916666666666666785e+01,8.975274678557506602e-01,2.300000000000000000e+01,7.461009761866463919e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,9.428090415820633563e-01,1.633333333333333215e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.236631870269774974e-01,7.477911546914341179e-02,6.678386529286702844e-01,1.319253745954693802e-01,2.200000000000000000e+01,1.632993161855452069e+00,3.714285714285714590e+01,4.665694748158435878e+00
2.429576506438078987e+00,2.112387284046863378e+00,2.936666666666666359e+01,8.167755029518344756e+00,4.966666666666666785e+00,7.453559924999306197e-02,2.825555555555554932e+01,1.397572851962720408e+00,1.725555555555555642e+01,1.397572851962720186e+00,5.429670545789931246e+00,3.688811293503766020e+00,3.333333333333333481e+00,1.885618083164126713e+00,3.733333333333333570e+01,1.155662388223981196e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,1.707825127659932996e+00,1.850000000000000000e+01,1.707825127659932996e+00,2.150000000000000000e+01,6.291528696058958481e+00,4.833333333333333037e+00,3.726779962499649490e-01,2.700000000000000000e+01,1.290994448735805600e+00,1.600000000000000000e+01,1.290994448735805600e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.696538130442293568e-02,1.918220241337849352e-02,7.348040342330932617e-01,1.420212962393765377e-01,2.533333333333333215e+01,1.972026594366538710e+00,3.666666666666666430e+01,4.930066485916345442e+00
2.795124053955078125e+00,2.319080681118026899e+00,2.926666666666666927e+01,8.015540461434207842e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.852500000000000213e+01,1.394259062489225043e+00,1.752500000000000213e+01,1.394259062489225043e+00,5.470021565755208037e+00,3.666260212441284860e+00,4.000000000000000000e+00,2.160246899469286941e+00,3.783333333333333570e+01,1.179571485281366350e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,1.598610507770906519e+00,1.866666666666666785e+01,1.598610507770906519e+00,2.083333333333333215e+01,7.335227028221794399e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.716666666666666785e+01,1.067187372905474829e+00,1.616666666666666785e+01,1.067187372905474829e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.174969673156734812e-02,1.015856954484675029e-02,7.965537309646606445e-01,1.489954129584511733e-01,2.733333333333333215e+01,2.981423969999719148e+00,3.925925925925926663e+01,6.625386599999377069e+00
3.382805718315971877e+00,3.026251706417022458e+00,2.876666666666666572e+01,6.456435204937440275e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.842222222222222783e+01,1.526059639952305869e+00,1.742222222222222072e+01,1.526059639952304758e+00,5.470021565755208037e+00,3.666260212441284860e+00,4.666666666666666963e+00,2.357022603955158502e+00,3.700000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,1.795054935711501543e+00,1.866666666666666785e+01,1.795054935711501543e+00,1.950000000000000000e+01,8.401388774085706501e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,1.105541596785133418e+00,1.633333333333333215e+01,1.105541596785133418e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.499906380971266773e-02,1.450430074087697904e-02,8.615527947743734094e-01,1.559341699981453278e-01,2.966666666666666785e+01,3.858612300930075456e+00,4.066666666666666430e+01,7.717224601860150024e+00
