ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.0904947916666667	29.0	5.0	30.4	19.4	3.125	0	0	36	5	35	24	24	5	27	16	0	0	0.1690046787261963	5	0.1690046787261963	5	0.0	
0.8219401041666666	26.4	5.0	30.0	19.0	3.125	1	1	34	5.0	31.0	20.0	20	5.0	29.0	18.0	0	0	0.03318357467651367	10	0.20218825340270996	8	20.0	
0.87890625	25.0	5.0	29.75	18.75	3.125	2	2	34	5.0	30.0	19.0	15	5.0	29.0	18.0	0	0	0.03668355941772461	15	0.23887181282043457	10	33.33333333333334	
1.66015625	27.4	5.0	28.6	17.6	3.125	3	2	33	5	30	19	23	5	28	17	0	0	0.05430865287780762	20	0.2931804656982422	14	30.0	
0.8463541666666667	26.6	5.0	29.5	18.5	3.125	4	3	39	5.0	30.0	19.0	14	5.0	29.0	18.0	0	0	0.0343174934387207	25	0.3274979591369629	17	32.0	
1.2898763020833333	30.2	5.0	29.5	18.5	3.125	5	4	49	5.0	30.0	19.0	17	5.0	29.0	18.0	0	0	0.06465959548950195	30	0.39215755462646484	20	33.33333333333334	
1.71875	31.4	5.0	29.2	18.2	3.125	6	4	41	5	30	19	23	5	28	17	0	0	0.04502511024475098	35	0.4371826648712158	23	34.28571428571429	
1.2760416666666665	31.4	5.0	29.0	18.0	3.125	7	4	41	5	31	20	24	5	27	16	0	0	0.04760003089904785	40	0.48478269577026367	26	35.0	
1.25	28.6	5.0	29.4	18.4	3.125	8	4	37	5	31	20	21	5	28	17	0	0	0.0468134880065918	45	0.5315961837768555	28	37.77777777777778	
2.0833333333333335	24.6	5.0	28.0	17.0	3.125	9	6	31	5.0	29.0	18.0	17	5.0	27.0	16.0	0	0	0.023173093795776367	50	0.5547692775726318	29	42.00000000000001	
3.90625	28.6	5.0	28.0	17.0	6.25	10	7	45	5.0	29.0	18.0	13	5.0	27.0	16.0	0	0	0.03841352462768555	55	0.5931828022003174	30	45.45454545454546	
1.8880208333333333	34.2	5.0	28.0	17.0	6.25	11	7	45	5	29	18	27	5	27	16	0	0	0.1111135482788086	60	0.704296350479126	34	43.333333333333336	
2.05078125	30.6	5.0	28.4	17.4	6.25	12	7	45	5	29	18	27	5	27	16	0	0	0.05776023864746094	65	0.7620565891265869	35	46.15384615384615	
1.7122395833333333	37.8	5.0	28.2	17.2	6.25	13	7	47	5	29	18	25	5	27	16	0	0	0.048783063888549805	70	0.8108396530151367	38	45.714285714285715	
1.4778645833333335	38.2	5.0	28.0	17.0	6.25	14	7	48	5	29	18	25	5	27	16	0	0	0.04842019081115723	75	0.859259843826294	41	45.333333333333336	
3.8020833333333344	45.2	5.0	27.2	16.2	6.25	15	7	48	5	28	17	44	5	26	15	0	0	0.05889558792114258	80	0.9181554317474365	44	44.99999999999999	
4.348958333333334	45.0	5.0	27.0	16.0	6.25	16	7	47	5	28	17	43	5	26	15	0	0	0.060060977935791016	85	0.9782164096832275	46	45.88235294117647	
