# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.112630208333333481e+00,7.694611923592392655e-01,3.039999999999999858e+01,8.485281374238575758e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,5.796550698475788632e-01,2.039999999999999858e+01,5.796550698475779750e-01,2.968750000000000000e+00,1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,1.549193338482966809e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.166190378969060193e+00,1.819999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.664854526519775058e-01,1.005172682283497765e-02,1.664854526519775058e-01,1.005172682283497765e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090169270833333481e+00,4.408727552049565568e-01,2.948000000000000043e+01,2.196724834839358209e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.069999999999999929e+01,8.049844718999243920e-01,1.969999999999999929e+01,8.049844718999243920e-01,3.203125000000000000e+00,1.682864002229532474e+00,4.000000000000000222e-01,4.898979485566356540e-01,4.000000000000000000e+01,6.841052550594827864e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.220000000000000284e+01,1.166190378969059971e+00,2.119999999999999929e+01,1.166190378969060193e+00,2.119999999999999929e+01,4.621688003316537063e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.860000000000000142e+01,4.898979485566355985e-01,1.760000000000000142e+01,4.898979485566355985e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.073295593261714448e-02,5.533870895157917170e-03,2.072184085845946711e-01,1.266208429100703324e-02,8.400000000000000355e+00,4.898979485566356540e-01,1.600000000000000000e+01,4.898979485566355763e+00
1.816243489583333259e+00,1.213361429301393013e+00,2.628000000000000114e+01,5.265130577678011292e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.986000000000000298e+01,1.124010676105881235e+00,1.885999999999999943e+01,1.124010676105881235e+00,4.296875000000000000e+00,2.395267143243108077e+00,1.399999999999999911e+00,8.000000000000000444e-01,3.460000000000000142e+01,1.001199280862706154e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.414213562373095145e+00,2.000000000000000000e+01,1.414213562373095145e+00,1.800000000000000000e+01,4.381780460041328595e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,7.999999999999999334e-01,1.739999999999999858e+01,7.999999999999999334e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.517827987670894135e-02,6.275488106210407729e-03,2.423966884613036610e-01,1.702053884106267262e-02,1.059999999999999964e+01,4.898979485566356540e-01,2.933333333333333570e+01,3.265986323710906358e+00
2.500976562500000000e+00,1.797386678920894543e+00,2.643999999999999773e+01,4.785645202060010206e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.939333333333333442e+01,1.363720401450873920e+00,1.839333333333333442e+01,1.363720401450872810e+00,4.687500000000000000e+00,1.976423537605237035e+00,2.399999999999999911e+00,1.496662954709576665e+00,3.520000000000000284e+01,4.308131845707602992e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.788854381999831711e+00,2.000000000000000000e+01,1.788854381999831711e+00,1.760000000000000142e+01,6.280127387243033432e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.944271909999158554e-01,1.700000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.787693977355953423e-02,1.124868422172851934e-02,2.802736282348632924e-01,2.523640828935412583e-02,1.300000000000000000e+01,1.264911064067351765e+00,3.500000000000000000e+01,6.324555320336759046e+00
2.938802083333333037e+00,1.925145069727610680e+00,2.632000000000000028e+01,2.076920797719548073e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.297690255800667547e+00,1.819999999999999929e+01,1.297690255800667547e+00,6.562500000000000000e+00,3.479852726768763560e+00,3.000000000000000000e+00,1.897366596101027536e+00,3.500000000000000000e+01,2.898275349237887877e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.060000000000000142e+01,1.624807680927192077e+00,1.960000000000000142e+01,1.624807680927192077e+00,1.860000000000000142e+01,4.963869458396342083e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.264911064067351765e+00,1.700000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.338068962097163528e-02,1.191421241794484234e-02,3.236543178558349831e-01,3.256475438087060720e-02,1.639999999999999858e+01,1.496662954709576443e+00,3.439999999999999858e+01,5.986651818838305772e+00
3.924967447916666519e+00,2.433147925015128443e+00,2.535999999999999943e+01,4.117086348377939409e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.853333333333333144e+01,1.061445555206042446e+00,1.753333333333333144e+01,1.061445555206042446e+00,6.562500000000000000e+00,3.479852726768763560e+00,4.200000000000000178e+00,2.039607805437113619e+00,3.779999999999999716e+01,9.453041838477178160e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.939999999999999858e+01,7.999999999999999334e-01,1.839999999999999858e+01,7.999999999999999334e-01,1.480000000000000071e+01,3.187475490101845388e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.264911064067351765e+00,1.700000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.408109664916987469e-02,1.746056773004619686e-02,3.877354145050048717e-01,4.803373761757503274e-02,1.860000000000000142e+01,1.624807680927192077e+00,3.800000000000000711e+01,5.416025603090639073e+00
4.960937500000000000e+00,3.780959441315788538e+00,2.651999999999999957e+01,5.145250236868950999e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.838999999999999702e+01,1.498132170404200769e+00,1.739000000000000057e+01,1.498132170404200769e+00,7.500000000000000000e+00,4.238956239453292696e+00,4.599999999999999645e+00,2.059126028197399982e+00,3.639999999999999858e+01,1.055651457631731738e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.673320053068151125e+00,1.800000000000000000e+01,1.673320053068151125e+00,1.919999999999999929e+01,4.069397989875160881e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000071e+01,1.166190378969059971e+00,1.680000000000000071e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.252442359924310022e-02,1.405454971417265976e-02,4.402598381042480691e-01,4.803884287650612289e-02,2.100000000000000000e+01,2.280350850198276103e+00,4.000000000000000000e+01,6.515288143423647149e+00
4.567708333333333925e+00,3.752444226582337006e+00,2.796000000000000085e+01,4.303301058489866548e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.835000000000000142e+01,1.289961239727768660e+00,1.735000000000000142e+01,1.289961239727767994e+00,7.500000000000000000e+00,4.238956239453292696e+00,5.000000000000000000e+00,2.190890230020664298e+00,3.739999999999999858e+01,1.007174264961133758e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.939999999999999858e+01,1.624807680927192077e+00,1.839999999999999858e+01,1.624807680927192077e+00,2.000000000000000000e+01,4.979959839195492677e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.760000000000000142e+01,1.199999999999999956e+00,1.660000000000000142e+01,1.199999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.490289688110347954e-02,1.037640433599846222e-02,4.851627349853515625e-01,5.454097083928820255e-02,2.380000000000000071e+01,2.785677655436823663e+00,4.050000000000000000e+01,6.964194138592059602e+00
3.812500000000000000e+00,3.160115207551775107e+00,2.923999999999999844e+01,3.843748170731272396e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.873999999999999844e+01,1.320000000000000062e+00,1.773999999999999844e+01,1.320000000000000062e+00,7.500000000000000000e+00,4.238956239453292696e+00,5.200000000000000178e+00,1.939071942966531736e+00,3.920000000000000284e+01,5.344155686354954859e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.788854381999831711e+00,1.900000000000000000e+01,1.788854381999831711e+00,2.100000000000000000e+01,4.690415759823429731e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000071e+01,1.166190378969059971e+00,1.680000000000000071e+01,1.166190378969059971e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.692044258117671757e-02,4.911290103547537311e-03,5.320831775665283425e-01,5.901318335986278918e-02,2.700000000000000000e+01,2.529822128134703529e+00,4.000000000000000000e+01,5.621826951410445083e+00
3.526041666666666519e+00,1.844485493602785686e+00,2.843999999999999773e+01,4.435132467018319424e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.851000000000000156e+01,9.961927524329822203e-01,1.750999999999999801e+01,9.961927524329821093e-01,7.500000000000000000e+00,4.238956239453292696e+00,5.799999999999999822e+00,2.039607805437114063e+00,3.779999999999999716e+01,9.495261976375374502e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.960000000000000142e+01,7.999999999999999334e-01,1.860000000000000142e+01,7.999999999999999334e-01,1.960000000000000142e+01,3.878143885933063029e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.760000000000000142e+01,1.199999999999999956e+00,1.660000000000000142e+01,1.199999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.380578994750972122e-02,1.578976925867922251e-02,5.758889675140380637e-01,7.150137978613682610e-02,2.939999999999999858e+01,1.356465996625053627e+00,4.120000000000000284e+01,2.712931993250105034e+00
