ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.41015625	30.8	5.0	31.6	20.6	1.5625	0	0	36	5	35	24	27	5	29	18	0	0	0.15617036819458008	5	0.15617036819458008	5	0.0	
0.732421875	28.6	5.0	31.5	20.5	1.5625	1	1	42	5.0	33.0	22.0	16	5.0	29.0	18.0	0	0	0.03274679183959961	10	0.1889171600341797	8	20.0	
0.625	32.4	5.0	31.0	20.0	1.5625	2	1	45	5	32	21	24	5	29	18	0	0	0.04239773750305176	15	0.23131489753723145	11	26.66666666666667	
1.40625	30.8	5.0	30.8	19.8	3.125	3	1	34	5	32	21	27	5	29	18	0	0	0.04122281074523926	20	0.2725377082824707	14	30.0	
4.6875	31.0	5.0	29.8	18.8	12.5	4	1	41	5	31	20	23	5	28	17	0	0	0.04610490798950195	25	0.31864261627197266	16	36.0	
8.125	24.2	5.0	28.8	17.8	12.5	5	1	29	5	30	19	23	5	28	17	0	0	0.07043814659118652	30	0.3890807628631592	19	36.66666666666667	
14.0625	23.0	5.0	27.75	16.75	25.0	6	2	28	5.0	28.0	17.0	18	5.0	27.0	16.0	0	0	0.036652565002441406	35	0.4257333278656006	22	37.142857142857146	
15.0	28.0	5.0	28.0	17.0	25.0	7	2	30	5	29	18	26	5	27	16	0	0	0.046402931213378906	40	0.4721362590789795	25	37.5	
10.625	29.6	5.0	28.2	17.2	25.0	8	2	42	5	29	18	18	5	27	16	0	0	0.044174909591674805	45	0.5163111686706543	29	35.55555555555556	
17.5	32.8	5.0	27.8	16.8	25.0	9	2	47	5	29	18	21	5	27	16	0	0	0.04717087745666504	50	0.5634820461273193	31	38.0	
18.75	33.6	5.0	27.0	16.0	25.0	10	3	55	5.0	27.0	16.0	15	5.0	27.0	16.0	0	0	0.03450918197631836	55	0.5979912281036377	32	41.81818181818182	
12.5	28.0	5.0	27.5	16.5	25.0	11	4	37	5.0	29.0	18.0	19	5.0	27.0	16.0	0	0	0.03500652313232422	60	0.6329977512359619	35	41.666666666666664	
13.75	29.2	5.0	27.6	16.6	25.0	12	4	31	5	29	18	28	5	27	16	0	0	0.048828125	65	0.6818258762359619	39	40.0	
17.5	28.2	5.0	27.6	16.6	25.0	13	4	29	5	29	18	28	5	27	16	0	0	0.0493931770324707	70	0.7312190532684326	41	41.42857142857142	
15.0	28.0	5.0	27.8	16.8	25.0	14	4	35	5	29	18	21	5	27	16	0	0	0.0463712215423584	75	0.777590274810791	43	42.666666666666664	
18.75	32.4	5.0	27.6	16.6	25.0	15	4	39	5	29	18	28	5	27	16	0	0	0.04745793342590332	80	0.8250482082366943	45	43.75	
13.75	30.8	5.0	28.0	17.0	25.0	16	4	42	5	29	18	21	5	27	16	0	0	0.04436230659484863	85	0.869410514831543	47	44.705882352941174	
11.25	28.8	5.0	27.6	16.6	25.0	17	4	43	5	29	18	22	5	27	16	0	0	0.0433652400970459	90	0.9127757549285889	50	44.44444444444444	
15.625	29.0	5.0	27.25	16.25	25.0	18	5	43	5.0	29.0	18.0	18	5.0	26.0	15.0	0	0	0.035695552825927734	95	0.9484713077545166	52	45.263157894736835	
21.25	29.0	5.0	27.2	16.2	25.0	19	5	33	5	29	18	28	5	26	15	0	0	0.050457000732421875	100	0.9989283084869385	55	44.99999999999999	
20.0	30.0	5.0	26.8	15.8	25.0	20	5	35	5	27	16	26	5	26	15	0	0	0.04937577247619629	105	1.0483040809631348	58	44.76190476190476	
