# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
4.492187500000000000e-01,3.906250000000000000e-02,3.060000000000000142e+01,2.000000000000010658e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,1.000000000000014211e-01,2.050000000000000000e+01,1.000000000000014211e-01,1.562500000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.750000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.512360572814940851e-01,4.934310913085895867e-03,1.512360572814940851e-01,4.934310913085895867e-03,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.912109375000000000e-01,2.587890625000000000e-01,2.930000000000000071e+01,6.999999999999992895e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.094999999999999929e+01,5.500000000000007105e-01,1.994999999999999929e+01,5.500000000000007105e-01,2.343750000000000000e+00,7.812500000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.050000000000000000e+01,1.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,5.000000000000000000e-01,2.150000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,4.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.668975830078120143e-02,3.942966461181598992e-03,1.879258155822753906e-01,9.913444519042968750e-04,8.500000000000000000e+00,5.000000000000000000e-01,1.500000000000000000e+01,5.000000000000000000e+00
1.660156250000000000e+00,1.035156250000000000e+00,3.169999999999999929e+01,6.999999999999992895e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.069999999999999929e+01,3.000000000000007105e-01,1.969999999999999929e+01,3.000000000000007105e-01,3.906250000000000000e+00,2.343750000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,4.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,1.000000000000000000e+00,2.200000000000000000e+01,1.000000000000000000e+00,2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.139423370361325349e-02,1.003503799438452276e-03,2.293200492858886441e-01,1.994848251342745682e-03,1.100000000000000000e+01,0.000000000000000000e+00,2.666666666666667140e+01,0.000000000000000000e+00
3.359375000000000000e+00,1.953125000000000000e+00,2.720000000000000284e+01,3.599999999999999645e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.970000000000000284e+01,1.099999999999999645e+00,1.870000000000000284e+01,1.099999999999999645e+00,4.687500000000000000e+00,1.562500000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,3.050000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,5.000000000000000000e-01,2.050000000000000000e+01,5.000000000000000000e-01,2.450000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.156172275543210115e-02,3.389120101928988493e-04,2.708817720413208008e-01,1.655936241149902344e-03,1.350000000000000000e+01,5.000000000000000000e-01,3.250000000000000000e+01,2.500000000000000000e+00
3.906250000000000000e+00,7.812500000000000000e-01,2.710000000000000142e+01,3.900000000000000355e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.952499999999999858e+01,2.750000000000003553e-01,1.852499999999999858e+01,2.750000000000003553e-01,9.375000000000000000e+00,3.125000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.050000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.000000000000000000e-01,1.950000000000000000e+01,5.000000000000000000e-01,1.500000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.747475147247310290e-02,8.630156517028798185e-03,3.083565235137938898e-01,1.028609275817871094e-02,1.600000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00
6.210937500000000000e+00,1.914062500000000000e+00,2.460000000000000142e+01,4.000000000000003553e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.877499999999999858e+01,2.500000000000035527e-02,1.777499999999999858e+01,2.500000000000035527e-02,9.375000000000000000e+00,3.125000000000000000e+00,1.500000000000000000e+00,5.000000000000000000e-01,3.450000000000000000e+01,5.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.527829170227045230e-02,5.159854888916046850e-03,3.736348152160644531e-01,1.544594764709472656e-02,1.800000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+01,3.333333333333332149e+00
1.113281250000000000e+01,2.929687500000000000e+00,2.250000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.787500000000000000e+01,1.250000000000000000e-01,1.687500000000000000e+01,1.250000000000000000e-01,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,2.800000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000000e+00,1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.276431560516354646e-02,3.888249397277849378e-03,4.063991308212280273e-01,1.933419704437258635e-02,2.050000000000000000e+01,1.500000000000000000e+00,4.142857142857143060e+01,4.285714285714288252e+00
1.093750000000000000e+01,4.062500000000000000e+00,2.639999999999999858e+01,1.599999999999999645e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.413926601409910028e-02,2.263665199279799034e-03,4.505383968353271484e-01,2.159786224365234375e-02,2.350000000000000000e+01,1.500000000000000000e+00,4.125000000000000000e+01,3.749999999999996447e+00
8.750000000000000000e+00,1.875000000000000000e+00,2.700000000000000000e+01,2.600000000000001421e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.829999999999999716e+01,9.999999999999964473e-02,1.729999999999999716e+01,9.999999999999964473e-02,1.875000000000000000e+01,6.250000000000000000e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.900000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,1.850000000000000000e+01,5.000000000000000000e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.240858554840085115e-02,1.766324043273950067e-03,4.929469823837280273e-01,2.336418628692629729e-02,2.650000000000000000e+01,2.500000000000000000e+00,4.111111111111110716e+01,5.555555555555550029e+00
1.291666666666666785e+01,4.583333333333333037e+00,2.939999999999999858e+01,3.399999999999998579e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.773333333333333428e+01,6.666666666666642982e-02,1.673333333333333428e+01,6.666666666666642982e-02,1.875000000000000000e+01,6.250000000000000000e+00,3.500000000000000000e+00,1.500000000000000000e+00,4.500000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,5.000000000000000000e-01,1.750000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.352260589599605212e-02,1.364827156066894878e-02,5.264695882797241211e-01,3.701245784759521484e-02,2.850000000000000000e+01,2.500000000000000000e+00,4.300000000000000000e+01,5.000000000000000000e+00
