ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
2.03125	30.8	5.0	31.6	20.6	6.25	0	0	36	5	35	24	27	5	29	18	0	0	0.15245938301086426	5	0.15245938301086426	5	0.0	
2.8125	29.4	5.0	30.4	19.4	6.25	1	0	42	5	32	21	18	5	29	18	0	0	0.045809030532836914	10	0.19826841354370117	9	10.0	
5.0	24.8	5.0	29.2	18.2	9.375	2	0	27	5	30	19	18	5	28	17	0	0	0.040552616119384766	15	0.23882102966308594	10	33.33333333333334	
10.546875	23.4	5.0	28.0	17.0	18.75	3	1	28	5.0	29.0	18.0	17	5.0	27.0	16.0	0	0	0.0331265926361084	20	0.27194762229919434	12	40.0	
15.859375	27.4	5.0	27.8	16.8	37.5	4	1	36	5	30	19	19	5	26	15	0	0	0.046094655990600586	25	0.3180422782897949	16	36.0	
21.25	35.4	5.0	27.0	16.0	37.5	5	1	45	5	28	17	24	5	26	15	0	0	0.0458226203918457	30	0.3638648986816406	20	33.33333333333334	
28.125	34.2	5.0	26.6	15.6	37.5	6	1	40	5	28	17	29	5	26	15	0	0	0.07235479354858398	35	0.4362196922302246	24	31.42857142857143	
32.5	37.8	5.0	26.4	15.4	50.0	7	1	44	5	27	16	33	5	26	15	0	0	0.04868769645690918	40	0.4849073886871338	27	32.5	
28.4375	40.8	5.0	26.6	15.6	50.0	8	1	45	5	27	16	35	5	26	15	0	0	0.048986196517944336	45	0.5338935852050781	30	33.33333333333334	
23.75	44.2	5.0	26.8	15.8	50.0	9	1	57	5	28	17	32	5	26	15	0	0	0.045078277587890625	50	0.5789718627929688	33	34.0	
30.0	41.6	5.0	27.0	16.0	50.0	10	1	47	5	28	17	35	5	26	15	0	0	0.0527186393737793	55	0.631690502166748	35	36.36363636363637	
