# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
1.134440104166666741e+00,7.836909837150557445e-01,3.093333333333333712e+01,4.988876515698599245e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.173333333333333428e+01,3.399346342395205833e-01,2.073333333333333428e+01,3.399346342395189180e-01,3.255208333333333481e+00,2.393851082141957853e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.766666666666666785e+01,4.714045207910316782e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,4.714045207910316782e-01,1.866666666666666785e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.538074811299641464e-01,2.655050994342433857e-03,1.538074811299641464e-01,2.655050994342433857e-03,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.588541666666666741e+00,1.056534519536499683e+00,2.993333333333333357e+01,4.109609335312651712e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999503e+01,3.552713678800500929e-15,1.939999999999999858e+01,0.000000000000000000e+00,3.385416666666666519e+00,2.240188871625684364e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.233333333333333570e+01,2.867441755680875559e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.233333333333333570e+01,4.714045207910316782e-01,2.133333333333333215e+01,4.714045207910316782e-01,2.000000000000000000e+01,3.559026084010437074e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866666666666666785e+01,4.714045207910316782e-01,1.766666666666666785e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.404385884602859957e-02,2.236550393463395021e-03,1.978513399759927738e-01,6.885177788879882129e-04,9.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.526041666666666519e+00,1.817864091643202062e+00,2.513333333333333641e+01,3.193048003954146452e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.955000000000000071e+01,1.229498542767199165e+00,1.855000000000000071e+01,1.229498542767199165e+00,4.687500000000000000e+00,3.375385780420760540e+00,3.333333333333333148e-01,4.714045207910316782e-01,3.233333333333333570e+01,4.496912521077347513e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.133333333333333215e+01,2.624669291337270227e+00,2.033333333333333215e+01,2.624669291337270227e+00,1.766666666666666785e+01,3.681787005729087348e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,4.714045207910316782e-01,1.733333333333333215e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.705883026123043406e-02,4.510064031186280381e-03,2.349101702372232703e-01,5.192977950961271197e-03,1.100000000000000000e+01,8.164965809277260345e-01,2.666666666666667140e+01,5.443310539518177116e+00
4.661458333333333037e+00,4.179180427444942225e+00,2.419999999999999929e+01,2.833137248116770923e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.859999999999999787e+01,8.485281374238573537e-01,1.759999999999999787e+01,8.485281374238573537e-01,7.812500000000000000e+00,7.760241888412156008e+00,6.666666666666666297e-01,4.714045207910316782e-01,2.833333333333333215e+01,3.681787005729087348e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,9.428090415820633563e-01,1.866666666666666785e+01,9.428090415820633563e-01,1.933333333333333215e+01,2.624669291337270227e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.766666666666666785e+01,9.428090415820633563e-01,1.666666666666666785e+01,9.428090415820633563e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.099472363789873758e-02,7.300141330767831102e-03,2.759048938751220703e-01,2.817714940011041037e-03,1.400000000000000000e+01,1.414213562373095145e+00,3.000000000000000000e+01,7.071067811865475505e+00
8.932291666666666075e+00,5.061605073505724306e+00,2.659999999999999787e+01,2.355136231020759752e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.812777777777777644e+01,8.160806665526332271e-01,1.712777777777777644e+01,8.160806665526318948e-01,2.291666666666666785e+01,1.062295731998496784e+01,1.666666666666666741e+00,9.428090415820633563e-01,3.833333333333333570e+01,4.027681991198191369e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.966666666666666785e+01,1.247219128924647036e+00,1.866666666666666785e+01,1.247219128924647036e+00,1.433333333333333393e+01,3.299831645537221636e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.433863321940096996e-02,8.314194866299778885e-03,3.102435270945231305e-01,5.517378840668789655e-03,1.700000000000000000e+01,8.164965809277260345e-01,3.200000000000000000e+01,3.265986323710904138e+00
1.296875000000000000e+01,7.102073860852194720e+00,3.346666666666666856e+01,2.456736769691770128e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.723333333333333428e+01,9.533566430716730045e-01,1.623333333333333428e+01,9.533566430716730045e-01,2.291666666666666785e+01,1.062295731998496784e+01,2.000000000000000000e+00,8.164965809277260345e-01,4.133333333333333570e+01,2.867441755680875559e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,2.366666666666666785e+01,6.944222218666553204e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.593053499857580241e-02,7.173556613773096786e-03,3.661740620930989398e-01,1.689947769297433068e-03,1.966666666666666785e+01,4.714045207910316782e-01,3.444444444444444997e+01,1.571348402636769892e+00
1.562500000000000000e+01,9.631896879639025855e+00,3.513333333333333286e+01,8.219218670625303425e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.723333333333333428e+01,8.956685895029595779e-01,1.623333333333333428e+01,8.956685895029602440e-01,2.291666666666666785e+01,1.062295731998496784e+01,2.333333333333333481e+00,9.428090415820633563e-01,4.600000000000000000e+01,5.354126134736336695e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,4.714045207910316782e-01,1.733333333333333215e+01,4.714045207910316782e-01,2.500000000000000000e+01,4.966554808583779845e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.143673261006666469e-02,2.242411702805446189e-02,4.276107947031657086e-01,2.149746404859248505e-02,2.200000000000000000e+01,1.414213562373095145e+00,3.714285714285714590e+01,4.040610178208842385e+00
1.640625000000000000e+01,1.187157297040567627e+01,3.766666666666666430e+01,2.124983660067897961e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,1.319932658214888921e+00,1.633333333333333215e+01,1.319932658214888255e+00,2.708333333333333215e+01,1.640418307085793970e+01,2.333333333333333481e+00,9.428090415820633563e-01,4.633333333333333570e+01,8.730533902472529917e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866666666666666785e+01,1.699673171197594979e+00,1.766666666666666785e+01,1.699673171197594979e+00,2.966666666666666785e+01,4.714045207910316115e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.838347434997553043e-02,6.573175106939172473e-03,4.759942690531412945e-01,2.790819383580433327e-02,2.433333333333333215e+01,2.054804667656325634e+00,3.916666666666666430e+01,5.137011669140811421e+00
1.476562500000000000e+01,1.060909501962427903e+01,3.913333333333333286e+01,2.080598204576962207e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.740000000000000213e+01,1.131370849898475361e+00,1.640000000000000213e+01,1.131370849898476250e+00,2.708333333333333215e+01,1.640418307085793970e+01,2.333333333333333481e+00,9.428090415820633563e-01,4.800000000000000000e+01,5.715476066494082019e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,2.160246899469286941e+00,1.800000000000000000e+01,2.160246899469286941e+00,2.833333333333333215e+01,5.734883511361751118e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.821316401163733278e-02,7.644225646840944674e-03,5.242074330647786828e-01,3.547926438683002975e-02,2.766666666666666785e+01,2.054804667656325634e+00,3.851851851851851904e+01,4.566232594791829413e+00
1.223958333333333393e+01,8.406901823138468899e+00,3.993333333333333002e+01,4.212151733048350444e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.730000000000000071e+01,8.524474568362943039e-01,1.630000000000000071e+01,8.524474568362947480e-01,2.708333333333333215e+01,1.640418307085793970e+01,2.666666666666666519e+00,1.247219128924647036e+00,5.066666666666666430e+01,9.672412085697938977e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.866666666666666785e+01,9.428090415820633563e-01,1.766666666666666785e+01,9.428090415820633563e-01,2.666666666666666785e+01,5.557777333511022100e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333215e+01,4.714045207910316782e-01,1.533333333333333393e+01,4.714045207910316782e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.147529602050779862e-02,9.385950172791143048e-03,5.656827290852864953e-01,4.484110018218512295e-02,3.100000000000000000e+01,1.632993161855452069e+00,3.800000000000000000e+01,3.265986323710907246e+00
