ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.196533203125	29.0	5.0	30.4	19.4	0.78125	0	0	36	5	35	24	24	5	27	16	0	0	0.1726069450378418	5	0.1726069450378418	5	0.0	
0.5224609375	26.6	5.0	30.4	19.4	1.5625	1	0	38	5	33	22	20	5	27	16	0	0	0.04480099678039551	10	0.2174079418182373	9	10.0	
0.78125	21.6	5.0	29.333333333333332	18.333333333333332	1.5625	2	2	34	5.0	30.0	19.0	10	5.0	29.0	18.0	0	0	0.02168560028076172	15	0.23909354209899902	11	26.66666666666667	
0.6693522135416666	22.8	5.0	29.75	18.75	1.5625	3	3	31	5.0	31.0	20.0	16	5.0	29.0	18.0	0	0	0.03656506538391113	20	0.27565860748291016	14	30.0	
1.09375	23.2	5.0	29.2	18.2	1.5625	4	3	28	5	31	20	20	5	28	17	0	0	0.04460024833679199	25	0.32025885581970215	16	36.0	
0.78125	26.4	5.0	29.6	18.6	1.5625	5	3	35	5	30	19	20	5	29	18	0	0	0.06869363784790039	30	0.38895249366760254	20	33.33333333333334	
0.3125	26.8	5.0	29.8	18.8	1.5625	6	3	36	5	32	21	20	5	28	17	0	0	0.04288649559020996	35	0.4318389892578125	24	31.42857142857143	
0.87890625	26.4	5.0	30.25	19.25	1.5625	7	4	48	5.0	32.0	21.0	8	5.0	28.0	17.0	0	0	0.03484916687011719	40	0.4666881561279297	26	35.0	
0.4119873046875	25.6	5.0	30.25	19.25	1.5625	8	5	34	5.0	32.0	21.0	12	5.0	29.0	18.0	0	0	0.08027315139770508	45	0.5469613075256348	29	35.55555555555556	
0.5452473958333334	25.6	5.0	30.5	19.5	1.5625	9	6	46	5.0	33.0	22.0	8	5.0	29.0	18.0	0	0	0.051210641860961914	50	0.5981719493865967	32	36.0	
0.9765625	20.0	5.0	29.5	18.5	1.5625	10	7	33	5.0	30.0	19.0	7	5.0	29.0	18.0	0	0	0.047191619873046875	55	0.6453635692596436	35	36.36363636363637	
