# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.576578776041666297e-01,6.375633273221177344e-01,3.040000000000000213e+01,7.745966692414837373e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.140000000000000213e+01,5.291502622129193867e-01,2.040000000000000213e+01,5.291502622129184985e-01,1.676432291666666741e+00,2.126438526604355062e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.650000000000000000e+01,1.802775637731994562e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.883333333333333215e+01,1.343709624716424855e+00,1.783333333333333215e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.633535226186116074e-01,1.883019441454505602e-02,1.633535226186116074e-01,1.883019441454505602e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.205159505208333703e-01,7.181305692464337032e-01,2.873333333333333428e+01,1.299572579307861631e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.163977794943221955e-01,1.950000000000000000e+01,5.163977794943221955e-01,2.148437500000000000e+00,2.051556153201657740e+00,3.333333333333333148e-01,4.714045207910316782e-01,3.916666666666666430e+01,4.946940693218610186e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.233333333333333570e+01,7.453559924999297870e-01,2.133333333333333215e+01,7.453559924999297870e-01,2.066666666666666785e+01,4.384315479321968745e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.164965809277260345e-01,1.700000000000000000e+01,8.164965809277260345e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.049670696258541452e-02,6.988101269112534375e-03,2.038502295811971121e-01,2.294403240853548978e-02,8.500000000000000000e+00,5.000000000000000000e-01,1.500000000000000000e+01,5.000000000000000000e+00
1.170654296875000000e+00,8.093838601627723062e-01,3.089999999999999503e+01,4.768997099321127031e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.051388888888888573e+01,7.802193819372977845e-01,1.951388888888888928e+01,7.802193819372976735e-01,3.100585937500000000e+00,2.234698149959291058e+00,1.000000000000000000e+00,8.164965809277260345e-01,4.316666666666666430e+01,7.624886155798582088e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.183333333333333215e+01,1.343709624716424855e+00,2.083333333333333215e+01,1.343709624716424855e+00,1.983333333333333215e+01,6.066758241067098822e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,7.637626158259733788e-01,1.750000000000000000e+01,7.637626158259733788e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.797924518585198139e-02,9.849316476268025339e-03,2.418294747670491074e-01,2.686087210253119278e-02,1.116666666666666607e+01,1.067187372905474829e+00,2.555555555555556069e+01,7.114582486036503894e+00
2.118394639756944198e+00,1.476192161362316790e+00,3.186666666666666359e+01,5.191873992650010372e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.002499999999999503e+01,5.625462943912556968e-01,1.902499999999999858e+01,5.625462943912556968e-01,4.370117187500000000e+00,2.474025256941582374e+00,1.500000000000000000e+00,9.574271077563381027e-01,4.150000000000000000e+01,7.610300037887249403e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.183333333333333215e+01,6.871842709362767643e-01,2.083333333333333215e+01,6.871842709362767643e-01,2.216666666666666785e+01,6.094168432927407508e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.833333333333333215e+01,7.453559924999297870e-01,1.733333333333333215e+01,7.453559924999297870e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.153144359588618190e-02,8.652027168780778918e-03,2.833609183629353656e-01,3.122889563353947046e-02,1.416666666666666607e+01,6.871842709362767643e-01,2.916666666666666785e+01,3.435921354681383821e+00
3.378092447916666519e+00,2.246589790155254729e+00,3.009999999999999787e+01,4.837010095778864205e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.873333333333333428e+01,4.268749491621898762e-01,1.773333333333333428e+01,4.268749491621898762e-01,6.095377604166666963e+00,4.669699602923546244e+00,1.666666666666666741e+00,7.453559924999298980e-01,4.083333333333333570e+01,6.865776641348660725e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,8.164965809277260345e-01,1.900000000000000000e+01,8.164965809277260345e-01,2.200000000000000000e+01,7.187952884282608146e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.783333333333333215e+01,8.975274678557507713e-01,1.683333333333333215e+01,8.975274678557507713e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.517793655395502955e-02,5.937447225733555323e-03,3.285388549168904437e-01,2.941674041108317469e-02,1.700000000000000000e+01,1.154700538379251462e+00,3.200000000000000000e+01,4.618802153517005848e+00
4.132622612847222321e+00,2.823487878819485708e+00,2.970000000000000284e+01,7.033965216481147031e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.849722222222222001e+01,9.012551261818919635e-01,1.749722222222222001e+01,9.012551261818911863e-01,8.439127604166666075e+00,8.040220436935362258e+00,2.333333333333333481e+00,4.714045207910316782e-01,4.066666666666666430e+01,6.342099196813482997e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.983333333333333215e+01,1.067187372905474829e+00,1.883333333333333215e+01,1.067187372905474829e+00,1.950000000000000000e+01,8.220908303425682462e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+01,1.258305739211791563e+00,1.650000000000000000e+01,1.258305739211791563e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.992642084757480503e-02,1.060155265795156149e-02,3.984652757644653320e-01,3.518365204899490811e-02,2.000000000000000000e+01,1.414213562373095145e+00,3.333333333333333570e+01,4.714045207910320556e+00
4.031168619791666963e+00,4.051786728131044235e+00,3.063333333333333641e+01,7.298782242417033217e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.835833333333333428e+01,1.121909334819688464e+00,1.735833333333333428e+01,1.121909334819688464e+00,8.675130208333333925e+00,7.860856341519709467e+00,2.500000000000000000e+00,5.000000000000000000e-01,3.883333333333333570e+01,8.782874750836930033e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.016666666666666785e+01,1.462494064565353691e+00,1.916666666666666785e+01,1.462494064565353691e+00,2.166666666666666785e+01,6.236095644623235401e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,1.105541596785133418e+00,1.633333333333333215e+01,1.105541596785133418e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.495946566263830241e-02,7.161111042573648985e-03,4.434247414271036969e-01,3.712394959443506004e-02,2.350000000000000000e+01,1.707825127659932996e+00,3.285714285714286120e+01,4.879500364742671792e+00
6.407660590277777679e+00,7.704194482310287917e+00,3.183333333333333215e+01,9.215506256064045942e+00,4.944444444444444642e+00,1.242259987499882007e-01,2.803611111111111143e+01,1.599433252247514536e+00,1.703611111111111498e+01,1.599433252247514980e+00,8.675130208333333925e+00,7.860856341519709467e+00,3.500000000000000000e+00,9.574271077563381027e-01,4.266666666666666430e+01,1.062491830033948403e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.883333333333333215e+01,1.950783318453271020e+00,1.783333333333333215e+01,1.950783318453271020e+00,1.850000000000000000e+01,1.050000000000000000e+01,4.833333333333333037e+00,3.726779962499649490e-01,2.716666666666666785e+01,1.343709624716424855e+00,1.616666666666666785e+01,1.343709624716424855e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.592836856842036852e-02,1.277527691236877462e-02,4.793531099955241070e-01,3.655687298080578795e-02,2.550000000000000000e+01,1.802775637731994562e+00,3.625000000000000000e+01,4.506939094329988293e+00
6.447652180989583037e+00,7.053008713203984925e+00,3.513333333333333286e+01,1.008210736348750025e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.811666666666666359e+01,1.483426963337109106e+00,1.711666666666666359e+01,1.483426963337108884e+00,8.675130208333333925e+00,7.860856341519709467e+00,3.833333333333333481e+00,1.343709624716424855e+00,4.400000000000000000e+01,9.146948489341495403e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.933333333333333215e+01,1.699673171197594979e+00,1.833333333333333215e+01,1.699673171197594979e+00,2.516666666666666785e+01,1.402874034101264478e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.733333333333333215e+01,1.105541596785133418e+00,1.633333333333333215e+01,1.105541596785133418e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.571365356445307643e-02,1.418590797095716123e-02,5.350667635599771765e-01,4.401976715179871380e-02,2.833333333333333215e+01,2.054804667656325634e+00,3.703703703703703809e+01,4.566232594791836519e+00
5.277886284722222321e+00,5.312758384742859441e+00,3.506666666666666998e+01,1.082876826893170907e+01,4.958333333333333037e+00,9.316949906249122337e-02,2.844999999999999929e+01,1.722401424368508405e+00,1.744999999999999929e+01,1.722401424368508405e+00,9.521484375000000000e+00,7.699737567475370525e+00,4.333333333333333037e+00,1.699673171197594979e+00,4.866666666666666430e+01,1.019258990094710349e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,2.081665999466132622e+00,1.900000000000000000e+01,2.081665999466132622e+00,2.216666666666666785e+01,1.464487016747578352e+01,4.833333333333333037e+00,3.726779962499649490e-01,2.716666666666666785e+01,1.572330188676100748e+00,1.616666666666666785e+01,1.572330188676100748e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.746274153391514400e-02,9.741828015576881050e-03,5.825295050938924524e-01,5.209497174183171098e-02,3.100000000000000000e+01,2.309401076758502924e+00,3.800000000000000000e+01,4.618802153517005848e+00
