ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.40625	30.4	5.0	31.4	20.4	3.125	0	0	36	5	35	24	28	5	30	19	0	0	0.22643303871154785	5	0.22643303871154785	5	0.0	
1.5625	29.6	5.0	30.6	19.6	3.125	1	0	39	5	33	22	25	5	30	19	0	0	0.06197547912597656	10	0.2884085178375244	9	10.0	
2.5390625	27.4	5.0	30.0	19.0	3.125	2	1	42	5.0	30.0	19.0	11	5.0	30.0	19.0	0	0	0.08421826362609863	15	0.37262678146362305	10	33.33333333333334	
2.83203125	28.0	5.0	30.0	19.0	3.125	3	2	46	5.0	30.0	19.0	10	5.0	30.0	19.0	0	0	0.08742475509643555	20	0.4600515365600586	11	44.99999999999999	
1.171875	28.0	5.0	30.666666666666668	19.666666666666668	3.125	4	4	39	5.0	31.0	20.0	17	5.0	30.0	19.0	0	0	0.03542733192443848	25	0.49547886848449707	13	48.0	
0.87890625	33.4	5.0	30.8	19.8	3.125	5	4	37	5	32	21	28	5	30	19	0	0	0.08240342140197754	30	0.5778822898864746	14	53.333333333333336	
1.25	29.8	5.0	29.8	18.8	3.125	6	4	38	5	30	19	27	5	29	18	0	0	0.04109907150268555	35	0.6189813613891602	17	51.42857142857143	
1.2109375	29.8	5.0	30.2	19.2	3.125	7	4	44	5	31	20	21	5	30	19	0	0	0.10358905792236328	40	0.7225704193115234	21	47.5	
0.83984375	28.0	5.0	30.2	19.2	3.125	8	4	30	5	31	20	26	5	30	19	0	0	0.04406452178955078	45	0.7666349411010742	23	48.88888888888889	
0.9765625	28.0	5.0	30.25	19.25	3.125	9	5	37	5.0	31.0	20.0	19	5.0	30.0	19.0	0	0	0.03335762023925781	50	0.799992561340332	26	48.0	
1.3671875	33.4	5.0	29.5	18.5	3.125	10	6	50	5.0	31.0	20.0	15	5.0	28.0	17.0	0	0	0.030388355255126953	55	0.830380916595459	29	47.27272727272728	
1.171875	32.4	5.0	29.8	18.8	3.125	11	6	53	5	30	19	25	5	29	18	0	0	0.04038286209106445	60	0.8707637786865234	32	46.666666666666664	
1.015625	27.4	5.0	30.0	19.0	3.125	12	6	28	5	30	19	25	5	30	19	0	0	0.04154562950134277	65	0.9123094081878662	34	47.692307692307686	
1.7578125	28.0	5.0	29.75	18.75	3.125	13	7	41	5.0	30.0	19.0	15	5.0	29.0	18.0	0	0	0.03572559356689453	70	0.9480350017547607	36	48.57142857142858	
1.66015625	30.6	5.0	29.75	18.75	3.125	14	8	43	5.0	30.0	19.0	13	5.0	29.0	18.0	0	0	0.03156709671020508	75	0.9796020984649658	36	52.0	
2.34375	28.0	5.0	29.75	18.75	3.125	15	9	41	5.0	30.0	19.0	15	5.0	29.0	18.0	0	0	0.03389692306518555	80	1.0134990215301514	38	52.5	
1.484375	29.8	5.0	30.0	19.0	3.125	16	9	38	5	31	20	27	5	29	18	0	0	0.038909912109375	85	1.0524089336395264	40	52.94117647058824	
1.5625	34.0	5.0	29.2	18.2	3.125	17	9	39	5	32	21	28	5	28	17	0	0	0.03802227973937988	90	1.0904312133789062	44	51.111111111111114	
1.875	31.6	5.0	29.8	18.8	4.6875	18	9	41	5	31	20	24	5	28	17	0	0	0.036202430725097656	95	1.126633644104004	48	49.473684210526315	
3.3203125	25.6	5.0	28.666666666666668	17.666666666666668	4.6875	19	11	39	5.0	31.0	20.0	11	5.0	27.0	16.0	0	0	0.019117116928100586	100	1.1457507610321045	50	50.0	
2.8125	30.0	5.0	28.8	17.8	4.6875	20	11	34	5	30	19	24	5	28	17	0	0	0.03822827339172363	105	1.1839790344238281	52	50.476190476190474	
2.03125	30.8	5.0	29.0	18.0	4.6875	21	11	34	5	30	19	24	5	28	17	0	0	0.03765058517456055	110	1.2216296195983887	54	50.90909090909091	
4.53125	28.0	5.0	28.0	17.0	8.59375	22	11	49	5	28	17	19	5	28	17	0	0	0.03976941108703613	115	1.2613990306854248	56	51.30434782608695	
19.091796875	21.0	5.0	27.5	16.5	42.1875	23	12	26	5.0	29.0	18.0	17	5.0	26.0	15.0	0	0	0.03104567527770996	120	1.2924447059631348	59	50.833333333333336	
28.515625	25.2	5.0	27.0	16.0	42.1875	24	14	37	5.0	29.0	18.0	14	5.0	26.0	15.0	0	0	0.02126932144165039	125	1.3137140274047852	60	52.0	
26.09375	29.0	5.0	27.0	16.0	42.1875	25	14	35	5	28	17	21	5	26	15	0	0	0.05796003341674805	130	1.3716740608215332	63	51.53846153846154	
36.25	27.4	5.0	26.4	15.4	46.875	26	14	34	5	27	16	20	5	26	15	0	0	0.054918527603149414	135	1.4265925884246826	66	51.111111111111114	
27.421875	32.8	5.0	27.0	16.0	46.875	27	14	37	5	28	17	28	5	26	15	0	0	0.04416370391845703	140	1.4707562923431396	69	50.71428571428571	
31.25	29.2	5.0	27.0	16.0	46.875	28	15	47	5.0	29.0	18.0	15	5.0	26.0	15.0	0	0	0.03150653839111328	145	1.502262830734253	71	51.03448275862069	
34.375	28.0	5.0	26.0	15.0	46.875	29	16	40	5.0	26.0	15.0	16	5.0	26.0	15.0	0	0	0.030825376510620117	150	1.533088207244873	73	51.33333333333333	
33.359375	29.6	5.0	26.6	15.6	46.875	30	16	40	5	29	18	20	5	26	15	0	0	0.04443359375	155	1.577521800994873	74	52.25806451612903	
34.765625	28.0	5.0	26.5	15.5	46.875	31	17	41	5.0	27.0	16.0	15	5.0	26.0	15.0	0	0	0.032608747482299805	160	1.6101305484771729	76	52.5	
27.890625	26.2	5.0	27.0	16.0	46.875	32	17	36	5	28	17	17	5	26	15	0	0	0.05874776840209961	165	1.6688783168792725	78	52.72727272727273	
31.93359375	23.6	5.0	26.75	15.75	46.875	33	18	29	5.0	28.0	17.0	16	5.0	26.0	15.0	0	0	0.04566669464111328	170	1.7145450115203857	79	53.529411764705884	
32.8125	28.2	5.0	26.6	15.6	46.875	34	18	36	5	27	16	20	5	26	15	0	0	0.060935020446777344	175	1.775480031967163	80	54.285714285714285	
20.703125	28.6	5.0	27.4	16.4	46.875	35	18	40	5	29	18	17	5	26	15	0	0	0.0497281551361084	180	1.8252081871032715	84	53.333333333333336	
27.578125	30.4	5.0	27.0	16.0	46.875	36	18	42	5	29	18	24	5	26	15	0	0	0.04767775535583496	185	1.8728859424591064	85	54.05405405405405	
36.875	36.4	5.0	26.2	15.2	46.875	37	18	42	5	27	16	28	5	26	15	0	0	0.0648798942565918	190	1.9377658367156982	87	54.21052631578947	
28.59375	39.2	5.0	26.6	15.6	46.875	38	18	54	5	27	16	28	5	26	15	0	0	0.06532120704650879	195	2.003087043762207	91	53.333333333333336	
34.53125	33.6	5.0	26.6	15.6	46.875	39	18	48	5	28	17	22	5	26	15	0	0	0.05629229545593262	200	2.0593793392181396	93	53.5	
40.625	25.6	5.0	26.25	15.25	50.0	40	19	35	5.0	27.0	16.0	15	5.0	26.0	15.0	0	0	0.03580737113952637	205	2.095186710357666	96	53.17073170731707	
30.0	33.6	5.0	27.0	16.0	50.0	41	19	39	5	29	18	28	5	26	15	0	0	0.04227042198181152	210	2.1374571323394775	99	52.85714285714286	
19.6	35.0	4.6	26.0	15.0	50.0	42	19	37	5	27	16	33	4	25	14	0	0	0.033928871154785156	215	2.1713860034942627	101	53.02325581395349	
35.0	34.2	5.0	26.6	15.6	50.0	43	19	35	5	27	16	33	5	26	15	0	0	0.05007052421569824	220	2.221456527709961	101	54.090909090909086	
45.0	35.0	5.0	26.2	15.2	50.0	44	19	38	5	27	16	32	5	26	15	0	0	0.06009030342102051	225	2.2815468311309814	101	55.111111111111114	
26.328125	35.6	5.0	27.2	16.2	50.0	45	19	48	5	29	18	25	5	26	15	0	0	0.09643840789794922	230	2.3779852390289307	105	54.34782608695652	
40.9375	38.6	5.0	26.4	15.4	50.0	46	19	50	5	28	17	29	5	26	15	0	0	0.04747438430786133	235	2.425459623336792	106	54.8936170212766	
19.175	38.4	4.8	26.8	15.8	50.0	47	19	45	5	28	17	33	4	25	14	0	0	0.030309438705444336	240	2.4557690620422363	110	54.16666666666667	
25.3125	37.0	5.0	26.8	15.8	50.0	48	19	45	5	28	17	25	5	26	15	0	0	0.03921031951904297	245	2.4949793815612793	113	53.87755102040816	
38.125	39.0	5.0	26.4	15.4	50.0	49	19	56	5	27	16	24	5	26	15	0	0	0.04292774200439453	250	2.537907123565674	114	54.4	
25.0	43.4	5.0	26.6	15.6	50.0	50	19	51	5	28	17	35	5	26	15	0	0	0.041474342346191406	255	2.5793814659118652	117	54.11764705882353	
