# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
5.557250976562500000e-01,6.004471036894046820e-01,3.039999999999999858e+01,8.485281374238575758e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,5.796550698475788632e-01,2.039999999999999858e+01,5.796550698475779750e-01,1.398925781250000000e+00,1.411960451496200974e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,1.549193338482966809e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.166190378969060193e+00,1.819999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.724728584289550448e-01,2.800568773331181538e-02,1.724728584289550448e-01,2.800568773331181538e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.111755371093750000e-01,5.864639746229191042e-01,2.867999999999999972e+01,1.652150114245070744e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,5.932958789676529010e-01,1.950000000000000000e+01,5.932958789676529010e-01,1.516113281250000000e+00,1.329085059137069091e+00,2.000000000000000111e-01,4.000000000000000777e-01,3.879999999999999716e+01,4.874423042781575788e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.260000000000000142e+01,4.898979485566355985e-01,2.160000000000000142e+01,4.898979485566355985e-01,2.080000000000000071e+01,4.069397989875160881e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,1.019803902718556810e+00,1.739999999999999858e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.549298286437983979e-02,9.402003569464287280e-03,2.179658412933349054e-01,3.682638284480918567e-02,8.800000000000000711e+00,3.999999999999999667e-01,1.200000000000000000e+01,4.000000000000000000e+00
9.731445312500000000e-01,8.907672868807584576e-01,2.871999999999999886e+01,3.260920115550210330e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.041000000000000369e+01,6.590902821313628923e-01,1.941000000000000369e+01,6.590902821313628923e-01,1.984863281250000000e+00,1.398727642627224155e+00,8.000000000000000444e-01,7.483314773547883325e-01,4.060000000000000142e+01,7.227724399837061497e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,1.356465996625053627e+00,2.039999999999999858e+01,1.356465996625053627e+00,1.719999999999999929e+01,4.955804677345546416e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.880000000000000071e+01,9.797958971132713080e-01,1.780000000000000071e+01,9.797958971132713080e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.849619865417476028e-02,1.906071465820202704e-02,2.664620399475097212e-01,5.534986636404246041e-02,1.180000000000000071e+01,1.166190378969060193e+00,2.133333333333333570e+01,7.774602526460405727e+00
1.410420735677083481e+00,1.107331395774754368e+00,2.932000000000000028e+01,5.208608259410569374e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.966000000000000369e+01,5.851495535331118214e-01,1.866000000000000014e+01,5.851495535331118214e-01,1.984863281250000000e+00,1.398727642627224155e+00,1.600000000000000089e+00,8.000000000000000444e-01,4.000000000000000000e+01,6.196773353931867234e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.080000000000000071e+01,1.166190378969059971e+00,1.980000000000000071e+01,1.166190378969059971e+00,1.839999999999999858e+01,7.282856582413249846e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,1.200000000000000178e+00,1.739999999999999858e+01,1.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.721870422363277919e-02,2.085592941205136053e-02,3.136807441711425559e-01,7.401933779726156681e-02,1.440000000000000036e+01,1.959591794226542394e+00,2.800000000000000000e+01,9.797958971132709749e+00
1.380126953125000000e+00,1.181157188200586239e+00,2.983999999999999631e+01,4.570164110838909721e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.943999999999999773e+01,7.502295944872124922e-01,1.844000000000000128e+01,7.502295944872114930e-01,3.234863281250000000e+00,2.674047646382635257e+00,2.399999999999999911e+00,1.496662954709576665e+00,3.939999999999999858e+01,5.748043145279965849e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.060000000000000142e+01,1.019803902718556810e+00,1.960000000000000142e+01,1.019803902718556810e+00,2.060000000000000142e+01,7.391887445030531190e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,1.019803902718556810e+00,1.739999999999999858e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.221019744873042573e-02,1.250879237909362403e-02,3.558909416198730580e-01,7.265063220276923861e-02,1.700000000000000000e+01,2.607680962081059484e+00,3.200000000000000000e+01,1.043072384832423793e+01
1.875061035156250000e+00,1.838364725450836401e+00,3.420000000000000284e+01,5.720139858430036917e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.944999999999999929e+01,7.810249675906661970e-01,1.844999999999999929e+01,7.810249675906661970e-01,3.234863281250000000e+00,2.674047646382635257e+00,2.600000000000000089e+00,1.496662954709576443e+00,4.279999999999999716e+01,6.705221845696083705e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.060000000000000142e+01,1.019803902718557032e+00,1.960000000000000142e+01,1.019803902718557032e+00,2.280000000000000071e+01,5.418486873657626823e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,9.797958971132711969e-01,1.719999999999999929e+01,9.797958971132711969e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.367415428161616653e-02,7.513446359290298915e-03,4.295650959014892800e-01,7.671717410695438888e-02,1.880000000000000071e+01,2.561249694973139590e+00,3.733333333333333570e+01,8.537498983243800410e+00
1.534016927083333481e+00,1.493328020336145645e+00,3.207999999999999829e+01,8.581468405814939970e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.948000000000000043e+01,2.638181191654586644e-01,1.848000000000000043e+01,2.638181191654586644e-01,4.484863281250000000e+00,4.575846655210324521e+00,3.399999999999999911e+00,1.743559577416269324e+00,4.139999999999999858e+01,6.651315659326356489e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,6.324555320336758824e-01,2.000000000000000000e+01,6.324555320336758824e-01,2.260000000000000142e+01,1.085541339608952960e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000071e+01,7.483314773547882215e-01,1.680000000000000071e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.550100326538081774e-02,7.042059417400599146e-03,4.650660991668701394e-01,7.943294671103122429e-02,2.100000000000000000e+01,2.190890230020664298e+00,4.000000000000000000e+01,6.259686371487611645e+00
1.534545898437500000e+00,1.354892949207577857e+00,3.455999999999999517e+01,6.867197390493445575e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.939999999999999858e+01,7.456540752922897752e-01,1.839999999999999858e+01,7.456540752922897752e-01,4.489746093750000000e+00,4.571225327844254060e+00,3.799999999999999822e+00,1.833030277982336198e+00,4.960000000000000142e+01,7.499333303701069653e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.119999999999999929e+01,7.483314773547882215e-01,2.019999999999999929e+01,7.483314773547882215e-01,2.039999999999999858e+01,6.118823416311341745e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.264911064067351765e+00,1.700000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.354351997375483840e-02,2.622255821709152529e-02,5.186096191406249778e-01,1.050652847909751830e-01,2.380000000000000071e+01,2.039607805437114063e+00,4.050000000000000000e+01,5.099019513592783603e+00
2.661987304687500000e+00,3.135362125103996700e+00,3.711999999999999034e+01,6.624318832906520349e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.896999999999999886e+01,1.073126274023704418e+00,1.796999999999999886e+01,1.073126274023704418e+00,4.521484375000000000e+00,4.541583938311796409e+00,4.000000000000000000e+00,1.897366596101027536e+00,4.460000000000000142e+01,7.761443164772902747e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999858e+01,1.356465996625053627e+00,1.939999999999999858e+01,1.356465996625053627e+00,2.719999999999999929e+01,7.222188034107115406e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.264911064067351765e+00,1.700000000000000000e+01,1.264911064067351765e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.475383758544916601e-02,4.941872382700219536e-03,5.633634567260742410e-01,1.036540459175371437e-01,2.580000000000000071e+01,1.720465053408525291e+00,4.266666666666666430e+01,3.823255674241167856e+00
3.589233398437500000e+00,4.792650599284974611e+00,3.692000000000000171e+01,7.392536777047511443e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.879000000000000270e+01,1.019019136228560107e+00,1.778999999999999915e+01,1.019019136228560107e+00,7.021484375000000000e+00,9.247624710904508660e+00,4.400000000000000355e+00,2.059126028197399982e+00,4.839999999999999858e+01,7.889233169326408834e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.264911064067351765e+00,1.900000000000000000e+01,1.264911064067351765e+00,2.600000000000000000e+01,7.823042886243178451e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.780000000000000071e+01,1.326649916142159880e+00,1.680000000000000071e+01,1.326649916142159880e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.296650886535639813e-02,6.154606052473720647e-03,6.063299655914307085e-01,9.828861918956717514e-02,2.880000000000000071e+01,1.720465053408525291e+00,4.239999999999999858e+01,3.440930106817049694e+00
