ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.0250244140625	30.2	5.0	31.4	20.4	0.0732421875	0	0	36	5	35	24	28	5	30	19	0	0	0.21062731742858887	5	0.21062731742858887	5	0.0	
0.0390625	30.2	5.0	29.6	18.6	0.0732421875	1	0	36	5	31	20	26	5	28	17	0	0	0.0499882698059082	10	0.26061558723449707	9	10.0	
0.0341796875	28.0	5.0	30.0	19.0	0.0732421875	2	0	28	5	31	20	28	5	29	18	0	0	0.04938459396362305	15	0.3100001811981201	12	20.0	
0.0244140625	28.0	5.0	29.6	18.6	0.0732421875	3	0	28	5	30	19	28	5	29	18	0	0	0.05987811088562012	20	0.36987829208374023	14	30.0	
0.1123046875	28.0	5.0	29.6	18.6	0.390625	4	0	31	5	30	19	25	5	29	18	0	0	0.05423545837402344	25	0.42411375045776367	17	32.0	
0.185546875	26.8	5.0	29.0	18.0	0.390625	5	0	28	5	29	18	25	5	29	18	0	0	0.08900308609008789	30	0.5131168365478516	19	36.66666666666667	
0.32958984375	25.6	5.0	29.0	18.0	0.390625	6	1	41	5.0	29.0	18.0	9	5.0	29.0	18.0	0	0	0.03893399238586426	35	0.5520508289337158	19	45.714285714285715	
0.252685546875	37.8	5.0	29.8	18.8	0.390625	7	1	56	5	31	20	25	5	29	18	0	0	0.058762550354003906	40	0.6108133792877197	22	44.99999999999999	
0.087890625	49.8	5.0	29.4	18.4	0.390625	8	1	69	5	30	19	25	5	29	18	0	0	0.06064200401306152	45	0.6714553833007812	26	42.22222222222223	
0.09033203125	34.6	5.0	30.0	19.0	0.390625	9	1	49	5	31	20	25	5	29	18	0	0	0.056355953216552734	50	0.727811336517334	30	40.0	
0.29296875	34.6	5.0	30.0	19.0	0.390625	10	2	56	5.0	31.0	20.0	18	5.0	29.0	18.0	0	0	0.037688255310058594	55	0.7654995918273926	31	43.63636363636364	
0.20751953125	37.4	5.0	29.5	18.5	0.439453125	11	3	65	5.0	30.0	19.0	16	5.0	29.0	18.0	0	0	0.04174947738647461	60	0.8072490692138672	34	43.333333333333336	
0.166015625	53.0	5.0	29.4	18.4	0.439453125	12	3	70	5	30	19	25	5	29	18	0	0	0.059752702713012695	65	0.8670017719268799	34	47.692307692307686	
0.185546875	57.0	5.0	30.4	19.4	0.439453125	13	3	75	5	31	20	27	5	30	19	0	0	0.05335664749145508	70	0.920358419418335	38	45.714285714285715	
0.262451171875	61.0	5.0	30.0	19.0	0.439453125	14	4	85	5.0	31.0	20.0	17	5.0	28.0	17.0	0	0	0.03746795654296875	75	0.9578263759613037	41	45.333333333333336	
0.2685546875	77.4	5.0	29.8	18.8	0.439453125	15	4	85	5	31	20	65	5	29	18	0	0	0.05180501937866211	80	1.0096313953399658	44	44.99999999999999	
0.3515625	73.0	5.0	29.6	18.6	0.830078125	16	4	92	5	30	19	58	5	29	18	0	0	0.05627179145812988	85	1.0659031867980957	47	44.705882352941174	
0.4248046875	60.8	5.0	30.0	19.0	0.830078125	17	4	67	5	30	19	56	5	30	19	0	0	0.05445742607116699	90	1.1203606128692627	49	45.55555555555556	
0.21728515625	59.4	5.0	30.0	19.0	0.830078125	18	4	62	5	32	21	58	5	29	18	0	0	0.05133676528930664	95	1.1716973781585693	53	44.21052631578948	
0.361328125	58.0	5.0	30.2	19.2	0.830078125	19	4	68	5	31	20	48	5	29	18	0	0	0.05420374870300293	100	1.2259011268615723	55	44.99999999999999	
0.22705078125	58.0	5.0	30.2	19.2	0.830078125	20	4	61	5	32	21	55	5	28	17	0	0	0.05484938621520996	105	1.2807505130767822	59	43.80952380952381	
0.1953125	55.8	5.0	30.8	19.8	0.830078125	21	4	66	5	32	21	45	5	29	18	0	0	0.05439496040344238	110	1.3351454734802246	63	42.72727272727273	
0.20263671875	56.6	5.0	30.4	19.4	0.830078125	22	4	74	5	33	22	32	5	29	18	0	0	0.058915138244628906	115	1.3940606117248535	66	42.608695652173914	
0.24658203125	37.2	5.0	29.8	18.8	0.830078125	23	4	58	5	31	20	23	5	28	17	0	0	0.06113910675048828	120	1.4551997184753418	70	41.666666666666664	
0.36376953125	44.4	5.0	30.2	19.2	0.830078125	24	4	58	5	31	20	24	5	29	18	0	0	0.052762508392333984	125	1.5079622268676758	73	41.6	
0.3466796875	55.2	5.0	30.0	19.0	0.830078125	25	4	62	5	31	20	47	5	29	18	0	0	0.12735700607299805	130	1.6353192329406738	77	40.76923076923077	
0.5615234375	54.0	5.0	29.2	18.2	0.830078125	26	4	66	5	30	19	40	5	28	17	0	0	0.08778142929077148	135	1.7231006622314453	81	40.0	
0.185546875	55.0	5.0	29.8	18.8	0.830078125	27	4	64	5	30	19	47	5	29	18	0	0	0.0476534366607666	140	1.770754098892212	85	39.28571428571429	
0.517578125	58.0	5.0	29.6	18.6	0.830078125	28	4	65	5	30	19	51	5	29	18	0	0	0.04812049865722656	145	1.8188745975494385	87	40.0	
0.17578125	60.8	5.0	30.2	19.2	0.830078125	29	4	69	5	31	20	54	5	29	18	0	0	0.047972679138183594	150	1.866847276687622	91	39.33333333333333	
0.1708984375	57.2	5.0	30.4	19.4	0.830078125	30	4	70	5	31	20	46	5	30	19	0	0	0.054810285568237305	155	1.9216575622558594	95	38.70967741935484	
0.186767578125	54.4	5.0	30.8	19.8	0.830078125	31	4	63	5	33	22	39	5	30	19	0	0	0.05569195747375488	160	1.9773495197296143	99	38.125	
0.3564453125	58.2	5.0	30.2	19.2	0.830078125	32	4	68	5	31	20	48	5	30	19	0	0	0.056464195251464844	165	2.033813714981079	101	38.787878787878796	
0.5126953125	66.0	5.0	29.8	18.8	0.830078125	33	4	74	5	30	19	58	5	29	18	0	0	0.05418992042541504	170	2.088003635406494	104	38.8235294117647	
0.5419921875	64.4	5.0	29.8	18.8	0.830078125	34	4	90	5	30	19	42	5	29	18	0	0	0.050637006759643555	175	2.1386406421661377	107	38.857142857142854	
0.517578125	73.4	5.0	30.0	19.0	0.830078125	35	4	98	5	31	20	58	5	29	18	0	0	0.05291247367858887	180	2.1915531158447266	111	38.33333333333333	
0.8056640625	62.8	5.0	30.4	19.4	0.830078125	36	4	74	5	31	20	58	5	30	19	0	0	0.050554752349853516	185	2.24210786819458	112	39.45945945945945	
0.4833984375	64.4	5.0	30.0	19.0	0.830078125	37	4	74	5	31	20	58	5	29	18	0	0	0.051448822021484375	190	2.2935566902160645	114	40.0	
0.4833984375	65.0	5.0	30.8	19.8	0.830078125	38	4	79	5	32	21	40	5	30	19	0	0	0.047049522399902344	195	2.340606212615967	116	40.51282051282051	
0.478515625	70.8	5.0	30.2	19.2	0.830078125	39	4	86	5	31	20	58	5	29	18	0	0	0.050861358642578125	200	2.391467571258545	118	41.0	
0.64453125	69.2	5.0	29.8	18.8	0.830078125	40	4	86	5	31	20	58	5	29	18	0	0	0.049283742904663086	205	2.440751314163208	119	41.951219512195124	
0.5859375	65.6	5.0	29.4	18.4	1.5625	41	4	85	5	30	19	49	5	28	17	0	0	0.05231904983520508	210	2.493070363998413	123	41.42857142857142	
0.3271484375	63.4	5.0	29.6	18.6	1.5625	42	4	85	5	30	19	47	5	28	17	0	0	0.04754328727722168	215	2.5406136512756348	126	41.3953488372093	
0.634765625	66.6	5.0	29.2	18.2	1.5625	43	4	85	5	30	19	44	5	28	17	0	0	0.05110335350036621	220	2.591717004776001	128	41.81818181818182	
1.5625	85.0	5.0	28.0	17.0	1.5625	44	4	85	5	28	17	85	5	28	17	0	0	0.05209946632385254	225	2.6438164710998535	128	43.111111111111114	
0.5712890625	85.0	5.0	28.6	17.6	1.5625	45	4	92	5	29	18	78	5	28	17	0	0	0.05780839920043945	230	2.701624870300293	132	42.608695652173914	
0.78125	87.8	5.0	28.8	17.8	1.5625	46	4	92	5	30	19	85	5	28	17	0	0	0.04996013641357422	235	2.751585006713867	134	42.97872340425531	
0.3369140625	87.4	5.0	29.0	18.0	1.5625	47	4	99	5	30	19	77	5	28	17	0	0	0.05153679847717285	240	2.80312180519104	138	42.50000000000001	
