# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
4.407958984375000000e-01,3.383760438387905523e-01,3.039999999999999858e+01,8.485281374238575758e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.139999999999999858e+01,5.796550698475788632e-01,2.039999999999999858e+01,5.796550698475779750e-01,1.416015625000000000e+00,1.333195599753520311e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,1.549193338482966809e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.919999999999999929e+01,1.166190378969060193e+00,1.819999999999999929e+01,1.166190378969060193e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.172853469848632368e-01,3.766570023471364076e-02,2.172853469848632368e-01,3.766570023471364076e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.986450195312500000e-01,8.155044704112414111e-01,2.860000000000000142e+01,1.574801574802361825e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.017999999999999972e+01,7.467261881037785543e-01,1.917999999999999972e+01,7.467261881037785543e-01,1.728515625000000000e+00,1.503192682784595169e+00,5.999999999999999778e-01,4.898979485566356540e-01,3.820000000000000284e+01,4.995998398718718647e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.119999999999999929e+01,9.797958971132713080e-01,2.019999999999999929e+01,9.797958971132713080e-01,2.039999999999999858e+01,4.498888751680797604e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.860000000000000142e+01,1.019803902718556810e+00,1.760000000000000142e+01,1.019803902718556810e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.209971427917478387e-02,6.111864744162077284e-03,2.593850612640380415e-01,4.168524224013712282e-02,8.199999999999999289e+00,7.483314773547882215e-01,1.800000000000000000e+01,7.483314773547882659e+00
1.039062500000000000e+00,1.112733512116911516e+00,2.843999999999999773e+01,2.499279896290128367e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.001999999999999957e+01,8.158431221748454476e-01,1.901999999999999957e+01,8.158431221748454476e-01,2.463378906250000000e+00,2.289908919876099791e+00,1.199999999999999956e+00,7.483314773547883325e-01,3.539999999999999858e+01,8.569714114251420156e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,1.095445115010332149e+00,2.000000000000000000e+01,1.095445115010332149e+00,2.260000000000000142e+01,5.200000000000000178e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.839999999999999858e+01,8.000000000000000444e-01,1.739999999999999858e+01,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.713006019592279328e-02,1.645818621590254202e-02,3.065151214599609597e-01,5.472106217102226666e-02,1.100000000000000000e+01,1.095445115010332149e+00,2.666666666666666785e+01,7.302967433402214326e+00
1.598693847656250000e+00,1.800704726870922201e+00,3.028000000000000114e+01,3.402587250901877969e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.955000000000000071e+01,9.989994994993735000e-01,1.855000000000000071e+01,9.989994994993735000e-01,2.749023437500000000e+00,2.202987341942700628e+00,1.399999999999999911e+00,8.000000000000000444e-01,3.600000000000000000e+01,6.324555320336759046e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.080000000000000071e+01,1.166190378969060193e+00,1.980000000000000071e+01,1.166190378969060193e+00,2.480000000000000071e+01,2.785677655436823663e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,7.483314773547882215e-01,1.719999999999999929e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.154361724853512294e-02,7.117052994642164218e-03,3.580587387084960826e-01,5.973464613761186870e-02,1.359999999999999964e+01,1.496662954709576443e+00,3.200000000000000000e+01,7.483314773547882659e+00
1.665039062500000000e+00,1.311902773173754033e+00,3.148000000000000043e+01,5.199384578967013226e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.915999999999999659e+01,5.209606511052450317e-01,1.816000000000000014e+01,5.209606511052450317e-01,2.812500000000000000e+00,2.128279007367954279e+00,1.800000000000000044e+00,9.797958971132711969e-01,3.779999999999999716e+01,5.741080037762928967e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999858e+01,4.898979485566355985e-01,1.939999999999999858e+01,4.898979485566355985e-01,2.480000000000000071e+01,8.304215796810678896e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,7.483314773547882215e-01,1.719999999999999929e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.902429580688472122e-02,1.031859089199974912e-02,4.070830345153808594e-01,6.769002601846568767e-02,1.639999999999999858e+01,1.743559577416269324e+00,3.439999999999999858e+01,6.974238309665075519e+00
2.326171875000000000e+00,1.982141875238555784e+00,3.328000000000000114e+01,6.467889918667448335e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.878999999999999915e+01,4.565084884205326543e-01,1.778999999999999915e+01,4.565084884205326543e-01,4.941406250000000000e+00,4.300247256245127936e+00,2.000000000000000000e+00,1.095445115010332149e+00,4.100000000000000000e+01,7.014271166700073223e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.960000000000000142e+01,1.019803902718557032e+00,1.860000000000000142e+01,1.019803902718557032e+00,2.560000000000000142e+01,9.243376006633074127e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,7.483314773547882215e-01,1.719999999999999929e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.397864341735832905e-02,1.691386508716538617e-02,5.010616779327392578e-01,8.407148241373506303e-02,1.900000000000000000e+01,1.095445115010332149e+00,3.666666666666667140e+01,3.651483716701107163e+00
2.424804687500000000e+00,2.552081911255316804e+00,3.292000000000000171e+01,6.072363625475666993e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.903999999999999915e+01,5.986651818838297778e-01,1.803999999999999915e+01,5.986651818838297778e-01,5.097656250000000000e+00,4.550571682406371110e+00,2.200000000000000178e+00,7.483314773547882215e-01,4.400000000000000000e+01,5.366563145999495354e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.039999999999999858e+01,7.999999999999999334e-01,1.939999999999999858e+01,7.999999999999999334e-01,2.219999999999999929e+01,7.833262411026455929e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.944271909999158554e-01,1.700000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.734027862548823407e-02,2.663660604270263327e-02,5.684019565582275613e-01,8.447020499314795983e-02,2.200000000000000000e+01,1.673320053068151125e+00,3.714285714285714590e+01,4.780914437337576040e+00
2.816406250000000000e+00,3.093992069676844814e+00,3.683999999999999631e+01,5.932149694672244067e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.911999999999999744e+01,8.158431221748457807e-01,1.811999999999999744e+01,8.158431221748457807e-01,5.097656250000000000e+00,4.550571682406371110e+00,2.200000000000000178e+00,7.483314773547882215e-01,4.900000000000000000e+01,1.188276062201035721e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.019999999999999929e+01,9.797958971132713080e-01,1.919999999999999929e+01,9.797958971132713080e-01,2.700000000000000000e+01,4.147288270665543841e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.944271909999158554e-01,1.700000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.012320518493648180e-02,1.193953428154237266e-02,6.285251617431640847e-01,9.599104969722810354e-02,2.519999999999999929e+01,1.720465053408525291e+00,3.700000000000000000e+01,4.301162633521310674e+00
3.049397786458333037e+00,3.761450561104112023e+00,3.815999999999999659e+01,9.159388625885462432e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.886666666666666359e+01,7.093032575077548030e-01,1.786666666666666714e+01,7.093032575077542479e-01,5.097656250000000000e+00,4.550571682406371110e+00,2.600000000000000089e+00,1.356465996625053627e+00,5.179999999999999716e+01,1.077775486824598339e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000071e+01,7.483314773547882215e-01,1.880000000000000071e+01,7.483314773547882215e-01,2.760000000000000142e+01,9.199999999999999289e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.819999999999999929e+01,7.483314773547882215e-01,1.719999999999999929e+01,7.483314773547882215e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.775929450988763980e-02,1.354429127303908090e-02,6.762844562530517800e-01,1.014444673351643372e-01,2.839999999999999858e+01,1.854723699099140921e+00,3.688888888888889284e+01,4.121608220220311480e+00
2.530517578125000000e+00,2.695237310715287826e+00,3.507999999999999829e+01,7.819565205303938171e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.898000000000000043e+01,7.440430095095307284e-01,1.797999999999999687e+01,7.440430095095306173e-01,5.097656250000000000e+00,4.550571682406371110e+00,2.799999999999999822e+00,1.326649916142160102e+00,4.160000000000000142e+01,6.945502141674135821e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000071e+01,9.797958971132713080e-01,1.880000000000000071e+01,9.797958971132713080e-01,2.839999999999999858e+01,9.499473669630333461e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,8.944271909999158554e-01,1.700000000000000000e+01,8.944271909999158554e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.535499572753901809e-02,4.227973941693181914e-02,7.616394519805907981e-01,1.291849928270951686e-01,3.180000000000000071e+01,1.833030277982336198e+00,3.639999999999999858e+01,3.666060555964672396e+00
