ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.04150390625	31.6	5.0	32.2	21.2	0.1953125	0	0	36	5	35	24	28	5	30	19	0	0	0.25443220138549805	5	0.25443220138549805	5	0.0	
0.15625	30.8	5.0	30.6	19.6	0.390625	1	0	46	5	33	22	17	5	28	17	0	0	0.04279899597167969	10	0.29723119735717773	9	10.0	
0.8984375	30.6	5.0	30.2	19.2	3.125	2	0	35	5	31	20	26	5	29	18	0	0	0.043959617614746094	15	0.34119081497192383	13	13.333333333333329	
1.40625	32.6	5.0	29.0	18.0	3.125	3	0	42	5	31	20	27	5	27	16	0	0	0.04573464393615723	20	0.38692545890808105	16	20.0	
1.953125	38.8	5.0	29.0	18.0	3.125	4	0	48	5	30	19	34	5	28	17	0	0	0.043476104736328125	25	0.4304015636444092	20	20.0	
2.03125	42.8	5.0	28.6	17.6	4.6875	5	0	61	5	29	18	29	5	28	17	0	0	0.07137250900268555	30	0.5017740726470947	24	20.0	
1.6845703125	41.8	5.0	28.75	17.75	4.6875	6	1	61	5.0	30.0	19.0	15	5.0	28.0	17.0	0	0	0.035067081451416016	35	0.5368411540985107	26	25.714285714285708	
2.4072265625	56.8	5.0	28.8	17.8	4.6875	7	1	72	5	30	19	32	5	28	17	0	0	0.04740643501281738	40	0.5842475891113281	28	30.0	
3.4375	60.2	5.0	28.2	17.2	4.6875	8	1	65	5	29	18	55	5	27	16	0	0	0.09696698188781738	45	0.6812145709991455	31	31.111111111111114	
2.8125	60.2	5.0	28.6	17.6	4.6875	9	1	71	5	29	18	49	5	28	17	0	0	0.04925274848937988	50	0.7304673194885254	33	34.0	
3.28125	60.4	5.0	28.0	17.0	4.6875	10	1	63	5	29	18	57	5	27	16	0	0	0.05460047721862793	55	0.7850677967071533	35	36.36363636363637	
2.5	61.6	5.0	28.4	17.4	4.6875	11	1	68	5	29	18	56	5	28	17	0	0	0.04561185836791992	60	0.8306796550750732	37	38.33333333333333	
1.46484375	61.4	5.0	29.0	18.0	4.6875	12	1	64	5	30	19	59	5	28	17	0	0	0.048928022384643555	65	0.8796076774597168	41	36.92307692307693	
3.02734375	61.4	5.0	29.4	18.4	9.375	13	1	78	5	32	21	45	5	28	17	0	0	0.052007198333740234	70	0.931614875793457	45	35.71428571428571	
4.21875	53.0	5.0	28.8	17.8	9.375	14	1	62	5	30	19	44	5	28	17	0	0	0.056546688079833984	75	0.988161563873291	47	37.33333333333333	
2.5	52.4	5.0	29.2	18.2	9.375	15	1	62	5	32	21	41	5	28	17	0	0	0.04795980453491211	80	1.0361213684082031	50	37.5	
1.875	54.6	5.0	29.0	18.0	9.375	16	1	62	5	31	20	48	5	28	17	0	0	0.04896426200866699	85	1.0850856304168701	54	36.47058823529412	
2.6953125	51.4	5.0	29.8	18.8	9.375	17	1	70	5	31	20	33	5	28	17	0	0	0.04676032066345215	90	1.1318459510803223	57	36.66666666666667	
2.65625	61.0	5.0	28.8	17.8	9.375	18	1	76	5	30	19	53	5	28	17	0	0	0.04694032669067383	95	1.178786277770996	61	35.78947368421052	
3.59375	54.2	5.0	29.0	18.0	9.375	19	1	59	5	30	19	49	5	28	17	0	0	0.052196502685546875	100	1.230982780456543	64	36.0	
4.296875	54.2	5.0	29.0	18.0	9.375	20	1	67	5	31	20	39	5	28	17	0	0	0.04758954048156738	105	1.2785723209381104	67	36.1904761904762	
3.828125	55.0	5.0	27.8	16.8	9.375	21	1	58	5	28	17	53	5	27	16	0	0	0.047265052795410156	110	1.3258373737335205	70	36.36363636363637	
3.4375	54.6	5.0	28.4	17.4	9.375	22	1	58	5	29	18	53	5	28	17	0	0	0.04558706283569336	115	1.3714244365692139	73	36.52173913043478	
2.1875	56.0	5.0	28.6	17.6	9.375	23	1	59	5	29	18	52	5	28	17	0	0	0.04410862922668457	120	1.4155330657958984	76	36.66666666666667	
2.5	55.6	5.0	29.0	18.0	9.375	24	1	66	5	30	19	45	5	28	17	0	0	0.04054713249206543	125	1.4560801982879639	80	36.0	
4.375	58.2	5.0	28.4	17.4	9.375	25	1	66	5	29	18	53	5	28	17	0	0	0.04418134689331055	130	1.5002615451812744	81	37.69230769230769	
2.96875	53.0	5.0	28.8	17.8	9.375	26	1	60	5	30	19	46	5	28	17	0	0	0.04625272750854492	135	1.5465142726898193	84	37.77777777777778	
3.4375	57.2	5.0	28.2	17.2	9.375	27	1	71	5	29	18	49	5	28	17	0	0	0.0433812141418457	140	1.589895486831665	87	37.857142857142854	
5.3125	64.2	5.0	27.6	16.6	9.375	28	1	73	5	28	17	53	5	27	16	0	0	0.044831275939941406	145	1.6347267627716064	91	37.241379310344826	
5.76171875	56.2	5.0	28.0	17.0	9.375	29	1	67	5	29	18	53	5	27	16	0	0	0.045485734939575195	150	1.6802124977111816	93	38.0	
4.697265625	53.0	5.0	29.2	18.2	9.375	30	1	64	5	31	20	42	5	28	17	0	0	0.04384255409240723	155	1.7240550518035889	96	38.064516129032256	
7.8125	59.6	5.0	28.2	17.2	9.375	31	1	64	5	29	18	53	5	28	17	0	0	0.0467987060546875	160	1.7708537578582764	96	40.0	
6.25	55.2	5.0	28.6	17.6	9.375	32	1	64	5	30	19	44	5	28	17	0	0	0.046826839447021484	165	1.8176805973052979	98	40.6060606060606	
2.265625	56.6	5.0	28.4	17.4	9.375	33	1	71	5	29	18	44	5	28	17	0	0	0.044734954833984375	170	1.8624155521392822	102	40.0	
3.75	60.2	5.0	28.4	17.4	9.375	34	1	72	5	29	18	52	5	28	17	0	0	0.04219484329223633	175	1.9046103954315186	106	39.42857142857142	
