# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
7.798767089843750000e-01,7.302815476656118188e-01,3.075000000000000355e+01,5.361902647381814324e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.164999999999999858e+01,3.278719262151017499e-01,2.064999999999999858e+01,3.278719262151001956e-01,2.052307128906250000e+00,1.991506979217949391e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,2.775000000000000000e+01,4.330127018922192983e-01,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,4.330127018922192983e-01,1.875000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.900406479835509699e-01,3.822316978567151524e-02,1.900406479835509699e-01,3.822316978567151524e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.962799072265625000e-01,6.533617972629884862e-01,2.955000000000000071e+01,8.046738469715539743e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.072500000000000142e+01,4.763139720814412725e-01,1.972500000000000142e+01,4.763139720814412725e-01,2.160644531250000000e+00,1.888069064521786800e+00,2.500000000000000000e-01,4.330127018922192983e-01,4.000000000000000000e+01,4.743416490252569062e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.275000000000000000e+01,4.330127018922192983e-01,2.175000000000000000e+01,4.330127018922192983e-01,2.100000000000000000e+01,4.527692569068708650e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.875000000000000000e+01,8.291561975888499525e-01,1.775000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.357999563217157535e-02,7.202914520809791492e-03,2.336206436157226007e-01,3.968996828730105009e-02,8.750000000000000000e+00,4.330127018922192983e-01,1.250000000000000000e+01,4.330127018922193649e+00
1.260528564453125000e+00,9.021490984235194244e-01,3.025000000000000000e+01,1.920286436967151511e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.032500000000000284e+01,7.119515432949067302e-01,1.932500000000000284e+01,7.119515432949067302e-01,2.844238281250000000e+00,1.595856340539618445e+00,7.500000000000000000e-01,8.291561975888499525e-01,4.300000000000000000e+01,6.041522986797286165e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.150000000000000000e+01,1.118033988749894903e+00,2.050000000000000000e+01,1.118033988749894903e+00,1.900000000000000000e+01,5.873670062235365030e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,7.071067811865475727e-01,1.800000000000000000e+01,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.902500867843622379e-02,5.762472202495138099e-03,2.726456522941589355e-01,4.232701114703237705e-02,1.150000000000000000e+01,1.118033988749894903e+00,2.333333333333333570e+01,7.453559924999304087e+00
1.929016113281250000e+00,1.243106302805913943e+00,3.284999999999999432e+01,3.229163978493504672e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.964999999999999858e+01,3.840572873934305353e-01,1.864999999999999858e+01,3.840572873934305353e-01,2.844238281250000000e+00,1.595856340539618445e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.425000000000000000e+01,1.785357107135712607e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.125000000000000000e+01,8.291561975888499525e-01,2.025000000000000000e+01,8.291561975888499525e-01,2.250000000000000000e+01,7.228416147400480440e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,1.118033988749894903e+00,1.750000000000000000e+01,1.118033988749894903e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.217660427093502390e-02,5.605579522791497883e-03,3.148222565650939941e-01,4.363966135393602952e-02,1.425000000000000000e+01,2.046338192968112590e+00,2.875000000000000000e+01,1.023169096484055984e+01
1.767171223958333259e+00,1.344920343654298911e+00,3.310000000000000142e+01,4.036087214122112243e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.956666666666666998e+01,6.506407098647718490e-01,1.856666666666666643e+01,6.506407098647718490e-01,2.844238281250000000e+00,1.595856340539618445e+00,1.500000000000000000e+00,1.658312395177699905e+00,4.325000000000000000e+01,5.309190145398825500e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.075000000000000000e+01,8.291561975888499525e-01,1.975000000000000000e+01,8.291561975888499525e-01,2.525000000000000000e+01,6.057020719792858721e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.875000000000000000e+01,8.291561975888499525e-01,1.775000000000000000e+01,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.015356302261349764e-02,1.062975222008572494e-02,3.549758195877075195e-01,4.585730518466094724e-02,1.725000000000000000e+01,2.947456530637898808e+00,3.100000000000000000e+01,1.178982612255159523e+01
1.875915527343750000e+00,1.645979403374673744e+00,3.559999999999999432e+01,6.519202405202649153e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.933749999999999858e+01,8.727650027355589035e-01,1.833749999999999858e+01,8.727650027355589035e-01,4.431152343750000000e+00,3.350579924704510937e+00,1.750000000000000000e+00,1.479019945774904032e+00,4.825000000000000000e+01,1.003431612019473818e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.050000000000000000e+01,1.118033988749894903e+00,1.950000000000000000e+01,1.118033988749894903e+00,2.250000000000000000e+01,6.800735254367721971e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.850000000000000000e+01,8.660254037844385966e-01,1.750000000000000000e+01,8.660254037844385966e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.067679405212396793e-02,1.830474444230757725e-02,4.356526136398315430e-01,3.974933127155325790e-02,1.975000000000000000e+01,3.766629793329840936e+00,3.416666666666667140e+01,1.255543264443280371e+01
1.843261718750000000e+00,1.556302176217504663e+00,3.625000000000000000e+01,4.313641153364520697e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.903750000000000142e+01,4.628377145393404168e-01,1.803750000000000142e+01,4.628377145393404168e-01,4.431152343750000000e+00,3.350579924704510937e+00,2.000000000000000000e+00,1.224744871391588941e+00,5.025000000000000000e+01,8.642193008721802627e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.975000000000000000e+01,4.330127018922192983e-01,1.875000000000000000e+01,4.330127018922192983e-01,2.275000000000000000e+01,4.710360920354193404e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.825000000000000000e+01,4.330127018922192983e-01,1.725000000000000000e+01,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.722678661346432077e-02,1.094104667572407506e-02,4.828794002532958984e-01,3.648801335677314545e-02,2.250000000000000000e+01,3.354101966249684708e+00,3.571428571428571530e+01,9.583148474999100941e+00
2.554321289062500000e+00,2.229649846053747275e+00,4.330000000000000426e+01,1.143372205364464733e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.910000000000000142e+01,6.403124237432841204e-01,1.810000000000000142e+01,6.403124237432841204e-01,4.687500000000000000e+00,3.054003080295291106e+00,2.000000000000000000e+00,1.224744871391588941e+00,5.725000000000000000e+01,1.042532973099652160e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.075000000000000000e+01,8.291561975888499525e-01,1.975000000000000000e+01,8.291561975888499525e-01,2.900000000000000000e+01,8.746427842267950226e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.414213562373095145e+00,1.700000000000000000e+01,1.414213562373095145e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.328172445297234966e-02,8.248105803029179978e-03,5.361611247062683105e-01,3.837526154410170892e-02,2.550000000000000000e+01,2.692582403567251870e+00,3.625000000000000000e+01,6.731456008918129896e+00
2.497558593750000000e+00,1.684851581477809779e+00,4.475000000000000000e+01,1.356862189022894150e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.845000000000000284e+01,1.291317157014495010e+00,1.744999999999999929e+01,1.291317157014495898e+00,4.687500000000000000e+00,3.054003080295291106e+00,2.000000000000000000e+00,1.224744871391588941e+00,4.975000000000000000e+01,1.691707717071716743e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.925000000000000000e+01,1.089724735885168494e+00,1.825000000000000000e+01,1.089724735885168494e+00,3.975000000000000000e+01,1.087140745257944907e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.775000000000000000e+01,1.479019945774904032e+00,1.675000000000000000e+01,1.479019945774904032e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.599998474121089587e-02,2.083692393326435147e-02,6.021611094474792480e-01,5.752411520615796636e-02,2.850000000000000000e+01,3.201562118716424266e+00,3.666666666666667140e+01,7.114582486036497677e+00
3.189697265625000000e+00,2.717848562558613512e+00,4.680000000000000426e+01,1.491241093854377375e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.861250000000000426e+01,1.407291281149713358e+00,1.761250000000000071e+01,1.407291281149712470e+00,6.689453125000000000e+00,6.395366075907856107e+00,2.250000000000000000e+00,1.639359631075500090e+00,5.875000000000000000e+01,1.769710428290458992e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.581138830084189761e+00,1.900000000000000000e+01,1.581138830084189761e+00,3.700000000000000000e+01,1.435270009440732331e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.775000000000000000e+01,1.479019945774904032e+00,1.675000000000000000e+01,1.479019945774904032e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.257695913314815173e-02,1.438907034084644862e-02,6.547380685806274414e-01,6.509983696359510075e-02,3.075000000000000000e+01,2.861380785564899387e+00,3.850000000000000000e+01,5.722761571129798774e+00
