# ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,runtime_error_mean,runtime_error_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
7.965680474096152430e+00,5.562436161557119618e+00,1.284999999999999964e+01,2.958039891549804623e-01,4.800000000000000711e+00,1.414213562373096422e-01,1.264999999999999858e+01,1.658312395177702070e-01,8.649999999999998579e+00,1.658312395177702070e-01,1.849112426230768946e+01,1.077650284369549816e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.050000000000000000e+01,8.660254037844385966e-01,4.250000000000000000e+00,4.330127018922192983e-01,1.125000000000000000e+01,4.330127018922192983e-01,7.250000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.546882390975951593e-01,7.879297497485227009e-02,1.546882390975951593e-01,7.879297497485227009e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.533284023837499888e+01,9.619397772664854074e+00,1.290000000000000036e+01,1.236931687685298265e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+01,3.605551275463989014e-01,8.500000000000000000e+00,3.605551275463989014e-01,2.322485207326922563e+01,1.309401410406253596e+01,5.000000000000000000e-01,5.000000000000000000e-01,1.725000000000000000e+01,2.487468592766549857e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,8.291561975888499525e-01,9.250000000000000000e+00,8.291561975888499525e-01,9.000000000000000000e+00,3.674234614174767266e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.208668947219844990e-02,2.537073549086002293e-03,1.667749285697936457e-01,8.103632006549496558e-02,8.000000000000000000e+00,7.071067811865475727e-01,2.000000000000000000e+01,7.071067811865475505e+00
1.331153846292307463e+01,8.858193558155576852e+00,1.384999999999999964e+01,2.151162476429895776e+00,4.849999999999999645e+00,1.658312395177701515e-01,1.225000000000000000e+01,3.278719262151003622e-01,8.250000000000000000e+00,3.278719262151003622e-01,2.514792899634614898e+01,1.033810958915405642e+01,5.000000000000000000e-01,5.000000000000000000e-01,1.725000000000000000e+01,2.165063509461096825e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,1.025000000000000000e+01,2.384848003542364037e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.150000000000000000e+01,5.000000000000000000e-01,7.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210385560989375026e-02,3.051413745664985702e-03,1.788787841796874167e-01,8.406648899329331737e-02,9.750000000000000000e+00,8.291561975888499525e-01,3.500000000000000000e+01,5.527707983925663981e+00
1.709393491242307661e+01,9.188496164042311065e+00,1.375000000000000000e+01,2.511473670974872174e+00,4.875000000000000000e+00,2.165063509461096491e-01,1.217500000000000071e+01,4.602988159880494479e-01,8.175000000000000711e+00,4.602988159880494479e-01,2.514792899634614898e+01,1.033810958915405642e+01,7.500000000000000000e-01,8.291561975888499525e-01,1.600000000000000000e+01,3.162277660168379523e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.275000000000000000e+01,4.330127018922192983e-01,8.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,2.861380785564899387e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.844541549682549533e-03,2.216378537500761099e-03,1.887233257293700894e-01,8.604586697514259030e-02,1.175000000000000000e+01,1.920286436967151955e+00,4.125000000000000000e+01,9.601432184835759998e+00
1.880532544561538089e+01,7.342179192859093817e+00,1.350000000000000000e+01,2.483948469674844617e+00,4.900000000000000355e+00,1.732050807568878692e-01,1.210000000000000142e+01,9.999999999999964473e-02,8.099999999999999645e+00,9.999999999999964473e-02,2.514792899634614898e+01,1.033810958915405642e+01,7.500000000000000000e-01,8.291561975888499525e-01,1.550000000000000000e+01,3.905124837953326988e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,7.071067811865475727e-01,9.000000000000000000e+00,7.071067811865475727e-01,1.200000000000000000e+01,2.121320343559642385e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.153212785720819991e-02,3.569076873853348209e-03,2.002554535865783136e-01,8.949959757925665671e-02,1.275000000000000000e+01,1.785357107135712607e+00,4.900000000000000000e+01,7.141428428542851314e+00
1.614260355246153722e+01,3.711741498475558565e+00,1.430000000000000071e+01,3.128897569432403714e+00,4.900000000000000355e+00,1.000000000000000888e-01,1.209999999999999964e+01,9.999999999999964473e-02,8.099999999999999645e+00,9.999999999999964473e-02,2.514792899634614898e+01,1.033810958915405642e+01,7.500000000000000000e-01,8.291561975888499525e-01,1.575000000000000000e+01,3.897114317029974018e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,7.071067811865475727e-01,9.000000000000000000e+00,7.071067811865475727e-01,1.325000000000000000e+01,2.772634126602354421e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.150000000000000000e+01,5.000000000000000000e-01,7.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.194483041763297511e-02,3.897359505101408595e-03,2.122002840042113703e-01,9.329477007582483161e-02,1.400000000000000000e+01,2.121320343559642385e+00,5.333333333333333570e+01,7.071067811865473729e+00
1.519482248668269087e+01,7.624713450706568807e+00,1.440000000000000036e+01,2.870540018881464484e+00,4.825000000000000178e+00,1.030776406404415313e-01,1.208750000000000036e+01,3.129996006387227303e-01,8.087500000000000355e+00,3.129996006387227303e-01,2.514792899634614898e+01,1.033810958915405642e+01,1.250000000000000000e+00,1.089724735885168494e+00,1.800000000000000000e+01,2.345207879911714866e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,7.071067811865475727e-01,9.000000000000000000e+00,7.071067811865475727e-01,1.075000000000000000e+01,3.269174207655505260e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.125000000000000000e+01,4.330127018922192983e-01,7.250000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.233891963958700336e-03,2.104195572946570940e-03,2.214341759681701105e-01,9.508224776834056646e-02,1.500000000000000000e+01,2.549509756796392246e+00,5.714285714285713880e+01,7.284313590846833719e+00
1.776471893664422907e+01,7.155809690806705703e+00,1.419999999999999929e+01,2.690724809414742236e+00,4.887500000000000178e+00,1.138804197393037676e-01,1.209999999999999964e+01,9.999999999999964473e-02,8.099999999999999645e+00,9.999999999999964473e-02,2.514792899634614898e+01,1.033810958915405642e+01,1.500000000000000000e+00,1.118033988749894903e+00,1.800000000000000000e+01,4.062019202317980415e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.275000000000000000e+01,4.330127018922192983e-01,8.750000000000000000e+00,4.330127018922192983e-01,1.050000000000000000e+01,4.031128874149274566e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.150000000000000000e+01,5.000000000000000000e-01,7.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.155477762222287610e-02,3.848784344769875902e-03,2.329889535903930109e-01,9.849197514560874278e-02,1.575000000000000000e+01,2.947456530637898808e+00,6.062500000000000000e+01,7.368641326594747909e+00
1.178786982470191980e+01,3.483480887070714793e+00,1.565000000000000036e+01,3.470950878361721337e+00,4.849999999999999645e+00,1.658312395177701515e-01,1.217500000000000071e+01,2.487468592766546860e-01,8.175000000000000711e+00,2.487468592766550191e-01,2.514792899634614898e+01,1.033810958915405642e+01,1.750000000000000000e+00,1.479019945774904032e+00,2.100000000000000000e+01,4.527692569068708650e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.075000000000000000e+01,2.947456530637898808e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.150000000000000000e+01,5.000000000000000000e-01,7.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.090955734252925004e-02,4.155546863536929876e-03,2.438985109329223355e-01,1.017890119247329278e-01,1.675000000000000000e+01,2.947456530637898808e+00,6.277777777777777857e+01,6.549903401417550342e+00
1.407004438026923054e+01,4.587045122015311449e+00,1.504999999999999893e+01,2.710627233685960036e+00,4.787499999999999645e+00,1.430690392782450748e-01,1.211250000000000071e+01,1.138804197393036011e-01,8.112500000000000711e+00,1.138804197393036011e-01,2.618343195346153607e+01,9.016390506960160423e+00,2.000000000000000000e+00,1.224744871391588941e+00,2.175000000000000000e+01,5.931905258852336438e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,8.291561975888499525e-01,9.250000000000000000e+00,8.291561975888499525e-01,1.075000000000000000e+01,2.947456530637898808e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.125000000000000000e+01,4.330127018922192983e-01,7.250000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.273989677429192453e-02,3.953014657342958198e-03,2.566384077072143555e-01,1.053709673030028410e-01,1.775000000000000000e+01,2.947456530637898808e+00,6.450000000000000000e+01,5.894913061275797617e+00
1.665118343334615147e+01,9.625378888326299176e+00,1.500000000000000000e+01,3.749666651850535271e+00,4.950000000000000178e+00,8.660254037844394848e-02,1.248749999999999893e+01,2.072890493972126547e-01,8.487499999999998934e+00,2.072890493972126547e-01,2.618343195346153607e+01,9.016390506960160423e+00,2.250000000000000000e+00,1.089724735885168494e+00,1.950000000000000000e+01,6.020797289396147889e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+01,5.000000000000000000e-01,9.500000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.581138830084189761e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.324844360351557469e-02,7.231034046291714285e-03,2.698868513107299250e-01,1.123052261038750832e-01,1.900000000000000000e+01,3.000000000000000000e+00,6.545454545454545325e+01,5.454545454545453254e+00
1.634053254609615280e+01,8.825211614378165592e+00,1.615000000000000213e+01,5.125182923564777226e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.234999999999999787e+01,2.598076211353322340e-01,8.349999999999999645e+00,2.598076211353322340e-01,2.618343195346153607e+01,9.016390506960160423e+00,2.250000000000000000e+00,1.089724735885168494e+00,1.900000000000000000e+01,6.403124237432848531e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,1.225000000000000000e+01,3.491060010942235170e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.498359441757197638e-02,5.736754597185066314e-03,2.848704457283020020e-01,1.179629288088708122e-01,2.000000000000000000e+01,3.162277660168379523e+00,6.666666666666667140e+01,5.270462766947296984e+00
1.486124260473076752e+01,9.471153506739224071e+00,1.435000000000000142e+01,3.335790760824186574e+00,4.950000000000000178e+00,8.660254037844394848e-02,1.263749999999999929e+01,3.559757716474534206e-01,8.637499999999999289e+00,3.559757716474534206e-01,2.618343195346153607e+01,9.016390506960160423e+00,2.750000000000000000e+00,8.291561975888499525e-01,2.025000000000000000e+01,5.931905258852336438e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,9.750000000000000000e+00,3.766629793329840936e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.200000000000000000e+01,7.071067811865475727e-01,8.000000000000000000e+00,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.416355371475214869e-02,7.485713731759943181e-03,2.990339994430541437e-01,1.252294382618107105e-01,2.150000000000000000e+01,2.598076211353316012e+00,6.692307692307691980e+01,3.997040325158951912e+00
1.512751479391346088e+01,7.126927755640348749e+00,1.669999999999999929e+01,4.320879540093660154e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.251250000000000107e+01,5.176569810212161560e-01,8.512499999999999289e+00,5.176569810212164890e-01,2.618343195346153607e+01,9.016390506960160423e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.150000000000000000e+01,6.576473218982952673e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,7.071067811865475727e-01,9.000000000000000000e+00,7.071067811865475727e-01,1.100000000000000000e+01,2.828427124746190291e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.232337951660155036e-02,4.200524880151164375e-03,3.113573789596557617e-01,1.291193113224924638e-01,2.275000000000000000e+01,2.680951323690901944e+00,6.750000000000000000e+01,3.829930462415576997e+00
1.639230769305769186e+01,1.108607477126663632e+00,1.590000000000000036e+01,3.745664160065607984e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.262500000000000000e+01,2.277608394786073964e-01,8.625000000000000000e+00,2.277608394786073964e-01,2.618343195346153607e+01,9.016390506960160423e+00,3.750000000000000000e+00,1.479019945774904032e+00,2.400000000000000000e+01,7.176350047203661653e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,9.750000000000000000e+00,2.487468592766549857e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.200000000000000000e+01,7.071067811865475727e-01,8.000000000000000000e+00,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.294748306274374164e-03,2.892422986694612261e-03,3.206521272659301758e-01,1.318923021904400417e-01,2.350000000000000000e+01,2.500000000000000000e+00,6.866666666666667140e+01,3.333333333333332149e+00
1.684349112553845984e+01,6.268293719310848111e+00,1.514999999999999858e+01,2.743628983663789711e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.250000000000000000e+01,3.000000000000007105e-01,8.500000000000000000e+00,3.000000000000007105e-01,2.618343195346153607e+01,9.016390506960160423e+00,3.750000000000000000e+00,1.479019945774904032e+00,1.975000000000000000e+01,3.418698582794335916e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,9.750000000000000000e+00,1.639359631075500090e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.357853412628169838e-02,4.024772628476186269e-03,3.342306613922119141e-01,1.338023491902156914e-01,2.425000000000000000e+01,2.861380785564899387e+00,6.968750000000000000e+01,3.576725981956124123e+00
1.834319526676922862e+01,6.452689173895628016e+00,1.514999999999999858e+01,2.960996453898585568e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.267500000000000071e+01,4.656984002549287571e-01,8.675000000000000711e+00,4.656984002549287571e-01,2.618343195346153607e+01,9.016390506960160423e+00,4.000000000000000000e+00,1.581138830084189761e+00,1.925000000000000000e+01,3.766629793329840936e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,8.291561975888499525e-01,9.250000000000000000e+00,8.291561975888499525e-01,1.100000000000000000e+01,2.121320343559642385e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.225000000000000000e+01,4.330127018922192983e-01,8.250000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.348471641540522487e-02,4.006442559183476249e-03,3.477153778076171875e-01,1.356445129074908829e-01,2.475000000000000000e+01,2.586020108197150336e+00,7.088235294117647811e+01,3.042376597879000499e+00
1.723905325507692154e+01,4.105722346102457898e+00,1.330000000000000071e+01,3.080584360149873469e+00,4.849999999999999645e+00,8.660254037844394848e-02,1.234999999999999964e+01,4.092676385936225292e-01,8.349999999999999645e+00,4.092676385936225292e-01,2.618343195346153607e+01,9.016390506960160423e+00,4.250000000000000000e+00,1.920286436967151955e+00,1.625000000000000000e+01,2.861380785564899387e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.025000000000000000e+01,3.491060010942235170e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.150000000000000000e+01,8.660254037844385966e-01,7.500000000000000000e+00,8.660254037844385966e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.695840597152702675e-02,1.516019675104012150e-02,3.746737837791442871e-01,1.291174764382715945e-01,2.525000000000000000e+01,2.861380785564899387e+00,7.194444444444444287e+01,3.179311983961003119e+00
1.958017751579807708e+01,8.585174264526596488e+00,1.325000000000000000e+01,2.772634126602354421e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.241249999999999964e+01,5.103613915648400612e-01,8.412499999999999645e+00,5.103613915648400612e-01,2.618343195346153607e+01,9.016390506960160423e+00,4.500000000000000000e+00,2.291287847477919914e+00,1.500000000000000000e+01,1.870828693386970665e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,7.071067811865475727e-01,9.000000000000000000e+00,7.071067811865475727e-01,1.150000000000000000e+01,4.031128874149274566e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.200000000000000000e+01,7.071067811865475727e-01,8.000000000000000000e+00,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.947384119033810007e-02,2.137205187736104794e-02,4.041476249694824219e-01,1.470755706723022582e-01,2.575000000000000000e+01,2.586020108197150336e+00,7.289473684210526017e+01,2.722126429681209547e+00
1.405680473461538327e+01,8.637535044480634028e+00,1.350000000000000000e+01,2.677685567799176880e+00,4.900000000000000355e+00,1.000000000000000888e-01,1.251249999999999929e+01,4.774607313696070943e-01,8.512499999999999289e+00,4.774607313696070943e-01,2.618343195346153607e+01,9.016390506960160423e+00,4.750000000000000000e+00,2.680951323690901944e+00,1.625000000000000000e+01,2.861380785564899387e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,4.330127018922192983e-01,9.250000000000000000e+00,4.330127018922192983e-01,1.125000000000000000e+01,2.586020108197150336e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.175000000000000000e+01,8.291561975888499525e-01,7.750000000000000000e+00,8.291561975888499525e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.078152656555170057e-02,2.032025709597386296e-03,4.149291515350341797e-01,1.489500692580354169e-01,2.650000000000000000e+01,2.291287847477919914e+00,7.350000000000000000e+01,2.291287847477919914e+00
2.082100591910576881e+01,1.013360848297339167e+01,1.355000000000000071e+01,2.174281490515889370e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.234999999999999964e+01,2.715695122800054206e-01,8.349999999999999645e+00,2.715695122800054206e-01,2.618343195346153607e+01,9.016390506960160423e+00,5.250000000000000000e+00,2.861380785564899387e+00,1.875000000000000000e+01,2.861380785564899387e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.275000000000000000e+01,4.330127018922192983e-01,8.750000000000000000e+00,4.330127018922192983e-01,8.500000000000000000e+00,3.500000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.691310882568300394e-03,2.459919585277339695e-03,4.236204624176025391e-01,1.510551149944146521e-01,2.700000000000000000e+01,2.236067977499789805e+00,7.428571428571427759e+01,2.129588549999798630e+00
2.066005917288461191e+01,6.690427140005852813e+00,1.419999999999999929e+01,3.101612483854164548e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.219999999999999929e+01,3.464101615137757939e-01,8.199999999999999289e+00,3.464101615137757939e-01,2.618343195346153607e+01,9.016390506960160423e+00,5.500000000000000000e+00,2.872281323269014308e+00,1.775000000000000000e+01,4.322904116447645606e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e+01,5.000000000000000000e-01,8.500000000000000000e+00,5.000000000000000000e-01,1.050000000000000000e+01,2.692582403567251870e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.175000000000000000e+01,4.330127018922192983e-01,7.750000000000000000e+00,4.330127018922192983e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.673178195953299752e-03,6.476412256676848580e-04,4.332936406135559082e-01,1.514296124303780300e-01,2.725000000000000000e+01,2.165063509461096825e+00,7.522727272727273373e+01,1.968239554055542184e+00
1.810828402456730757e+01,4.871679852209763517e+00,1.375000000000000000e+01,2.927029210650280433e+00,4.950000000000000178e+00,8.660254037844393460e-02,1.241249999999999964e+01,4.903761311483259000e-01,8.412499999999999645e+00,4.903761311483259000e-01,2.618343195346153607e+01,9.016390506960160423e+00,6.000000000000000000e+00,3.316624790355399810e+00,2.025000000000000000e+01,3.418698582794335916e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.325000000000000000e+01,8.291561975888499525e-01,9.250000000000000000e+00,8.291561975888499525e-01,8.000000000000000000e+00,3.605551275463989125e+00,4.750000000000000000e+00,4.330127018922192983e-01,1.200000000000000000e+01,7.071067811865475727e-01,8.000000000000000000e+00,7.071067811865475727e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.663594722747750693e-03,2.278476788810743919e-03,4.419572353363037109e-01,1.527155590378726502e-01,2.750000000000000000e+01,2.179449471770336988e+00,7.608695652173912549e+01,1.895173453713332901e+00
